text,transformed_text,label
congress splits into male and female senators to discuss newest reproductive bill,splits into male and female senators to discuss newest reproductive bill,sarcasm
heritage foundation lowers another retired gop senator into vat of strategists,heritage foundation lowers another retired gop senator vat of strategists,sarcasm
new online voting system allows millions of masturbators to take part in democracy,new online voting system allows millions of masturbators part in democracy,sarcasm
friend from college wasted no time becoming white-collar professional,from college wasted no time becoming white-collar,sarcasm
casual friday claims lives of 13 nuclear-waste-disposal technicians,casual friday claims lives of 13 nuclear-waste-disposal technicians,sarcasm
drew carey signs 75-year contract to host the price is right,carey signs 75-year contract to host the price is right,sarcasm
hollywood quietly shuts down after realizing that entertainment a delicate matter of subjective opinion,hollywood quietly shuts down after realizing that entertainment a delicate matter of subjective opinion,sarcasm
man with stupid breaks off co-dependent relationship,man with stupid breaks off co-dependent relationship,sarcasm
huntsman quietly relieved to be polling poorly among gop voters,huntsman quietly relieved to be polling among gop voters,sarcasm
rick santorum relieved no one has asked him about interracial marriage yet,rick santorum relieved no one has asked him about interracial marriage yet,sarcasm
storybook romance leads to in-flight-magazine marriage,storybook romance leads to in-flight-magazine marriage,sarcasm
friendship blossoms into unrequited love,friendship blossoms into unrequited love,sarcasm
quaker oats canister relabeled 'drugs' for grade school play,quaker oats canister relabeled 'drugs ' for grade school play,sarcasm
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases","hannity claims relationship with cohen went past payment for legal advice , defense in criminal cases",sarcasm
"area man too poor to afford movers, too old to get help from his friends","area man too poor to afford movers , too old to get help from his friends",sarcasm
citizens to vote on young or old reagan for $15 bill,citizens to vote on young reagan for $ 15 bill,sarcasm
jay-z's grandfather busted with trunk full of canadian prescription drugs,'s grandfather busted with trunk of canadian prescription drugs,sarcasm
inanimate object despised,inanimate object despised,sarcasm
supreme court agrees to hear new jack white album,supreme agrees to hear new jack white album,sarcasm
report: apocalypse actually happened 3 years ago,report apocalypse actually happened 3 years ago,sarcasm
man thinks receptionist is hitting on him,man thinks receptionist is hitting on him,sarcasm
man miscast in role of father,man miscast in role of father,sarcasm
study: not being an asshole boss may boost employee morale,study : not being an asshole may boost employee morale,sarcasm
report: friend has been going by middle name this whole fucking time,report : friend has been going by middle name this whole fucking time,sarcasm
r.e.m.'s children still hoping parents will get back together,r.e.m . 's still hoping parents will get back together,sarcasm
new apple ceo tim cook: 'i'm thinking printers',new apple ceo tim cook : ' i 'm thinking printers ',sarcasm
report: women only made up 2.7% of video game bosses last year,report : women only made up 2.7 of video game bosses last year,sarcasm
thousands of cheering americans packed into park for ted cruz concession speech,thousands of cheering packed into park for cruz concession speech,sarcasm
frugal couple saves money by making own porn,frugal couple saves money by own porn,sarcasm
restaurant fires pizza-delivery dog,restaurant fires pizza-delivery dog,sarcasm
soda nearing room temperature,soda nearing room temperature,sarcasm
mark zuckerberg apologizes to congress for not realizing scope of his genius,zuckerberg apologizes to for not realizing scope his genius,sarcasm
no one quite sure why 8-year-old has voice of lifelong chain smoker,no one quite sure why 8-year-old has voice of lifelong smoker,sarcasm
tsa agents to now simply stand at checkpoints and remind passengers that we all die someday,tsa agents to simply stand at checkpoints and remind passengers we all die someday,sarcasm
billy joel has billy joel's disease,billy joel joel 's disease,sarcasm
custody battle sparks couple's first-ever interest in child,custody sparks couple 's first-ever interest in child,sarcasm
report: 89% of suzy qs never make it out of gas station parking lots,report : % of suzy qs never it out of gas station,sarcasm
new national park caters to business travelers,new park caters to business travelers,sarcasm
study finds flushing toilets wastes billions of gallons of piss and shit annually,study finds flushing wastes billions of gallons of piss and shit annually,sarcasm
indian sweatshop worker has to work in the fucking dark now too,indian sweatshop has to work in the dark,sarcasm
arby's ceo arrested with trunk full of stolen horsey sauce,arby 's ceo arrested with trunk full of stolen horsey sauce,sarcasm
neighborhood busybody reports sound of gunshots,neighborhood busybody reports sound of gunshots,sarcasm
islamic fundamentalists condemn casual day,islamic fundamentalists condemn casual day,sarcasm
trump dismisses accusers as women,trump dismisses accusers as women,sarcasm
coworker who went to gym this morning a chipper little fucker,coworker who went gym this morning a chipper little fucker,sarcasm
employees from other department announce plan to ramble on about fucking nothing right next to your desk,from other department announce plan ramble on about fucking nothing right next to,sarcasm
recent saving of planet attributed to working assets long-distance plan,recent saving of planet attributed to working assets long-distance plan,sarcasm
jogger clearly on first run of plan to turn life around,jogger clearly on first run plan to life around,sarcasm
weird new cereal sets tone for first weekend at divorced dad's,weird new cereal tone for first weekend at divorced dad,sarcasm
enthusiasm of 18-year-old first-time voter completely unbearable,enthusiasm first-time voter completely unbearable,sarcasm
every conceivable nook in car stuffed with trash by second hour of road trip,every conceivable nook car stuffed with trash by hour of road trip,sarcasm
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,sarcasm
returning parents can tell son had huge house fire over weekend,returning parents can tell son had huge house fire over weekend,sarcasm
congress votes to intervene in local wedding,congress votes to intervene in local wedding,sarcasm
'a cashier at our davenport location did what?' disgusted sbarro ceo asks,a cashier at davenport location did ? disgusted sbarro ceo asks,sarcasm
overcrowded gop field forces iowa to construct massive town hall stadium,overcrowded gop field forces iowa to construct massive town hall,sarcasm
autopsy reveals subject was still alive when autopsy began,autopsy reveals subject was still alive when autopsy began,sarcasm
teen crafting marketable persona in garage hoping to one day win grammy,teen crafting marketable persona in garage hoping to one grammy,sarcasm
scientists politely remind world that clean energy technology ready to go whenever,scientists politely remind world that clean energy technology ready to go whenever,sarcasm
raccoon crushed to death by garbage truck hits jackpot with reincarnation,raccoon crushed to death by garbage truck hits jackpot with reincarnation,sarcasm
man who threatened to move to canada before election still here,man who threatened to move to canada before election still,sarcasm
new stapler makes all other staplers look like worthless shit,new stapler makes all other look like worthless shit,sarcasm
poster vandal enters 'phallus in mouth' period,poster vandal enters 'phallus in mouth ' period,sarcasm
busybody fireman ruins suicide attempt,busybody fireman ruins suicide attempt,sarcasm
police headquarters completes new addition to accommodate officers on desk duty for misconduct,police headquarters completes new addition to accommodate officers on desk duty for misconduct,sarcasm
vacationing family visits world's biggest asshole,vacationing family visits world 's biggest asshole,sarcasm
busy obama sends drone to pick up sasha from school,busy obama sends drone to pick up sasha from school,sarcasm
benadryl introduces new non-drowsy allergy dart,benadryl introduces new dart,sarcasm
no one speculating about family matters series finale,no one speculating family matters series finale,sarcasm
"ailing castro begins 750,000 last words","ailing castro begins 750,000 last words",sarcasm
"'whitey bulger ordered the murder of 19 people,' reports anonymous rat bastard","'whitey the murder of 19 people , ' reports rat bastard",sarcasm
older brother to attempt unmanned bike mission into ravine,older brother to attempt bike mission into ravine,sarcasm
for-profit college hastily designs diploma for student on verge of actually graduating,for-profit college hastily designs for on verge of actually graduating,sarcasm
mudslide kind of fun until the dying part,mudslide kind of fun the dying part,sarcasm
report: maid of honor not even that good of friends with bride,report : maid of not even that good of friends with bride,sarcasm
people-watcher catches glimpse of rare north american black doofus,catches glimpse of north black doofus,sarcasm
gallant amazon user heroically defends 'fringe' season 2 box set from negative reviewers,gallant amazon user heroically defends 'fringe ' season 2 box set from negative reviewers,sarcasm
scotland more relaxed when sean connery is away,scotland more relaxed when sean connery is away,sarcasm
"after careful consideration, bush recommends oil drilling","careful consideration , bush oil drilling",sarcasm
"'i feel your pain,' romney tells campaign rally attendees who make $20 million a year","' i feel your , ' romney tells campaign rally who make $ 20 million a year",sarcasm
oxycontin maker criticized for new 'it gets you high' campaign,oxycontin for new 'it gets you high ' campaign,sarcasm
german auto engineer issued lab coat,german auto engineer issued lab coat,sarcasm
son's friend the kind who always gets nosebleeds,son 's friend the kind who always gets nosebleeds,sarcasm
depleted hawaiian volcano now just coughing up bile,depleted hawaiian volcano now just coughing up bile,sarcasm
foul play suspected in destruction of world's second-largest ball of twine,play suspected in destruction world 's second-largest ball of twine,sarcasm
less popular friend proposes combining birthdays into single party,less popular friend proposes combining birthdays single party,sarcasm
"study: zero people have led satisfying lives after altering original career plans, aspirations","study : zero have led satisfying lives after altering career plans , aspirations",sarcasm
"elderly dog can already tell owner doesn't think she's worth $3,000 gallstone surgery","elderly dog can already tell owner does n't she 's worth $ 3,000 gallstone surgery",sarcasm
"asian tsunami, hurricane katrina, kashmir earthquake battle for natural disasty award","asian tsunami , hurricane katrina , kashmir earthquake battle for natural disasty award",sarcasm
"autopsy determines total loser's corpse contained no traces of drugs, alcohol","autopsy determines total loser 's no traces of drugs , alcohol",sarcasm
