text,transformed_text,label
citizens to vote on young or old reagan for $15 bill,citizens to vote young on or old reagan for $ 15 bill,sarcasm
jay-z's grandfather busted with trunk full of canadian prescription drugs,jay-z 's trunk busted with grandfather full of canadian prescription drugs,sarcasm
inanimate object despised,despised object inanimate,sarcasm
supreme court agrees to hear new jack white album,supreme white agrees to hear new jack court album,sarcasm
report: apocalypse actually happened 3 years ago,ago : apocalypse actually happened 3 years report,sarcasm
man thinks receptionist is hitting on him,man thinks receptionist is him on hitting,sarcasm
man miscast in role of father,man father in role of miscast,sarcasm
study: not being an asshole boss may boost employee morale,study : not being an asshole boss may employee boost morale,sarcasm
report: friend has been going by middle name this whole fucking time,report : friend going been has by middle name this whole fucking time,sarcasm
r.e.m.'s children still hoping parents will get back together,r.e.m. 's children back hoping parents will get still together,sarcasm
new apple ceo tim cook: 'i'm thinking printers',new apple ceo i cook :'tim 'm thinking printers ',sarcasm
report: women only made up 2.7% of video game bosses last year,report : women only made video 2.7 % of up game bosses last year,sarcasm
thousands of cheering americans packed into park for ted cruz concession speech,thousands of cheering americans packed into park for ted cruz speech concession,sarcasm
frugal couple saves money by making own porn,frugal couple saves making by money own porn,sarcasm
restaurant fires pizza-delivery dog,restaurant dog pizza-delivery fires,sarcasm
soda nearing room temperature,temperature nearing room soda,sarcasm
mark zuckerberg apologizes to congress for not realizing scope of his genius,mark to apologizes zuckerberg congress for not realizing scope of his genius,sarcasm
no one quite sure why 8-year-old has voice of lifelong chain smoker,has one quite sure why 8-year-old no voice of lifelong chain smoker,sarcasm
tsa agents to now simply stand at checkpoints and remind passengers that we all die someday,tsa agents to now simply stand at remind and checkpoints passengers that we all die someday,sarcasm
billy joel has billy joel's disease,joel billy has billy joel 's disease,sarcasm
custody battle sparks couple's first-ever interest in child,in battle sparks couple 's first-ever interest custody child,sarcasm
report: 89% of suzy qs never make it out of gas station parking lots,gas : 89 % of suzy qs never make it out of report station parking lots,sarcasm
new national park caters to business travelers,national new park caters to business travelers,sarcasm
study finds flushing toilets wastes billions of gallons of piss and shit annually,billions finds flushing toilets wastes study of gallons of piss and shit annually,sarcasm
indian sweatshop worker has to work in the fucking dark now too,indian fucking worker has to work in the sweatshop dark now too,sarcasm
arby's ceo arrested with trunk full of stolen horsey sauce,arby 's ceo arrested trunk with full of stolen horsey sauce,sarcasm
neighborhood busybody reports sound of gunshots,neighborhood busybody reports gunshots of sound,sarcasm
islamic fundamentalists condemn casual day,islamic day condemn casual fundamentalists,sarcasm
trump dismisses accusers as women,trump dismisses accusers women as,sarcasm
coworker who went to gym this morning a chipper little fucker,coworker who went a gym this morning to chipper little fucker,sarcasm
employees from other department announce plan to ramble on about fucking nothing right next to your desk,employees from other department announce plan next ramble on about fucking nothing right to to your desk,sarcasm
recent saving of planet attributed to working assets long-distance plan,recent plan of planet attributed to working assets long-distance saving,sarcasm
jogger clearly on first run of plan to turn life around,jogger clearly on first run of around to turn life plan,sarcasm
weird new cereal sets tone for first weekend at divorced dad's,weird new cereal sets tone first for weekend at divorced dad 's,sarcasm
enthusiasm of 18-year-old first-time voter completely unbearable,enthusiasm of 18-year-old first-time voter unbearable completely,sarcasm
every conceivable nook in car stuffed with trash by second hour of road trip,every conceivable nook in car stuffed with trash by second hour trip road of,sarcasm
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,with who listened to podcast on watergate bursts into conversation friend guns fucking blazing,sarcasm
returning parents can tell son had huge house fire over weekend,returning weekend can tell son had huge house fire over parents,sarcasm
congress votes to intervene in local wedding,intervene votes to congress in local wedding,sarcasm
'a cashier at our davenport location did what?' disgusted sbarro ceo asks,' a cashier at our davenport did location what? ' asks sbarro ceo disgusted,sarcasm
overcrowded gop field forces iowa to construct massive town hall stadium,overcrowded gop field stadium iowa to construct massive town hall forces,sarcasm
autopsy reveals subject was still alive when autopsy began,autopsy reveals subject was still alive when began autopsy,sarcasm
teen crafting marketable persona in garage hoping to one day win grammy,teen crafting hoping persona in garage marketable to one day win grammy,sarcasm
scientists politely remind world that clean energy technology ready to go whenever,scientists politely that world remind clean energy technology ready to go whenever,sarcasm
raccoon crushed to death by garbage truck hits jackpot with reincarnation,raccoon crushed to hits by garbage truck death jackpot with reincarnation,sarcasm
man who threatened to move to canada before election still here,man before threatened to move to canada who election still here,sarcasm
new stapler makes all other staplers look like worthless shit,new worthless makes all other staplers look like stapler shit,sarcasm
poster vandal enters 'phallus in mouth' period,mouth vandal enters 'phallus in poster'period,sarcasm
busybody fireman ruins suicide attempt,attempt fireman ruins suicide busybody,sarcasm
police headquarters completes new addition to accommodate officers on desk duty for misconduct,police headquarters completes misconduct addition to accommodate officers on desk duty for new,sarcasm
vacationing family visits world's biggest asshole,vacationing world visits family 's biggest asshole,sarcasm
busy obama sends drone to pick up sasha from school,busy obama sends drone to pick up school from sasha,sarcasm
benadryl introduces new non-drowsy allergy dart,benadryl allergy new non-drowsy introduces dart,sarcasm
no one speculating about family matters series finale,one no speculating about family matters series finale,sarcasm
"ailing castro begins 750,000 last words","last castro begins 750,000 ailing words",sarcasm
"'whitey bulger ordered the murder of 19 people,' reports anonymous rat bastard","'whitey bulger ordered the murder people 19 of,'reports anonymous rat bastard",sarcasm
older brother to attempt unmanned bike mission into ravine,older brother to attempt into bike mission unmanned ravine,sarcasm
for-profit college hastily designs diploma for student on verge of actually graduating,for-profit college hastily designs diploma for student of verge on actually graduating,sarcasm
mudslide kind of fun until the dying part,mudslide part of fun until the dying kind,sarcasm
report: maid of honor not even that good of friends with bride,report : maid of not honor even that good of friends with bride,sarcasm
people-watcher catches glimpse of rare north american black doofus,people-watcher rare glimpse of catches north american black doofus,sarcasm
gallant amazon user heroically defends 'fringe' season 2 box set from negative reviewers,gallant amazon user heroically defends 'fringe'season 2 box from set negative reviewers,sarcasm
scotland more relaxed when sean connery is away,connery more relaxed when sean scotland is away,sarcasm
"after careful consideration, bush recommends oil drilling","consideration careful after, bush recommends oil drilling",sarcasm
"'i feel your pain,' romney tells campaign rally attendees who make $20 million a year","' who feel your pain,'romney tells campaign rally attendees i make $ 20 million a year",sarcasm
oxycontin maker criticized for new 'it gets you high' campaign,oxycontin maker high for new 'it gets you criticized'campaign,sarcasm
german auto engineer issued lab coat,lab auto engineer issued german coat,sarcasm
son's friend the kind who always gets nosebleeds,son 's gets the kind who always friend nosebleeds,sarcasm
depleted hawaiian volcano now just coughing up bile,volcano hawaiian depleted now just coughing up bile,sarcasm
foul play suspected in destruction of world's second-largest ball of twine,foul twine suspected in destruction of world 's second-largest ball of play,sarcasm
less popular friend proposes combining birthdays into single party,less popular friend into combining birthdays proposes single party,sarcasm
"study: zero people have led satisfying lives after altering original career plans, aspirations","study : original people have led satisfying lives after altering zero career plans, aspirations",sarcasm
"elderly dog can already tell owner doesn't think she's worth $3,000 gallstone surgery","elderly dog can worth tell owner does n't think she 's already $ 3,000 gallstone surgery",sarcasm
"asian tsunami, hurricane katrina, kashmir earthquake battle for natural disasty award","disasty tsunami, hurricane katrina, kashmir earthquake battle for natural asian award",sarcasm
"autopsy determines total loser's corpse contained no traces of drugs, alcohol","autopsy drugs total loser 's corpse contained no traces of determines, alcohol",sarcasm
