text,transformed_text,label
study: not being an asshole boss may boost employee morale,discipline : not may an arse boss being supercharge employee morale,sarcasm
report: friend has been going by middle name this whole fucking time,: friend has personify buy the farm this middle name by whole fucking time,sarcasm
r.e.m.'s children still hoping parents will get back together,r.e.m . 's tike back hoping parents will get still unitedly,sarcasm
new apple ceo tim cook: 'i'm thinking printers',new apple executive officer tim printers :'i 'm cook ',sarcasm
report: women only made up 2.7% of video game bosses last year,account : fair sex only made improving 2.7 % of video last bosses game year,sarcasm
thousands of cheering americans packed into park for ted cruz concession speech,thousands of cruz americans carry into park ted along concession speech,sarcasm
frugal couple saves money by making own porn,frugal money saves duo making pornography,sarcasm
restaurant fires pizza-delivery dog,fires restaurant pizza-delivery dog,sarcasm
soda nearing room temperature,board soda temperature,sarcasm
mark zuckerberg apologizes to congress for not realizing scope of his genius,scrape zuckerberg apologizes to congress for not of scope realizing his Einstein,sarcasm
no one quite sure why 8-year-old has voice of lifelong chain smoker,has unitary quite sure wherefore 8-year-old no voice of lifelong chain smoking,sarcasm
tsa agents to now simply stand at checkpoints and remind passengers that we all die someday,checkpoints broker to now plainly stand at TSA and remind passenger that we all someday,sarcasm
billy joel has billy joel's disease,billy disease has Book of Joel 's joel,sarcasm
custody battle sparks couple's first-ever interest in child,battle sparks child 's first-ever couple,sarcasm
report: 89% of suzy qs never make it out of gas station parking lots,report : 89 % of suzy Q never make out station gas of parking tidy sum,sarcasm
new national park caters to business travelers,park caters to travelers business,sarcasm
study finds flushing toilets wastes billions of gallons of piss and shit annually,study finds flushing toilets wastes billions of and of piss gallons cocksucker.,sarcasm
indian sweatshop worker has to work in the fucking dark now too,indian sweatshop worker has to solve the inward fucking dark now too,sarcasm
arby's ceo arrested with trunk full of stolen horsey sauce,'s ceo arrested horsey trunk full of steal with sauce,sarcasm
neighborhood busybody reports sound of gunshots,sound busybody write up neighborhood of gunshots,sarcasm
islamic fundamentalists condemn casual day,fundamentalists islamic decry casual day,sarcasm
trump dismisses accusers as women,the give trump sack accusers as women,sarcasm
coworker who went to gym this morning a chipper little fucker,coworker who run gym to this sunrise a chipper little fucker,sarcasm
employees from other department announce plan to ramble on about fucking nothing right next to your desk,employee from nearly department announce plan to ramble along other fucking nothing flop adjacent to your,sarcasm
recent saving of planet attributed to working assets long-distance plan,recent of planet attributed program working asset long-distance to,sarcasm
jogger clearly on first run of plan to turn life around,jogger clear along run of plan to life turn around,sarcasm
weird new cereal sets tone for first weekend at divorced dad's,weird at cereal rig shade for first weekend unexampled divorced dad,sarcasm
enthusiasm of 18-year-old first-time voter completely unbearable,of exuberance 18-year-old first-time voter unendurable,sarcasm
every conceivable nook in car stuffed with trash by second hour of road trip,every imaginable nook car stuffed 2nd folderol by with of route trip,sarcasm
friend who listened to podcast on watergate bursts into conversation with guns fucking blazing,into who hear to podcast on Watergate bursts friend conversation with guns fucking,sarcasm
returning parents can tell son had huge house fire over weekend,returning parents backside state son had vast fire house over,sarcasm
congress votes to intervene in local wedding,copulation In to votes local wedding,sarcasm
'a cashier at our davenport location did what?' disgusted sbarro ceo asks,' a location at our davenport teller coiffure what? ' disgusted enquire ceo sbarro,sarcasm
overcrowded gop field forces iowa to construct massive town hall stadium,massive gop field forces iowa to fabricate overcrowded townsfolk G. Stanley Hall stadium,sarcasm
autopsy reveals subject was still alive when autopsy began,autopsy reveals subject was alive still when necropsy get down,sarcasm
teen crafting marketable persona in garage hoping to one day win grammy,teen to marketable persona indium garage hoping crafting nonpareil day make grammy,sarcasm
scientists politely remind world that clean energy technology ready to go whenever,scientists world remind courteously that energy science to go whenever,sarcasm
raccoon crushed to death by garbage truck hits jackpot with reincarnation,crushed to death truck refuse by hits kitty with rebirth,sarcasm
man who threatened to move to canada before election still here,man who jeopardize to to Canada here election still before,sarcasm
new stapler makes all other staplers look like worthless shit,new stapler bull all other stapler bet like worthless makes,sarcasm
poster vandal enters 'phallus in mouth' period,bill period Vandal enters 'phallus in'sticker,sarcasm
busybody fireman ruins suicide attempt,ruins fireman busybody set about,sarcasm
police headquarters completes new addition to accommodate officers on desk duty for misconduct,police headquarters completes addition desk oblige officers on to duty for mishandle,sarcasm
vacationing family visits world's biggest asshole,vacationing family see world 's arse biggest,sarcasm
busy obama sends drone to pick up sasha from school,busy obama pick radio-controlled aircraft to sends up from civilise,sarcasm
benadryl introduces new non-drowsy allergy dart,benadryl introduces dart non-drowsy allergy New,sarcasm
no one speculating about family matters series finale,nobelium one family about speculating matters conclusion,sarcasm
"ailing castro begins 750,000 last words","last castro begins 750,000 ailing",sarcasm
"'whitey bulger ordered the murder of 19 people,' reports anonymous rat bastard",'whitey bulger consecrate the anon 19'reports of. bastard blabber,sarcasm
older brother to attempt unmanned bike mission into ravine,sure-enough chum to mission unmanned bike attempt into ravine,sarcasm
for-profit college hastily designs diploma for student on verge of actually graduating,for-profit college in designs haste diploma for student along verge of actually graduating,sarcasm
mudslide kind of fun until the dying part,mudslide of tolerant fun the dying,sarcasm
report: maid of honor not even that good of friends with bride,report : maid of with non eve that good of friends honor Saint Bridget,sarcasm
people-watcher catches glimpse of rare north american black doofus,people-watcher grab glimpse of doofus north american pitch-black rare,sarcasm
gallant amazon user heroically defends 'fringe' season 2 box set from negative reviewers,beau amazon season defends user 2 fit from negative,sarcasm
scotland more relaxed when sean connery is away,Scotland more relaxed represent connery when,sarcasm
"after careful consideration, bush recommends oil drilling","after careful consideration, oil recommends rock bush drilling",sarcasm
"'i feel your pain,' romney tells campaign rally attendees who make $20 million a year","' i twenty your trouble, romney tells campaign ride attendees who $ feel a yr",sarcasm
oxycontin maker criticized for new 'it gets you high' campaign,oxycontin novel knock maker 'it gets you high'campaign,sarcasm
german auto engineer issued lab coat,german motorcar lab issued engineer coat,sarcasm
son's friend the kind who always gets nosebleeds,boy 's friend gets kind who the nosebleeds,sarcasm
depleted hawaiian volcano now just coughing up bile,depleted hawaiian volcano bile just coughing improving nowadays,sarcasm
foul play suspected in destruction of world's second-largest ball of twine,foul play suspected atomic number of of 's Lucille Ball destruction twine,sarcasm
less popular friend proposes combining birthdays into single party,a to lesser extent pop friend proposes combining birthdays into single party,sarcasm
"study: zero people have led satisfying lives after altering original career plans, aspirations",study zero people have result satisfying lives aspirations master career plans altering,sarcasm
"elderly dog can already tell owner doesn't think she's worth $3,000 gallstone surgery","elderly detent can tell possessor theatre n't she 's worth $ 3,000 gallstone operating set",sarcasm
"asian tsunami, hurricane katrina, kashmir earthquake battle for natural disasty award","asian natural, hurricane katrina, kashmir earthquake conflict for tsunami disasty award",sarcasm
"autopsy determines total loser's corpse contained no traces of drugs, alcohol","autopsy determines loser 's retrace contained No corpse of drugs, alcohol",sarcasm
