text,label,source,original_text
single heard about it is it that white guy wire that that wash traitor slut and her nig nog fellow ?,1,synthetic,I heard about it is it about that white guy that killed that race traitor slut and her nig nog boyfriend ?
"If a testify does n't postulate homosexuals and/or interracial , then it has crowd of jews masquerading as course around with guns vote down other E. B . White .",1,synthetic,"If a show does n't involve homosexuals and/or interracial coupling , then it has a bunch of jews masquerading as whites running around with guns killing other whites ."
bang it when Hebrew get A discernment of own vile medicene I hope for each one every one of them young to old starve inwards the cold,1,synthetic,i love it when jews get a taste of thier own vile medicene I hope each and every one of them young to old starve in the cold
They culturally ravish european countries IN every way .,1,synthetic,They are culturally raping european countries in every way .
I hope whole their farms burn down and their nappy squandle flames .,1,synthetic,I hope all their farms burn down and their nappy headed children squandle in the flames .
"To wholly white nationalist watch ENDGAME ALEX JONES , OR ENDGAME from PRISON satellite , and the agenda from Jewish bankers .",1,synthetic,"To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers ."
Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enrich ' ( bankrupt with wish-wash this .,1,synthetic,Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enriching ' ( ruining ) with tripe like this .
", a little bit of truth skid tabu of an Israeli mouth Surprised this train of thought was moved as IT 's all over the news .",1,synthetic,"Still , a little bit of truth slipping out of an Israeli 's mouth Surprised this thread was moved as it 's all over the news here ."
"This is the false front which pose to the creation , jews are quite varied In their view and beliefs .",1,synthetic,"This is the false front which jews present to the world , but jews are quite varied in their opinions and beliefs ."
"They instead by convenience , first risk , unenlightened self-centeredness .",1,synthetic,"They instead decide by convenience , low risk , and unenlightened self-interest ."
iodine know a non who got A 's and 4 B 's robably cheated,1,synthetic,I know a non white who got 5 A 's and 4 B 's but he robably cheated 2508
immortal please bless with wisdom the judge and jury against this of thugs that they all might Be advert .,1,synthetic,God please bless with wisdom the judge and jury against this group of thugs that they all might be hanged .
Ireland does n't necessitate arab scum corresponding these,1,synthetic,Ireland does n't need arab scum like these .
What a of crap.Water are ye people for Hibernia is comprise fill over past non and this rubbish .,1,synthetic,What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .
"every f * cking cultivate child the ball is round , only PIZDAS do n't .",1,synthetic,"Every f * cking school child knows that the Globe is round , only total PIZDAS do n't ."
Their societies are fail indium every area yet they are trying to White civilization to accept their slow-witted nonwhite culture .,1,synthetic,Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .
The Negro Pre-Adamite beast girl kick that this somehow mysteriously `` targets her .,1,synthetic,The Negro Pre-Adamite beast girl complains that this somehow mysteriously `` targets '' her .
angstrom unit upright honest-to-goodness bit of nostalgia from 24-hour interval when there was hardly amp blade of grass surgery a on the pitch .,1,synthetic,A good old bit of nostalgia from the days when there was hardly a blade of grass or a coon on the pitch .
dramatise their musical panache and hand and you poison have psyche .,1,synthetic,Adopt their musical style and hand gestures and you poison your own soul .
So you would refuse other Nordic Edward Douglas White Jr. fleeing the brownness chaos in the south ?,1,synthetic,So you would refuse even other Nordic whites fleeing the brown chaos in the south ?
I hear the jews comprise looking to heart-to-heart a Holohoax center Hoosier State Antarctica next year .,1,synthetic,I hear the jews are looking to open a Holohoax center in Antarctica next year .
Therefore they had practice slavery before all other airstream .,1,synthetic,Therefore they had to practice slavery before all other races .
"so , I take in seen or heard machines knap or citizenry in streets of Stockholm however , non-european immigrant however ...",1,synthetic,"Indeed, I have n't seen or heard machines raping or robbing people in the streets of Stockholm yet , non-european immigrants however ..."
I finally came to conclusion that jews act like adenine criminal syndicate than respectable religion .,1,synthetic,I eventually came to the conclusion that jews behave more like a criminal syndicate than any respectable religion .
"IT like the world ending is the lamentable news i have ever heard in my total life , of Ireland non a white country .",1,synthetic,"that is the sadest news i have ever heard in my entire life , ireland not a white country. its like saying the world is ending"
"Blacks and mexicans were thoroughly . do yourselves a favor , shoot your . !",1,synthetic,"Blacks and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !"
it continues England testament get a cesspool of sh * * pardon my,1,synthetic,If it continues England will become a cesspool of sh * * pardon my English
"Maine thinks Genesis is a blackamoor who thinks he 's from the line of Adam.A trolling , confused , black and prowling Stormfront.So the Revelation Genesis - what be you really up to ?",1,synthetic,"Me thinks Genesis is a negro who thinks he 's from the line of Adam.A troll , confused , black and prowling Stormfront.So make the Revelation Genesis - what are you really up to ?"
"single wish they 'd all bugger forth back to the Soudan , Nigeria , or where ever so the pits it is they 're and never come rachis .",1,synthetic,"I wish they 'd all bugger off back to the Sudan , Nigeria , Ethiopia or where ever the hell it is they 're from and never come back ."
"AM sure California is full moon of sick self hating whites , who think that for the good of altogether the black and yellow the great unwashed of the humankind , gabardine ask to racial suicide and evaporate from their face of the earth for their sake and wo n't that be just dude",1,synthetic,"I am sure California is full of sick self hating whites , who think that for the good of all the black brown and yellow peoples of the world , whites need to commit racial suicide and disappear from their face of the earth for their sake and wo n't that be just dandy !"
"The regime German to hate , overly speculative that they are not already brown Muslims !",1,synthetic,"The regime wants Germans to hate themselves , too bad that they are not already brown Muslims !"
Watching those videos make water me feeling like im going to with hatred for those creatures .,1,synthetic,Watching those videos makes me feel like im going to explode with hatred for those creatures .
I went back a cpl years ago and the Shirley Temple Black vermin equal everyplace,1,synthetic,I went back a cpl years ago and the black vermin were everywhere .
Black `` women `` along London transport ...,1,synthetic,Black ``women''on London transport ...
"fountainhead , perhaps they 're slowly their fashion to destroying Eastern Europe .",1,synthetic,"Well, maybe they 're slowly working their way to destroying Eastern Europe ."
"she get going outside , the subhuman ape affair is usually out .",1,synthetic,"When she goes outside , the subhuman ape thing is usually out there ."
You constitute white and make up better then them and the next time they chivvy you and someone form a group of buddies and up to the proncipal office,1,synthetic,You are white and you are better then them and the next time they harass you and someone else form a group of buddies and go up to the proncipal office .
"I backside say that I have minority friends , and would n't hesitate to sell with the abrasive reality that they must be deported .",1,synthetic,"I can honestly say that I have minority friends , and would n't hesitate to deal with the harsh reality that they must be deported ."
"God 's own providential intervention , aided by Judaic money swindled from goyim .",1,synthetic,"God 's own divine intervention , aided by Jewish money swindled from the goyim ."
"Raising healthy , racially child is worth Thomas More than all the libtard and mud small fry in the world .",1,synthetic,"Raising 1 healthy , racially aware child is worth more than all the libtard and mud children in the world ."
One the Chinese get there teeth into a country that information technology they take .,1,synthetic,One the Chinese get there teeth into a country that s it they take over .
He is merely telling Sojourner Truth amp common the filthy jews need clamp as soon type A .,1,synthetic,He is just telling the truth as usual the filthy jews need to clamp down as soon as possible .
get along n't see why the gardai n't barely grab them and deport them none of them are gentle be here,1,synthetic,I do n't see why the gardai do n't just grab them and deport them none of them are entitled to be here
"Prostitution and dose is getting everywhere , equal from Senegal , Guinea , Federal of Nigeria , dirty prostitutes are fom Cameroun .",1,synthetic,"Prostitution and drug is getting everywhere , dealers are from Senegal , Guinea , Nigeria , dirty prostitutes are fom Cameroun ."
"personify type A country , Ireland will quicker fill up with scum .",1,synthetic,"Being a smaller country , Ireland will quicker fill up with ethnic scum ."
Maybe they will resettled deliberately as Oregon perchance they will descend for the women like the chinese men are doing .,1,synthetic,Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .
53 'm aim down to DC to put sign along the White menage gates that will read : ' No savage negro animal in White House ! ',1,synthetic,I'm heading down to DC to put a sign on the White House gates that will read : ' No savage negro BEASTS in the White House ! '
"Im living in Burnaby , entirely i see represent Chinamen everywhere ... what happened to the with child colony built the British Empire ?",1,synthetic,"Im living in Burnaby , all i see is Chinamen everywhere ... what happened to the great colony built by the British Empire ?"
Why on terra firma are the Swedish nurture get their Kids grow up in an ethnic shoal !,1,synthetic,Why on earth are the swedish parents letting their Kids grow up in an ethnic school !
who can goddamn them ? our governing treats them as Lord and we as dung . welcome to SFI Pluirin ! immigrants embody desperate to stay here .,1,synthetic,immigrants are desperate to stay here. who can blame them ? our government treats them as lords and we as muck. welcome to SFI Pluirin !
open up a new somewhere get my son more interested in education ( he detest ) service mor ein my biotic community try to white things up > >,1,synthetic,open a new shop somewhere get my son more interested in education ( he hates school ) help mor ein my community try to whiten things up > >
"I Evergreen State beaten robbed by two aboriginal concluding year and over the live couple of years i sustain watched downtown turn into black , brown and yellow township . the solid food court Portage stead has started to remind Maine of the creature from star war",1,synthetic,"I was beaten and robbed by two natives last year and over the last couple of years I have watched downtown turn into black , brown and yellow town. the food court at Portage place has started to remind me of the creature cantina from star wars ."
"agreed , there is atomic number 102 reason to make murder of other races as long as they make up in another country and have goose egg to with our affairs !",1,synthetic,"agreed, there is no reason to make genocide of other races as long as they are in another country and have nothing to do with our affairs !"
May they be for good .,1,synthetic,May they be put away for good .
Hitlerjugend Quex 500 Ewige Epistle of Jude Jude genus Sus Those are the nazi 's made and embody very good informative .,1,synthetic,Hitlerjugend Quex Der Ewige Jude Jude Suss Those are some movies the Nazi 's made and are very good and informative .
no more wonder this races nothing .,1,synthetic,No wonder this races achieve nothing .
I dont i or anyone living today brought you here or wanted you Here .,1,synthetic,I dont believe i or anyone living today brought you here or wanted you here .
"If they want to force out all these moonbats and replace them with genuine blanched conservativist , single 'm all for it .",1,synthetic,"If they want to fire all these leftist moonbats and replace them with genuine White conservatives , I 'm all for it ."
That 's every groid 's care anyhow .,1,synthetic,That 's every groid 's wish anyways .
you can never justify race mixing Some of them girls Crataegus laevigata have represent brainwash by media also you are objurgate their Kyd and furture generations of kids to a non white future .,1,synthetic,"I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future ."
"Explain to them . mass emails explicate the science behind information technology , and tell everyone not to breed with them .",1,synthetic,"Explain to them this is wrong. send mass emails explaining the science behind it , and tell everyone not to breed with them ."
A mud is a muck is adenine mud that 's whole there is to it .,1,synthetic,A mud is a mud is a mud that 's all there is to it .
"the they are they simply moved a newfangled host , to continue their destruction of Western blanched civilization and culture",1,synthetic,"Like the parasites they are they simply moved to a new host , to continue their destruction of Western White civilization and culture"
"Their stories throw embody tell apart before , so instead of the pics of the not WHITE garbage that took from them , atomic number just going to their thus they will non live .",1,synthetic,"Their stories have been told before , so instead of showing the pics of the non WHITE garbage that took from them , I am just going to post their pics so they will not be forgotten ."
These retard doing this to expedite Armageddon so they can catch a free ride to heaven .,1,synthetic,These idiots are doing this to hasten Armageddon so they can get a free ride to heaven .
Faggots are always pushing their homosexual schedule .,1,synthetic,Faggots are always pushing their homosexual agenda .
"atomic number n't survive without us , but they make out us nothing but .",1,synthetic,"They ca n't survive without us , but they do us nothing but harm ."
I was and then shocked to see all blacks when i moved to Holland : sulfur,1,synthetic,I was so shocked to see all those blacks when i moved to Holland : S
capture to laugh at he is saying about how forrad thinking and how much egyptians be intimate democracy when they are about to hand power to a bunch of voiceless line Islamic fundamentalists who ar more backward and worse than the you Could n't a up,1,synthetic,Got to laugh at how he is saying about how forward thinking and how much egyptians love democracy when they are about to hand power to a bunch of hard line Islamic fundamentalists who are more backward and worse than the last mob you Could n't make it up
"I think the only if connection homosexuality has to Christianity , in this , is the large of being interpreter of Christian churches .",1,synthetic,"I think the only connection homosexuality has to Christianity , in this country , is the large proportion of paedophiles being representatives of Christian churches ."
You witness worse since they will able-bodied to blend more and fool people into thinking 're genuine .,1,synthetic,You find they are worse since they will able to blend more and fool people into thinking they 're genuine .
Seen some lady friend about 6 years older begging along grafton street one and constitute coming prohibited of deoxyadenosine monophosphate denounce few Fukien when her pulls improving in a decent car . the lot of them . trash .,1,synthetic,Seen some girl about 6 years old begging on grafton street once and we were coming out of a shop a few mins later when her father pulls up in a decent car. scum. the lot of them .
"Where can i find a thoroughgoing list of anti Black . that have to practice with nigrify on white crimes , interracial , bleak dose dealers , etc etc .",1,synthetic,"Where can i find a complete list of anti black fliers. that have to do with black on white crimes , interracial babys , black drug dealers , etc etc ."
Islam is non with our way of life in this putting surface and pleasant isle.Irish people are Edward Douglas White Jr. and Christian !,1,synthetic,Islam is not compatible with our way of life in this green and pleasant isle.Irish people are white and Christian FFS !
... and so it run short .. The Israelite say they are The select Ones The Blacks say they are the master copy Hebrews Hebrews Our enemy want to be U and we refuse to with that we are HIS !,1,synthetic,The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..
You crapper stop this aside getting a dead pig and it underground where the mosque will beryllium progress .,1,synthetic,You can stop this by getting a dead pig and bury it underground where the mosque will be built .
The worst thing about this that every single one our beautiful Indiana ALL our commonwealth look like this .,1,synthetic,The worst thing about this is that every single one of our beautiful cities in ALL of our countries now look like this .
when I WA a little kid used to be in this school and somehow iodin spoke to this jew . sad but IT 's blond fault also to let this happen . this dude produce a narcissistic joke out of every blonde caper his best-loved was when blond pass to semen aside expend mouth as container .,1,synthetic,when I was a little kid I used to be in this school and somehow i spoke to this jew. this dude got a narcissistic laugh out of every blonde joke. his favorite was when the blond went to donate semen by using her mouth as container. sad but it 's blonds fault also to let this happen .
You will jazz it be a incubus along day you viewing you have a black muslim play your country .,1,synthetic,You will know it is a nightmare on day you wake up and you have a black muslim running your country .
unity bet they wouldnt accept execute that crap to black that had black power or those black clenched fist that the use written along his back ring .,1,synthetic,I bet they wouldnt have done that crap to a black person that had black power or those black fists that the panthers use written on his back pack .
The Juden stop with the race coalesce yet they behave n't want it for themselves .......,1,synthetic,The Juden never stop with the race mixing yet they do n't want it for themselves .......
No always found a way force big inkiness females to bolshie propaganda the way that little dumb liberal anti-whites will .,1,synthetic,No Jew has ever found a way to force a big black females to parrot Marxist propaganda the way that little dumb liberal anti-whites will .
tolerant is just the personal computer word for Rapist .,1,synthetic,Liberal is just the PC word for Rapist .
heights time they get back to Affika and fix that .,1,synthetic,High time they get back to mother Affika and fix that mess .
"I wish listen to this preacher , but why do black prreachers always own to holler .",1,synthetic,"I like to listen to this preacher , but why do black prreachers always have to scream ."
Israelite represents the snake .,1,synthetic,The Jew represents the snake .
here 's what David Irving 's site offer along Der Fuhrer 's Talks,1,synthetic,And here 's what David Irving 's site offers on Hitler 's Table Talks .
I 've gone to public school all and have been Federal Reserve this crap since 7th gradation ! !,1,synthetic,I 've gone to public school all my life and have been force fed this crap since 7th grade !!
"If you want to hear what a grim `` intellectual `` ( lol ) vocalize like , check out the woman in this video trying to debate MD William Shockley .",1,synthetic,"If you want to hear what a black `` intellectual '' ( lol ) sounds like , check out the woman in this video trying to debate Dr. William Shockley ."
"Yeah , seem Negroes represent too stupid or arrogant to use an existing thread , we see a new `` we number 4 eguptshuns Associate in Nursing rag `` every week Beaver State so .",1,synthetic,"Yeah, seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new `` we be eguptshuns an sheet '' every week or so ."
"tv exempt do n't have kids yet reading mend sewing , menting games wireless meditate extra active agent Good on you for planning group A jewv",1,synthetic,"Hi Im tv free do n't have kids yet reading mending , sewing , menting board games radio study extra curricula actives Good on you for planning a FREE jewv existence"
"As as im concerned as shortly as the petty half breed is , it should bond rotund her neck and mother and mulattoe should be flung the skinny river.Lets see if pappa inch to save them",1,synthetic,"As far as im concerned as soon as the little half breed is born , it should be tied round her neck and both mother and mulattoe should be flung in the nearest river.Lets see if daddy jumps in to save them !"
"You 're worried affirmative action and liberals , that 's your spot",1,synthetic,"You 're worried about affirmative action and liberals , that 's your spot ."
1 'm you pointed this out anti-Bullying has been used to promote who equal more in all to slap-up anyone who disaccord with them,1,synthetic,I'm glad you pointed this out that anti-Bullying campaign has been used to promote homosexuals who are more likely to bully anyone who disagrees with them .
"IN Eternal armed combat with that diabolical Spirit - The physical incarnation , existence of the : The Jews .",1,synthetic,"In Eternal Combat with that Satanic Spirit - The physical incarnation , creation of the Demiurge : The Jews ."
Call jackass and tell him about hundreds of 1000 of strange nationals who hold invaded our country and pose seige to our cities on May one .,1,synthetic,Call the jackass and tell him about hundreds of thousands of foreign nationals who have invaded our country and laid seige to our cities on May 1 .
Shows close to interesting statistics approximately the jew rats ...,1,synthetic,Shows some interesting statistics about the jew rats ...
We have already have too much that we act n't need any of those the great unwashed along our soil .,1,synthetic,We have already taken too much that we do n't need any of those people on our soil .
This truly goes to picture non will follow flannel anyplace .,1,synthetic,This truly goes to show that non whites will follow whites anywhere .
"the button , they lack us to pose and die .",1,synthetic,"Exactly, they want us to lay down and die ."
My wife had to pass time At the upward Indiana Philadelphia - thank God I was to carry in Pa . Downtown City Brotherly Love is decent a sink .,1,synthetic,My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .
: madex : madex : madex The blacks and browns are detroying Kingdom of Sweden and nobody does anything nearly it !,1,synthetic,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex
in that respect comprise things we fanny do to period the rapes that occur when blacks and other non whites nobble white char and girls getting Hoosier State elevator car them etc For a start teach women to themselves .,1,synthetic,There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .
I 'm start wonder with all your posts defending the greatest race-traitor and puppet-of-Jewry expectant Britain induce produced .,1,synthetic,I 'm beginning to wonder with all your posts defending the greatest race-traitor and puppet-of-Jewry that Great Britain has ever produced .
ye i take heed that one to . or ' we altogether came from Africa any way thus why dose it issue ' ........ my answer ? ' we evolved to ',1,synthetic,ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better'
Are you asking the African indium Confederate States America Africa wherefore they hate White so much that they murdered all over 40 thousand of them since the end of White rule ?,1,synthetic,Are you asking the Africans in South Africa why they hate White people so much that they have murdered over 40 thousand of them since the end of White rule ?
"Some of the things I noticed were shop tailors dummies that were black a couple of mud restaurant , and the germ of being `` fashionable `` contain root .",1,synthetic,"Some of the things I noticed were shop tailors dummies that were black , a couple of mud restaurants , and the germ of blacks being `` fashionable '' taking root ."
Honestly if they ever fired I 'd bear they 'd do more damage to themselves since the medium negro deficiency the intellect basic firearms training,1,synthetic,Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .
"Sounds they might have some Palestinians of either the Muslim or Judaic variety Hoosier State woodpile , shake off stones care that .",1,synthetic,"Sounds like they might have some Palestinians of either the Muslim or Judaic variety in the woodpile , throwing stones like that ."
"Let masses to join the result of `` `` , exist a glass of milk , for example , put a drop of ink in , ahead you put sugar , spices , couch ice rink inward entirely stern drink , milk completely dark to put ink become useless junk .",1,synthetic,"Let black people to join the result of `` diversity '' , is a glass of milk , for example , put a drop of ink in , before you put sugar , spices , put ice in all can drink , milk was completely dark to put ink become useless junk ."
"You can claim a negro taboo of Africa and have it mature up in Bean Town and Orlando , and still reverts to its innate negro ways the moment hits its indigene African soil .",1,synthetic,"You can take a negro out of Africa and have it grow up in Boston and Orlando , and it still reverts to its innate negro ways the moment it hits its native African soil ."
they are the Lapplander equally they recall that they anywhere they want and if your white they give you a feel just klike when you go across done a shameful vicinity . every friday they rule the streets . live up the pulley amp muslim mask .,1,synthetic,i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs
