text,label,source,original_text
POWERFUL ! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “ Welcoming The People I Fled From ” VIDEO ],0,synthetic,POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO]
WATCH THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Kelly ’ s Miserable Ratings,0,synthetic,WATCH: THINGS GOT REALLY AWKWARD When NBC Sent Hoda Over To Help Spike Megyn Kelly’s Miserable Ratings
Bystander Uses Baseball Bat To Stop Man From Crushing Toddler ’ s ‘ For ’ ( VIDEO ),0,synthetic, Bystander Uses Baseball Bat To Stop Man From Crushing Toddler’s Head ‘For God’ (VIDEO)
OBAMA Is Money To Illegal Aliens To Start Businesses…You Won ’ t Believe Where Those Businesses Are Located [ VIDEO ],0,synthetic,OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO]
Colbert Outs Republicans As The True For Obsessing Over Who Goes To The Bathroom ( VIDEO ),0,synthetic, Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO)
LOIS LERNER E-MAIL SNIPPETS REVEAL A B * TCH : “ Lincoln should have let the South go… ”,0,synthetic,LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…”
DECLASSIFIED US INTEL REPORT Used To Discredit Trump Is Huge Embarrassment…Evidence Was In 2012 After OBAMA ’ S,0,synthetic,DECLASSIFIED US INTEL REPORT Used To Discredit Trump Is Huge Embarrassment…Evidence Was Compiled In 2012 After OBAMA’S Reelection
ILLEGALS BEFORE AMERICAN CITIZENS : ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens,0,synthetic,ILLEGALS BEFORE AMERICAN CITIZENS: ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens
LEO HILLARY : Shady Excuse Doesn ’ t Fly In DiCaprio Fundraiser,0,synthetic,LEO DITCHES HILLARY: Shady Excuse Doesn’t Fly In DiCaprio Fundraiser Cancellation
Poll Shows Growing Number Of Republicans Don ’ Think Trump Is Best Option For The GOP,0,synthetic, Poll Shows Growing Number Of Republicans Don’t Think Trump Is The Best Option For The GOP
LEFTIST HATE STEROIDS : Donald Trump Tombstone Appears In,0,synthetic,LEFTIST HATE ON STEROIDS: Donald Trump Tombstone Appears In NYC
FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares : “ Black Lives Matter ! ” …Blames Deaths Of Cops On Cops,0,synthetic,FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops
CLINTON ABRUPTLY Plans To Go to Charlotte On Sunday…Gives Lame,0,synthetic,CLINTON ABRUPTLY Cancels Plans To Go to Charlotte On Sunday…Gives Lame Excuse
DEVASTATING 30 SECOND Commercial Shows Scary Truth About TARGET ’ S Open Door Bathroom Policy [ VIDEO ],0,synthetic,DEVASTATING 30 SECOND Commercial Shows Scary Truth About TARGET’S Dangerous Open Door Bathroom Policy [VIDEO]
RED FLAG IN CLINTON S FBI INTERVIEW Shocks Former Prosecutor Andrew,0,synthetic,RED FLAG IN CLINTON’S FBI INTERVIEW Shocks Former Prosecutor Andrew McCarthy
WATCH : Activist Openly Declares Contraception Should Be Illegal,0,synthetic, WATCH: Conservative Activist Openly Declares That Contraception Should Be Illegal
BLACK TV HOST HAMMERS : ‘ The only hope you have Michelle Obama is that everybody will be as miserable as you ”,0,synthetic,"BLACK TV HOST HAMMERS RACIST MOOCH: ‘The only hope you have Michelle Obama, is that everybody will be as miserable as you”"
Why This Attorney General Going After Trump For ‘ ’,0,synthetic, Why This Attorney General Is Going After Trump For ‘Fraud’
Anthony Bourdain Reveals The ‘ ONE Good Thing ’ About Trump And It ’ s HILARIOUS,0,synthetic, Anthony Bourdain Reveals The ‘ONE Good Thing’ About Trump And It’s HILARIOUS
RIGGED : Hillary Wins Popular Vote As Republicans Claim WH Victory,0,synthetic, RIGGED: Hillary Wins Popular Vote As Republicans Claim WH Victory
Billionaire ‘ Bilderberger ’ David dead at 101,0,synthetic,Billionaire ‘Bilderberger’ David Rockefeller dead at 101
"Black Man By Cops After Withdrawing $ 200,000 Of HIS Money VIDEO , IMAGES )",0,synthetic," Black Man Detained By Cops After Withdrawing $200,000 Of HIS OWN Money (VIDEO, IMAGES)"
Cruz Trying To Fiorina ’ s Hand Is More Awkward Than A Middle School Dance ( VIDEO ),0,synthetic, Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO)
MEDIA DOWNPLAYS Attack By Unhinged Neighbor On Senator Rand Paul… ’ Minor Injuries Not So Minor,0,synthetic,MEDIA DOWNPLAYS Attack By Unhinged Neighbor On Senator Rand Paul…’Minor Injuries’ Not So Minor
BREAKING : RUSSIA SMELLS OBAMA ’ S FOREIGN POLICY WEAKNESS MAKES A MOVE,0,synthetic,BREAKING: RUSSIA SMELLS OBAMA’S FOREIGN POLICY WEAKNESS AND MAKES A MOVE
MARK ON EXTORTION : Wolf Blitzer Has Put A Horse ’ s Head In Some Guy ’ s Bed,0,synthetic,MARK STEYN ON CNN EXTORTION: Wolf Blitzer Has Put A Horse’s Head In Some Guy’s Bed
‘ Maury ’ Show Official Facebook Posts CKED UP Caption On Guest That Looks Like Ted Cruz ( IMAGE ),0,synthetic, ‘Maury’ Show Official Facebook Posts F*CKED UP Caption On Guest That Looks Like Ted Cruz (IMAGE)
Trump Fan Drives Jeep Through Of Protesters ( VIDEO ),0,synthetic, Trump Fan Drives Jeep Through Crowd Of Protesters (VIDEO)
WAS MURDERED 27 YEAR OLD DEMOCRAT To Blow The On VOTER FRAUD When He Was Shot The Back ? [ VIDEO ],0,synthetic,WAS MURDERED 27 YEAR OLD DEMOCRAT Operative About To Blow The Whistle On VOTER FRAUD When He Was Shot In The Back? [VIDEO]
Sarah Palin My Husband Nearly Dying Made Me Realize How Important It Was To Elect Trump ( VIDEO ),0,synthetic, Sarah Palin: My Husband Nearly Dying Made Me Realize How Important It Was To Elect Trump (VIDEO)
Donald Trump Thanks The ‘ Poorly Educated ’ For Handing Him Victory In Nevada ( VIDEO ),0,synthetic, Donald Trump Thanks The ‘Poorly Educated’ For Handing Him Victory In Nevada (VIDEO)
DONALD TRUMP JR. JUST HUMILIATED Michael Moore In Front Of Millions On Social Media…And It Was SPECTACULAR !,0,synthetic,"DONALD TRUMP JR., JUST HUMILIATED Michael Moore In Front Of Millions On Social Media…And It Was SPECTACULAR!"
The Pope Just Called Most American Employers ( And Donald Trump ) ‘ Bloodsuckers ’,0,synthetic, The Pope Just Called Most American Employers (And Donald Trump) ‘Bloodsuckers’
Karma In All Its Glory : Republican Chairwoman Forced To Resign ‘ Obama Is A Chimp ’ Facebook Post,0,synthetic, Karma In All Its Glory: Republican Chairwoman Forced To Resign Over ‘Obama Is A Chimp’ Facebook Post
“ MODERATE ” MUSLIMS DON ’ T SPEAK OUT : Muslim Shopkeeper Makes Video Wishing Customers “ Happy Easter ” …Muslim Man Stabs Him [ VIDEO ],0,synthetic,WHY “MODERATE” MUSLIMS DON’T SPEAK OUT: Muslim Shopkeeper Makes Video Wishing Customers “Happy Easter”…Muslim Man Stabs Him To Death [VIDEO]
Racists ’ Will Explode When They Find White-On-White Crime Is Higher,0,synthetic, Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher
"( VIDEO ) FRIDAY ’ S HYSTERICAL TAKE ON THE BOEHNER , , CRUZ TUSSLE",0,synthetic,"(VIDEO) FRIDAY NIGHT’S HYSTERICAL TAKE ON THE BOEHNER, MCCONNELL, CRUZ TUSSLE"
( VIDEO ) DONALD TRUMP : “ NOT BEHOLDEN TO ANYONE ”,0,synthetic,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”
GOP Voters Declare # NeverTrump & # RepublicansForHillary As Donald Named The Nominee ( TWEETS ),0,synthetic, GOP Voters Declare #NeverTrump & #RepublicansForHillary As Donald Is Named The Nominee (TWEETS)
Even Staunch Republican Ben Stein Says He ’ d Support Sanders Or Clinton Over ( VIDEO ),0,synthetic, Even Staunch Republican Ben Stein Says He’d Support Sanders Or Clinton Over Trump (VIDEO)
BREAKING : MYSTERIOUS METAL OBJECT Flings Out Of Hillary ’ s Pant Leg During Apparent Convulsion Or Seizure [ Video ],0,synthetic,BREAKING: MYSTERIOUS METAL OBJECT Flings Out Of Hillary’s Pant Leg During Apparent Convulsion Or Seizure [Video]
Cowardly GOP . Files Police Complaint Against SENIORS Because He ’ TERRIFIED Of Dissent,0,synthetic, Cowardly GOP Rep. Files Police Complaint Against SENIORS Because He’s TERRIFIED Of Dissent
Columbine Dylan Klebold ’ s Mother Breaks Silence In New Interview ( VIDEOS ),0,synthetic, Columbine Shooter Dylan Klebold’s Mother Breaks Silence In Riveting New Interview (VIDEOS)
FARMER FINED A WHOPPING $ MILLION Asks President For Help,0,synthetic,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help
Saturday Night Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer ( VIDEO,0,synthetic, Saturday Night Live Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer (VIDEO)
Intel Committee Member : Innocent People Don ’ t Ask For ’ ( VIDEO ),0,synthetic, Intel Committee Member: ‘Innocent People Don’t Ask For Immunity’ (VIDEO)
"Trump Explains Fired James Comey , * cks Up And Admits He Should Be Impeached VIDEO )",0,synthetic," Trump Explains Why He Fired James Comey, F*cks Up And Admits He Should Be Impeached (VIDEO)"
ILLINOIS : ENTIRE OF 8-Yr Old Kids Perform of For Our Flag and Law Enforcement Under Guidance Coach,0,synthetic,ILLINOIS: ENTIRE TEAM OF 8-Yr Old Kids Perform Disgusting Act of Disrespect For Our Flag and Law Enforcement Under Guidance Of Coach
GOP HOUSE LEADERSHIP Place Political Careers Before National Security : They Are Reportedly Caving ( ),0,synthetic,GOP HOUSE LEADERSHIP Place Political Careers Before National Security: Why They Are Reportedly Caving (Again) To Democrats
JUST IN : NYC TERRORIST Allegedly Entered U.S. On NY Democrat Senator Chuck Schumer ’ s ‘ DIVERSITY VISA ” Program,0,synthetic,JUST IN: NYC TERRORIST Allegedly Entered U.S. On NY Democrat Senator Chuck Schumer’s ‘DIVERSITY VISA” Program
DEMOCRATS ARE AFRAID That Trump Will Beat Hillary…And Here s The Proof [ VIDEO ],0,synthetic,DEMOCRATS ARE AFRAID That Trump Will Beat Hillary…And Here’s The Proof [VIDEO]
"HILLARY S CAMPAIGN MANAGER STAMMERS When Why Using Trump ’ s Stolen Tax Returns , But Wikileaks Emails Aren ’ t [ VIDEO ]",0,synthetic,"HILLARY’S CAMPAIGN MANAGER STAMMERS When Asked Why Using Trump’s Stolen Tax Returns Are Okay, But Wikileaks Emails Aren’t [VIDEO]"
McCain ’ s Mad World The Cancer Conflict,0,synthetic,McCain’s Mad World and The Cancer of Conflict
[ VIDEO ] CARLY ON THE VIEW Hacks Only Days After She “ Demented Face ” And A “ Mask ”,0,synthetic,[VIDEO] CARLY TAKES ON THE VIEW Hacks Only Days After Saying She Has A “Demented Face” And A “Halloween Mask”
ABOUT HILLARY ’ COUGH : We Discovered The Secret To Why She Keeps Coughing [ Video ],0,synthetic,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video]
HOPE FOR FORGOTTEN AMERICA…Why Trump Is Last Chance For This Steel Town Where 94 % Of Jobs Have Gone [ VIDEO ],0,synthetic,HOPE FOR FORGOTTEN AMERICA…Why Trump Is Last Chance For This Steel Town Where 94% Of Jobs Have Gone [VIDEO]
DOUBLES DOWN On Threat Of Climate vs Terrorism [ Video ],0,synthetic,OBAMA DOUBLES DOWN On The Threat Of Climate Change vs. Terrorism [Video]
DIRTY POOL ! FBI AND DOJ Just Affirmed They Spied Trump WITHOUT Proving Dossier ’ s Authenticity,0,synthetic,DIRTY POOL! FBI AND DOJ Just Affirmed They Spied On Trump WITHOUT Proving Dossier’s Authenticity
Elijah Cummings Made Sure The GOP Is Well Aware They ’ A * * holes Regarding Flint,0,synthetic, Elijah Cummings Made Sure The GOP Is Well Aware They’re Hypocritical A**holes Regarding Flint
NORDSTROM CANCELS IVANKA TRUMP BRAND After Liberal Complaints # BoycottNordstrom,0,synthetic,NORDSTROM CANCELS IVANKA TRUMP BRAND After Liberal Complaints #BoycottNordstrom
"The Senate Banking Committee Held An Equifax Hearing , And The Monopoly Man Showed Up",0,synthetic," The Senate Banking Committee Held An Equifax Hearing, And The Monopoly Man Showed Up"
BUSTED ! NANCY Claims No Meeting With Russian From 2010 Proves Otherwise ! [ Video ],0,synthetic,BUSTED! NANCY PELOSI Claims No Meeting With Russian Ambassador…Photo From 2010 Proves Otherwise! [Video]
Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary ’ s Brilliant Speech,0,synthetic, Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary’s Brilliant Speech
Obama And Kerry Exposed : Secret Side Deals With Iran And No Nuclear Agreement,0,synthetic,Obama And Kerry Exposed: Secret Side Deals With Iran And No Nuclear Agreement
Bombshell Reports Confirm What We Already Believed About MSNBC ’ s Joe ( DETAILS ),0,synthetic, Bombshell Reports Confirm What We Already Believed About MSNBC’s Joe And Mika (DETAILS)
"Trump Himself In Deep Sh * t , Personally Drafted Statement Lying ’ s Russia Meeting",0,synthetic," Trump Put Himself In Deep Sh*t, Personally Drafted Statement Lying About Jr’s Russia Meeting"
TRUMP HITS BACK After Congresswoman Trashes Him Over Words Said Grieving Widow,0,synthetic,TRUMP HITS BACK After Cowgirl Congresswoman Trashes Him Over Words Said to Grieving Widow
CAN HILLARY LIE HER WAY OUT THIS ? PHYSICIAN Says Hillary Has Parkinson ’ s Disease…Hillary She Couldn ’ t Even “ Get ” After Convention,0,synthetic,CAN HILLARY LIE HER WAY OUT OF THIS ONE? PHYSICIAN Says Hillary Has Parkinson’s Disease…Hillary Admits She Couldn’t Even “Get Up” After Convention
WOW ! NEWS ANCHOR Hammers On His Pro-Muslim At Mosque [ Video ],0,synthetic,WOW! NEWS ANCHOR Hammers Obama On His Pro-Muslim Speech At Radical Mosque [Video]
‘ Drain The Swamp ’ Trump Is Now Doing White House Ads For Corporate America ( VIDEO ),0,synthetic, ‘Drain The Swamp’ Trump Is Now Doing White House Ads For Corporate America (VIDEO)
[ VIDEO WHAT JERRY SEINFELD HAS SAY ABOUT OVERLY PC COLLEGE KIDS MAKE THE LEFT CRAZY,0,synthetic,[VIDEO] WHAT JERRY SEINFELD HAS TO SAY ABOUT OVERLY PC COLLEGE KIDS WILL MAKE THE LEFT CRAZY
ANTI-HILLARY POSTERS UP All Over Hollywood…Great timing !,0,synthetic,ANTI-HILLARY POSTERS POP UP All Over Hollywood…Great timing!
"# LockHimUp Chair Jason Chaffetz : If Comey ’ s Leaked Memos Contained Classified Information , He Should Have Handcuffs On And Go To Jail",0,synthetic,"#LockHimUp Former Oversight Chair Jason Chaffetz: If Comey’s Leaked Memos Contained Classified Information, He Should Have Handcuffs On And Go To Jail"
BRAVO ! POPULIST REPUBLICANS Target Out Of Control Immigration Like The Ridiculous Diversity Lottery ”,0,synthetic,BRAVO! POPULIST REPUBLICANS Target Out Of Control LEGAL Immigration Like The Ridiculous “Diversity Lottery”
BREAKING ! INVESTIGATION : Hillary Clinton Did NOT Comply Records Rules,0,synthetic,BREAKING! INVESTIGATION: Hillary Clinton Did NOT Comply With Records Rules
It ’ s Time ! : Russia Probe Just Worse For Trump And It ’ s Going To Hurt,0,synthetic, It’s Mueller Time!: Russia Probe Just Got Worse For Trump And It’s Going To Hurt
WOW ! PROTESTER Caught On Camera Admits Violent Activity Was Pre-Planned : “ It ’ s not gon na be peaceful ”,0,synthetic,WOW! CHICAGO PROTESTER Caught On Camera Admits Violent Activity Was Pre-Planned: “It’s not gonna be peaceful”
Chris Cuomo SLAMS Trump For A Lot Of Things That Can ’ t Be Done ” In Energy Speech ),0,synthetic, Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO)
BOMBSHELL : Devin Nunes ’ Entire Net Worth Sunk In Company With Strong Ties To,0,synthetic, BOMBSHELL: Devin Nunes’ Entire Net Worth Sunk In Company With Strong Ties To Russia
KARMA ! BIRTHDAY BOY BILL CLINTON HECKLED BY KIDS ON THE GOLF COURSE,0,synthetic,KARMA! BIRTHDAY BOY BILL CLINTON HECKLED BY KIDS ON THE GOLF COURSE
THINK CAN ’ T END UP GREECE ? THINK AGAIN !,0,synthetic,THINK AMERICA CAN’T END UP LIKE GREECE? THINK AGAIN!
Student Haz A Sad After Everyone Mocks Him For His Hat ( VIDEO ),0,synthetic, Student Haz A Sad After Everyone Mocks Him For His Trump Hat (VIDEO)
This Really Happened : Fox Interrupted Trump To Criticize Him And Obama,0,synthetic, This Really Happened: Fox Interrupted Trump To Criticize Him And Praised Obama
WATCH : Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump ’ s Job,0,synthetic, WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job
WIKILEAKS HITS BACK At Lying Political Hack James Clapper…Testimony The Hill Highly Partisan ! [ Video ],0,synthetic,WIKILEAKS HITS BACK At Lying Political Hack James Clapper…Testimony On The Hill Highly Partisan! [Video]
"BOOM ! TED CRUZ , PUSH For Limits : “ It is well past time put an end to the cronyism and deceit… ”",0,synthetic,"BOOM! TED CRUZ, DESANTIS PUSH For Term Limits: “It is well past time to put an end to the cronyism and deceit…”"
LOBBYING FOR VOTES ? How Trump Could LEGALLY Fly The 200 Must Have Delegates To Mar-a-Lago For A Luxurious Weekend,0,synthetic,LOBBYING FOR VOTES? How Trump Could LEGALLY Fly The 200 Must Have Delegates To Mar-a-Lago For A Luxurious Weekend
INCOMING FRESHMEN Are Put On Notice With Welcome Letter From U of Chicago Dean Of Students… ” Trigger Warning ” Crybabies Stay Home,0,synthetic,INCOMING FRESHMEN Are Put On Notice With Welcome Letter From U of Chicago Dean Of Students…”Trigger Warning” Crybabies Stay Home
Newt Gingrich To Stiff Small Businesses FEC Shot Him Down,0,synthetic," Newt Gingrich Attempted To Stiff Small Businesses, FEC Shot Him Down"
INSIDE TRUMP ’ S CHARITY BALL Tonight Beautiful Mar-A-Lago…Protests Outside [ Video ],0,synthetic,INSIDE TRUMP’S CHARITY BALL Tonight At Beautiful Mar-A-Lago…Protests Outside [Video]
"Leslie Knope Writes Powerful , Heartbreaking Letter To America That Should Read",0,synthetic," Leslie Knope Writes Powerful, Heartbreaking Letter To America That EVERYONE Should Read"
"Stephen Colbert And His Audience Absolutely Pummeled Bill O ’ Reilly , And It Was Spectacular ( VIDEO )",0,synthetic," Stephen Colbert And His Audience Absolutely Pummeled Bill O’Reilly, And It Was Spectacular (VIDEO)"
"GOP Gives Trump The Finger , Prepares To Launch Probe Into Russia",0,synthetic," GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia"
Anti-Trump Protester ’ X-Rated Comment MSNBC Anchor : “ Grow The Hell Up ! ”,0,synthetic,Anti-Trump Protester’s X-Rated Comment Angers MSNBC Anchor: “Grow The Hell Up!”
WATCH : Democrats Release Video PERFECTLY Highlighting Hypocrisy Of Trump ’ s Appointments,0,synthetic, WATCH: Democrats Release Video PERFECTLY Highlighting Hypocrisy Of Trump’s Appointments
"New Poll How Batsh * Trump Fans Are , Gives Them A BRUTAL Reality ( IMAGES )",0,synthetic," New Poll Shows How Batsh** CRAZY Trump Fans Are, Gives Them A BRUTAL Reality Check (IMAGES)"
“ Peaceful Muslims Scream : “ THIS IS FOR ” Driving Van MPH ARMED Terrorists On Run In Gun-Free London…Britain ’ s PM Calls It “ Potential Act Of Terror ” [ VIDEO ],0,synthetic,“Peaceful” Muslims Scream: “THIS IS FOR ALLAH” After Driving Van 50 MPH Pedestrians…3 ARMED Terrorists On Run In Gun-Free London…Britain’s PM Calls It “Potential Act Of Terror” [VIDEO]
"PERSONALITY : Don ’ t Blame Trump For Muslim Ban Comments , He Speaks For Masses…Who Can Americans For Wanting To End Up Like ? [ VIDEO ]",0,synthetic,"BRITISH TV PERSONALITY: Don’t Blame Trump For Muslim Ban Comments , He Speaks For The Masses…Who Can Blame Americans For Not Wanting To End Up Like UK? [VIDEO]"
‘ Pissed As Hell ’ Oregon Rancher FURIOUS At Militia : ‘ This Is My Home ! ’ ( VIDEO ),0,synthetic, ‘Pissed As Hell’ Oregon Rancher FURIOUS At Bundy Militia: ‘This Is My Home!’ (VIDEO)
TRIGGERED ! FORMER CIA AGENT : ‘ Trey Gowdy Ought to Have His A * * Kicked ’ Video ],0,synthetic,TRIGGERED! FORMER CIA AGENT: ‘Trey Gowdy Ought to Have His A** Kicked’ [Video]
Trump HUMILIATED As WH Walks Back His Attack After Soldier ’ s Confirms His Insensitive Phone Call,0,synthetic, Trump HUMILIATED As WH Walks Back His Attack After Soldier’s Mom Confirms His Insensitive Phone Call
GOP Rep. Just Achieved The IMPOSSIBLE By Outdoing Trump ’ s Hypocrisy February Jobs Report,0,synthetic, GOP Rep. Just Achieved The IMPOSSIBLE By Outdoing Trump’s Hypocrisy On February Jobs Report
PUTIN ACCUSES U.S. Of Leaking Flight Path Of Russian Plane Shot Down By Turkey…Turkey Buying ISIS Oil,0,synthetic,PUTIN ACCUSES U.S. Of Leaking Flight Path Of Russian Plane Shot Down By Turkey…Turkey Buying ISIS Oil
WATCH : Morning Joe Host Tells Kellyanne Conway To Go F * ck BANS Her From Show,0,synthetic," WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show"
DRAIN OBAMA ’ S SWAMP ! Rep Chaffetz Calls Out OBAMA Fed Ethics Director Over Public Criticisms Of Trump,0,synthetic,DRAIN OBAMA’S RADICAL SWAMP! Rep Chaffetz Calls Out OBAMA APPOINTED Fed Gov Ethics Director Over UNETHICAL Public Criticisms Of Trump
"BREAKING Shooter Targets Congressional Republicans At Baseball Practice , Steve Scalise Shot",0,synthetic," BREAKING: Shooter Targets Congressional Republicans At Baseball Practice, Steve Scalise Shot"
FULL INTERVIEW : Judge Jeanine ’ s With President Trump [ Video ],0,synthetic,FULL INTERVIEW: Judge Jeanine Pirro’s In-Depth Interview With President Trump [Video]
KIDDING Serial Liar Brian Williams FAKE NEWS ” Hillary ’ s Loss On MSNBC Last [ VIDEO ],0,synthetic,NOT KIDDING! Serial Liar Brian Williams Blames “FAKE NEWS” For Hillary’s Loss On MSNBC Last Night [VIDEO]
"WELL , DUH ! Transgender Wins International Women ’ Weightlifting Title",0,synthetic,"WELL, DUH! Transgender Wins International Women’s Weightlifting Title"
WATCH : Chuck Todd Puts Screws To Mitch McConnell For Not Giving Merrick A Chance,0,synthetic, WATCH: Chuck Todd Puts The Screws To Mitch McConnell For Not Giving Merrick Garland A Chance
SAY ? # BlackLivesMatter TEXTBOOKS TO BE AS PART OF COMMON CORE CURRICULUM IN GRADES [ ],0,synthetic,SAY WHAT? #BlackLivesMatter TEXTBOOKS TO BE USED AS PART OF COMMON CORE CURRICULUM IN GRADES 6-12 [Video]
BREAKING : CLINTON CLEARED…Was A Coordinated Last Minute Trick To Energize Hillary ’ Base ?,0,synthetic,BREAKING: CLINTON CLEARED…Was This A Coordinated Last Minute Trick To Energize Hillary’s Base?
HILLARY ! Who Really Fed Hillary The Answers To Her Questions At Veteran ’ s Forum ?,0,synthetic,HILLARY CHEATED! Who Really Fed Hillary The Answers To Her Questions At Veteran’s Forum?
Evan McMullin : ‘ Never In His Life ’ Has Trump Had To Watch His Mouth ( VIDEO ),0,synthetic, Evan McMullin: ‘Never In His Life’ Has Trump Had To Watch His Mouth (VIDEO)
"Mothers Of The Movement Bring DNC To Tears , So Right-Wing Racists Come Out In Droves ( )",0,synthetic," Mothers Of The Movement Bring DNC To Tears, So Right-Wing Racists Come Out In Droves (VIDEO)"
"FBI Releases DAMNING Information About Russian Collusion , Trump TERRIFIED",0,synthetic," FBI Releases DAMNING Information About Russian Collusion, Trump TERRIFIED"
Ben Jerry ’ s Ice Founders Get Arrested At U.S. Capitol,0,synthetic, Ben & Jerry’s Ice Cream Founders Get Arrested At U.S. Capitol
Dream Come True : Judge Grants Rapist Joint Custody Of Victim s Child,0,synthetic, Conservative Dream Come True: Judge Grants Rapist Joint Custody Of Victim’s Child
"After Sex Scandal Allegations , Ted Cruz Unleashes Colossally Pathetic Hissy Fit On Facebook",0,synthetic," After Sex Scandal Allegations, Ted Cruz Unleashes Colossally Pathetic Hissy Fit On Facebook"
Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday,0,synthetic, Tiffany Trump Is Sad As Hell After Whole Family Completely Forgot Her Birthday
Ohio Fireman In Sh * t For HORRIBLE Remarks About Saving N * * * * * s ’,0,synthetic, Ohio Fireman In Deep Sh*t For HORRIBLE Remarks About Saving ‘N*****s’
BREAKING : OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky,0,synthetic,BREAKING: OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky
