headline,detection,transformed_text
jake tapper to trump: kim jong un is not a 'smart cookie' — he's a murderer,not sarcastic,
first 'teenage mutant ninja turtles 2' trailer reveals bebop and rocksteady,not sarcastic,
desperate trump campaign turns to congress for support in attacks against khan family,not sarcastic,
"manhattan da swept harvey weinstein sexual harassment under the rug, report alleges",not sarcastic,
who will win and who should win at the 2015 emmys,not sarcastic,
custody battle sparks couple's first-ever interest in child,sarcastic,battle sparks child 's first-ever couple
gop lawmaker: gay rep. should have stayed in the closet,not sarcastic,
dick cheney would torture again,not sarcastic,
"gentrification mockumentary asks you to please remember rich, white kids",not sarcastic,
oxford student wins prize for photo of atom taken with dslr camera,not sarcastic,
7 ways to build a community using data-driven narratives,not sarcastic,
indian country all too familiar with rachel dolezals of the world,not sarcastic,
charlize theron meets the kill club in new 'dark places' clip,not sarcastic,
'little boy' stands tall,not sarcastic,
8 super effective ways to use social media to land your next job,not sarcastic,
macklemore to fans: use music to resist trump,not sarcastic,
tim scott: every senator should read coretta scott king,not sarcastic,
poster vandal enters 'phallus in mouth' period,sarcastic,bill period Vandal enters 'phallus in'sticker
'don't cry for me',not sarcastic,
an open letter to white supremacists from former owner of biggest racist record label,not sarcastic,
neighborhood busybody reports sound of gunshots,sarcastic,sound busybody write up neighborhood of gunshots
"the sanders-clinton debate flap, explained",not sarcastic,
connecticut to give its electoral college votes to national popular vote victor,not sarcastic,
why suing your bank could help others avoid being ripped off,not sarcastic,
she dropped everything to come fight for immigration reform. she's still waiting.,not sarcastic,
zayn malik breaks his twitter silence to thank fans,not sarcastic,
report: apocalypse actually happened 3 years ago,sarcastic,: materialise actually apocalypse 3 years agone
gym teacher still remembers names of every former pantywaist,sarcastic,gym teacher names remembers still of every sometime pantywaist
jeb bush: i misjudged the intensity of gop voters' anger,not sarcastic,
ctrl+ plus: a closer look at amc's halt and catch fire,not sarcastic,
ivy-covered home like that on inside too,sarcastic,dwelling house too that along inside like
kim kardashian gives us the first glimpse of saint west,not sarcastic,
bankrupt toys 'r' us forced to euthanize thousands of hatchimals,sarcastic,
bts proves k-pop's power with spot on time magazine's most influential list,not sarcastic,
what it means to be a 'dream director' at one of d.c.'s struggling schools,not sarcastic,
heavy snow and high winds pound the east coast,not sarcastic,
"north korea fires multiple missiles, south korean military says",not sarcastic,
"news roundup for july 19, 2017",not sarcastic,
nba free agency winners and losers,not sarcastic,
6 things you didn't know about michael b. jordan,not sarcastic,
trump's trojan horse tax cut,not sarcastic,
overcrowded gop field forces iowa to construct massive town hall stadium,sarcastic,massive gop field forces iowa to fabricate overcrowded townsfolk G. Stanley Hall stadium
how to advance lgbt rights in red states,not sarcastic,
harry styles announces his world tour dates,not sarcastic,
deadly midair collision reported in maryland,not sarcastic,
"local play well-attended by friends, family",sarcastic,
labor unions blamed for derailing campaign transparency efforts,not sarcastic,
french catering company employs refugees to cook their native foods,not sarcastic,
miley cyrus' 'wrecking ball' could be kelly clarkson's best cover yet,not sarcastic,
rudy giuliani just said trump is trying to 'get us back to a free press',not sarcastic,
twitter's latest anti-troll measure is perfectly timed,not sarcastic,
north korea promised to include release of u.s. citizens in meeting with trump: report,not sarcastic,
cuomo makes surprise afghanistan trip,not sarcastic,
groups working to make the world wide web live up to its name,not sarcastic,
police seek suspect in series of random later hostings,sarcastic,
a feminist meets fidel castro,not sarcastic,
kevin hart drops an f-bomb in awkward nfl network interview,not sarcastic,
these strangers rushing to help one another remind us we're not alone,not sarcastic,
women honor harriet tubman with 100-mile trek along the underground railroad,not sarcastic,
"bush urges senate to give alito fair, quick, unanimous confirmation",sarcastic,
trump reads fake version of own speech,not sarcastic,
spot-on video sums up the wildly different lives of cat and dog owners,not sarcastic,
j.j. abrams explains how he picked the new 'star wars' character names,not sarcastic,
"in the 'bad moms christmas' trailer, the bad moms' moms are crashing the party",not sarcastic,
here's how you can help lgbt survivors of prison rape this holiday season,not sarcastic,
supreme leader khamenei says iranian nuclear weapons are a u.s. 'myth',not sarcastic,
chipotle ceo predicts the demise of 'irrelevant' fast food chains,not sarcastic,
"sudden cardiac arrest more likely in african-americans, new study says",not sarcastic,
thinking more broadly about mothering this mother's day,not sarcastic,
growing up with the holocaust as a writer,not sarcastic,
funniest parenting tweets: what moms and dads said on twitter this week,not sarcastic,
why are bi men less likely to open up about same-sex attraction?,not sarcastic,
why uber should hire a woman ceo,not sarcastic,
the basics of personal branding - five simple questions before you start,not sarcastic,
don't read lena dunham: it only encourages her,not sarcastic,
cop takes cinnamon bun into own hands,sarcastic,
facebook reportedly beta-testing 'downvote' button,not sarcastic,
ana navarro calls out gop: you'd impeach hillary clinton over this,not sarcastic,
7 phrases you should never say during an argument,not sarcastic,
and the city with the least attractive people is...?,not sarcastic,
enthusiasm of 18-year-old first-time voter completely unbearable,sarcastic,of exuberance 18-year-old first-time voter unendurable
chris murphy: congress giving 'quiet endorsement' to murders,not sarcastic,
"universities, public spaces and the democratic way of life",not sarcastic,
olivia delivers a classic shondaland elevator moment in exclusive 'scandal' clip,not sarcastic,
hip-hop legends salt-n-pepa want more women in rap today,not sarcastic,
learning to live with ulcerative colitis,not sarcastic,
missouri governor accuses ferguson police of attacking michael brown's character,not sarcastic,
success academy works for my kid,not sarcastic,
love the real you: the case for self love,not sarcastic,
jaden smith is all of us during kanye west's vmas speech,not sarcastic,
new airport security rules could mean 'short interviews' with passengers,not sarcastic,
5 things about wedding planning that really suck,not sarcastic,
international women's day,not sarcastic,
aarp warns of sweepstakes scams,not sarcastic,
oscars line up five non-white presenters,not sarcastic,
key california lawmaker steps down amid harassment claims,not sarcastic,
reinventing win-win-win business relationships,not sarcastic,
these latinos' reactions to 'coco' prove representation matters,not sarcastic,
u.s. justices reject challenge to protest ban on supreme court plaza,not sarcastic,
man travels to historic art locations just to paint the patterns on his shirts,not sarcastic,
85 percent of u.s. cole slaw remains uneaten,sarcastic,85 kale of u.s. percent slaw stay uneaten
doing my daughter's hair makes me feel like a better dad,not sarcastic,
a small request for mother's day,not sarcastic,
republican supporter of kim davis contradicts his own stance,not sarcastic,
amazon unhinged,not sarcastic,
a new what??,not sarcastic,
8.8 million people enrolled in obamacare plans for 2018,not sarcastic,
8 ways to recommit to your fading resolutions,not sarcastic,
navy hospital removes staffers for calling babies 'mini satans' on social media,not sarcastic,
hot new website 'facebook' is lighting up the charts,not sarcastic,
everything you need to know about how stress affects your skin,not sarcastic,
donald trump meets chief justice roberts to talk inauguration,not sarcastic,
to wax or not to wax?,not sarcastic,
watch a wrecking ball destroy a bunch of cars and get on with your life,not sarcastic,
new ted nugent cologne tested on 'every goddamn animal we could find',sarcastic,new Teddy boy nugent cologne essay along 'every goddamn we animal find '
syria misses another chemical weapons benchmark despite 'significant progress',not sarcastic,
chrissy teigen is thankful she can now filter out the haters on instagram,not sarcastic,
history will remember transphobic trump and his supporters with contempt,not sarcastic,
"power companies could use drones to save lives, cut costs",not sarcastic,
my truth about being a black man and a black cop,not sarcastic,
a devastating story of friendship and heartbreak that definitely passes the bechdel test,not sarcastic,
house vote maintains military ability to jail people without trial,not sarcastic,
man takes parents on tour of city where he came to escape them,sarcastic,
can you hear us now: an ongoing movement to raise the voices of muslim women,not sarcastic,
deputy interior secretary met with lobbyist for a casino his former firm also represents,not sarcastic,
kids as crash test dummies: brownback outsources child support services to donor,not sarcastic,
how every new year's eve ends up being awful,not sarcastic,
new york times throws vicious oscars shade at kevin spacey,not sarcastic,
isis struggling to narrow down gop debate sound bites for new recruitment video,sarcastic,ISI struggling to narrow recruitment gop debate sound chomp for new down video
toasting 2017 goodbye with ketogenic kool-aid,not sarcastic,
argentinian tv station trolls donald trump,not sarcastic,
celebrate older americans month by fighting senior poverty,not sarcastic,
even prison officials want to curb solitary confinement,not sarcastic,
paul pierce accidentally proves la is still a lakers town,not sarcastic,
the magical turpan,not sarcastic,
coworker who went to gym this morning a chipper little fucker,sarcastic,coworker who run gym to this sunrise a chipper little fucker
ted cruz-john kasich pact gets off to a bad start,not sarcastic,
toyota launches 'back to the future'-themed ad campaign,not sarcastic,
"for gay couple, fulfilling lifelong dream of marriage not worth moving to iowa",sarcastic,
plan b releases new heart-shaped tablets for valentine's day,sarcastic,
employees from other department announce plan to ramble on about fucking nothing right next to your desk,sarcastic,employee from nearly department announce plan to ramble along other fucking nothing flop adjacent to your
a pennsylvania house race embodies the fight for the future of the democratic party,not sarcastic,
did climate change spawn all these hurricanes? here's why it's hard to say.,not sarcastic,
what do kids need to know about race?,not sarcastic,
new study determines the best way to discipline your teen,not sarcastic,
charity exec braves mt. kilimanjaro to rally support for hell's kitchen social services,not sarcastic,
thousands of cheering americans packed into park for ted cruz concession speech,sarcastic,thousands of cruz americans carry into park ted along concession speech
"gentrification rolls on in dallas, but will it grow up?",not sarcastic,
jury awards ex-employee of roscoe's chicken n' waffles $1.6m in race discrimination suit,not sarcastic,
red carpet organizers regret only renting one porta potty,sarcastic,
want to challenge trump on immigration? try a strategy from the antebellum south,not sarcastic,
police near st. louis quash peaceful protest by declaring it an unlawful assembly,not sarcastic,
drought bad,sarcastic,bad drouth
photographer captures private moments of lgbtq icons in stunning color,not sarcastic,
9 things parents could buy with the money they spend on child care,not sarcastic,
"justin trudeau continues to melt hearts, teaching son how to make s'mores",not sarcastic,
siri's creators say they've made something for you,not sarcastic,
this author thinks all women are 'crazy' -- and wants us to own it,not sarcastic,
blissful ignorance commemorated on annual 9/10 anniversary,sarcastic,
watch: tennis star mirjana lucic-baroni delivers the world's greatest motivational speech,not sarcastic,
watch: why mirrors flip things sideways but not upside down,not sarcastic,
assessing our children to death,not sarcastic,
with friends like these: trump speaks among bigots who want lgbt people dead,not sarcastic,
meg gavin's gps guide for finding perspective,not sarcastic,
how synagogues honor non-jewish congregants on yom kippur,not sarcastic,
a mother's day tribute to my mother-in-law,not sarcastic,
michael phelps says that he's now ready to retire,not sarcastic,
bernie sanders' health care bill is a huge win for the abortion rights movement,not sarcastic,
what about trump's campaign promise of 'america first'?,not sarcastic,
minnesota café charges 35 cent 'fee' to protest minimum wage hike,not sarcastic,
here's a complete rundown of what happened at the second presidential debate,not sarcastic,
is the fda sleeping on the job when it comes to sleeping pills?,not sarcastic,
donald trump thinks north carolina got it wrong on anti-lgbt bathroom bill,not sarcastic,
now that's what i call shitty music 8 tops album charts,sarcastic,now that 's what i call 8 music shitty tops charts
pakistani military engagement: walking a fine line between saudi arabia and iran,not sarcastic,
traveling tips for families with special diet,not sarcastic,
a love contract to help pets deal with parents' breakup,not sarcastic,
why i'm building my political wardrobe,not sarcastic,
ryan reynolds wished his brother a happy birthday the only way he knows how,not sarcastic,
congo postpones elections as opposition calls for general strike,not sarcastic,
you can finally get kendall and kylie jenner's new video game,not sarcastic,
controversial congressman touts iowa 'peasant hunt' with donald trump jr.,not sarcastic,
no one knows how medieval nuns used this mysterious prayer wheel,not sarcastic,
storm harvey could financially hurt already strained houston hospitals,not sarcastic,
illinois considers allowing recall attempts of chicago mayor,not sarcastic,
mcdonald's just caved to a ton of pissed off 'rick & morty' fans,not sarcastic,
7 facts school leaders want you to know about kids in new orleans,not sarcastic,
why it's time to stop casually calling people 'schizophrenic' and 'bipolar',not sarcastic,
monica lewinsky: 'i'm not alone anymore' thanks to the me too movement,not sarcastic,
al roker slams 'moron' jim inhofe for bringing snowball to senate,not sarcastic,
benadryl introduces new non-drowsy allergy dart,sarcastic,benadryl introduces dart non-drowsy allergy New
"god, jesus and the bible: faqs for gay pride month",not sarcastic,
13 reasons to feel hopeful during a rough month,not sarcastic,
mitt romney 'planning to run' for senate if orrin hatch retires: report,not sarcastic,
geniuses made a must-watch 'formation' parody about anti-abortion laws,not sarcastic,
the army tells its soldiers to get some sleep,not sarcastic,
megyn kelly on donald trump: 'i have done my level best to not make this story about me',not sarcastic,
"joy reid: gop in bizarre mirror universe where clinton is guilty, trump is blameless",not sarcastic,
5 signs that you should end your relationship,not sarcastic,
wednesday's morning email: latest missile launch from north korea appears to put entire continental u.s. in range,not sarcastic,
"there's no need to fear other people's 'bad energy,' says psychic",not sarcastic,
new stapler makes all other staplers look like worthless shit,sarcastic,new stapler bull all other stapler bet like worthless makes
