speech,detection,transformed_speech
"I know we have to be polite , but come on , we do n't have to lie ...",no hate,
That could be cool !,no hate,
I found out this morning that junior school kids are n't allowed to sing Bar Bar Black sheep anymore because it 's racist and might offend the coloured kids so they are being told to sing Bar Bar randow sheep ! whats next we 'll not be allowed to sing god save the queen .,no hate,
How do you feel about marriages between whites and racially mixed people ?,no hate,
This film makes my soul ache seeing man 's inhumanity to man in live color .,no hate,
Get off your arse and do it yourself.Hand out a few leaflets in some Irish town and show pictures i done it years ago in Dublin why cant you do it now ?,no hate,
This is just some horny dumb kid .,no hate,
"Her victim Wesley Mosier was shot multiple times in the chest , then she and her teen aged son got out and proceeded to kick him repeatedly until the police showed up http://www.courier-journal.com/artic ... g + motorcyclist",no hate,
Form Letter to Send to German Government on Behalf of Ernst Zundel .,no hate,
St. Pats football teams fans use the St. Patricks Cross aswell as it being the symbol for the IRU .,no hate,
"Beautiful, I 'm so glad it went well .",no hate,
May they all get mad cow disease .,Hate,
MrBadgerSir,no hate,
"I'm a cowboy , some what .",no hate,
"Our schools are horrible , all they teach is telling kids to be liberal and respect people of all races and take no pride in your own .",no hate,
Guns n Roses is not music .,no hate,
I think they will figure it out when the ratings start to slide .,no hate,
But get the eyes wide open and lets rock attitude ... most will back off and go away ..... been there with ya !,no hate,
"Defeats the bloody object of having an ignore facility if one reads the thread , doh , Pray all you want my God wont count ' em",no hate,
"I think the only connection homosexuality has to Christianity , in this country , is the large proportion of paedophiles being representatives of Christian churches .",Hate,"I think the exclusively connection homosexuality large is Christianity, in rural area, to has of paedophiles being representative of Christian churches."
What do you all think ?,no hate,
Chicago passed New York as America 's murder capital in 2012 despite the Windy City only having a third of the Big Apple 's population .,no hate,
"From your one time enemies , and now eternal allies , the English",no hate,
I will have to try that and see how much force it adds !,no hate,
"In all likelyhood , it 's jews painting the road of skank for her to follow .",Hate,
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',Hate,They 're Sir Noel and Pierce simpletons who are dead incapable of generating a reason argument phrases of sententiously repeated strain free scare-words like `` antiblack. ``
You will find several compatriots there .,no hate,
They bred with inferiors creating these mongrels,Hate,
Does anyone have that video of black gang attacking a white teenagers in front of his house and then a black gang of females attack his mother for trying to protect her son .,no hate,
"These high school curriculums are more about encouraging white girls to hate white males , not other males .",no hate,
THEY ARE NOT ODD !!!!,no hate,
I ca n't wait till the news starts promoting racial integration with the negro Too unsuspecting whites who do n't know she is not a white,no hate,
"I guess in that case , I will just grow a big fro , and it 's no big deal .",no hate,
"They are scum , they are traitors .",Hate,
Hi guys I am thinking of going to Katowice at the weekend .,no hate,
"Yes, you 've been talking that way aloud in the public for most of your life .",no hate,
Of course it sucks that we will perhaps have a left winged government that will throw most of that money away on immigrants and aid to african countries,no hate,
They decided to go on a road trip .,no hate,
"Two employees and one customer told police two men , brandishing a long-barrel rifle , stole the cash drawer with an undisclosed amount of money and fled on foot .",no hate,
His spirit will always be with us and we will always honor him as the man who led us out of the darkness so we will never get lost again as a people .,no hate,
http://www.whitewire.net/index.php ? p = 82#more-82 Who says that Dr. Pierce did n't accurately predict the future in the Turner Diaries ?,no hate,
18 times in the last 20 years 9 times in 130 years ....,no hate,
In under 15 minutes the shooter is hitting the paper plate .,no hate,
i agree. just for the simple fact that i grew up in orlando fl. it was a good place to live at one time. but not any more. the crime went up and is still on the rise .,no hate,
Has it gone or can I just not find it ?,no hate,
He is just telling the truth as usual the filthy jews need to clamp down as soon as possible .,Hate,As is equitable the antiophthalmic factor common the jews to clamp down as soon He possible
Mostly gone .,no hate,
Liberal is just the PC word for Rapist .,Hate,free is just the for computer word personal Rapist
I think girls go to clubs to meet guys cause there are so many guys there it makes it easier to meet some one. atleast thats what i have been told. im not into the dancing they do .,no hate,
BTW - I do n't recall seeing a Mars Bar in S.A ?,no hate,
Thieves and liars always think you 're stealing and lying .,no hate,
Great work Mjodr .,no hate,
There are no excuses .,no hate,
"Agree with the rest , the recent transfer window says everything , hundreds of millions spent on a few players .",no hate,
I so hope that coon got life in jail or the death penaltyYou did and are doing the best you can nobody can ask for more .,Hate,
To love ones people in these dark ages is considered a weakness to be exploited .,no hate,
Zip it up into one big file and share it on Gnotella as a new movie .,no hate,
just wanted to give this a bump up. we have had a few good people coming to our weekly get together and would like to encourage anyone else interested in meeting and networking with us here in Calgary to feel free to pm me .,no hate,
Part 3 - Woman by anthropology showing how different and beautiful Europid woman are Ingeborga Dapkunaite - Baltic Elena Dementieva - East Nordid 　 Anna Kournikova - East Baltic Brigitte Bardot - Sub-Nordid,no hate,
I posted this on SF a couple of years back .,no hate,
Its a great piece of history to know .,no hate,
"Some of the things I noticed were shop tailors dummies that were black , a couple of mud restaurants , and the germ of blacks being `` fashionable '' taking root .",Hate,"Some and the things I were shop tailors dummies that were being, a couple mud eatery, of the germ of blacks black `` fashionable `` in root."
One the Chinese get there teeth into a country that s it they take over .,Hate,One the a get teeth into Chinese country that IT they take over.
"ImageShack ® - Online Photo and Video Hosting TinyPic - Free Image Hosting , Photo Sharing & Video Hosting Image hosting , free photo sharing & video sharing at Photobucket",no hate,
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,Hate,They calcium n't stomach toe to toe with the dancing man so they merely white until they tired
Its gone full retard now .,no hate,
"www.wheaton.edu Another 15 Execellent Schools : Baylor University 's College of Arts and Sciences , Waco , Texas Birmingham-Southern College , Birmingham , Ala. Bridgewater College , Bridgewater , Va. Columbia University , New York , N.Y. College of William and Mary , Williamsburg , Va. Davidson College , Davidson , N.C. Furman University , Greenville , S.C. Millsaps College , Jackson , Miss. Pepperdine University , Malibu , Calif. Rhodes College , Memphis , Tenn. St. Olaf 's College , Northfield , Minn. Samford University , Birmingham , Ala. Shimer College , Waukegan , Ill. Thomas More College of the Liberal Arts , Merrimack , N.H. Wake Forest University , Winston-Salem , N.C.",no hate,
When do they ever learn !!!!,no hate,
Man that sucks lol ...,no hate,
My advice is go bulk up at a gym and take up a martial art so you do n't feel as intimidated by blacks as you currently do .,no hate,
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .",Hate,"this poor fish brown savages soh stop butcher or animals worshipping them ( like they do India ), perchance they would n't be starving and would poor."
The person who does that will also make history in his or her field .,no hate,
"None of my relatives have brown eyes , obviously .",no hate,
Black ``women''on London transport ...,Hate,Black `` along women London transport...
There is not enough interest on either side for a re-unification to be attempted .,no hate,
She had 7 other kids living in the apartment .,no hate,
We will become a melting pot like our other sister countries in Europe .,no hate,
http://prudentbear.com/index.php/com ... y ? art _ id = 10187,no hate,
"God Bless you , Mr. Trump",no hate,
"God 's own divine intervention , aided by Jewish money swindled from the goyim .",Hate,"intervention 's own Almighty God, by Judaic money from the goyim."
"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",no hate,
Every one stop making fun of other people 's pic 's were all a white family.By the way all you lady 's on here are looking fine to bad i 'm only 16 .,no hate,
http://www.righttomarch.com/,no hate,
I 'm very grateful for all help .,no hate,
"DR Congo troops accused of rapes Government troops in the Democratic Republic of Congo carry out most of the rapes of civilians caught up in the war with rebel groups , a rights group says .",no hate,
This is the main logo when you sign on to their website,no hate,
Questions that enable people to learn are always welcomed .,no hate,
Robbie is funny and I have no problems with him .,no hate,
It 's a well built hard cover with nice thick pages if anyone is interested .,no hate,
"Exactly, they want us to lay down and die .",Hate,"and, they privation us to laic down incisively die"
Help keep this case alive,no hate,
Sound like they are speaking another language in the back ground .,no hate,
A good to start with one is Prodigal Genius written by John J. O' Neill .,no hate,
The German men sound so sexy .,no hate,
The amount of the Armenians chromosome haplotypes are closer to the England one .,no hate,
She gets cussed every day .,no hate,
"So far as I have seen , it has n't .",no hate,
"In Eternal Combat with that Satanic Spirit - The physical incarnation , creation of the Demiurge : The Jews .",Hate,"Hoosier State Eternal fighting that with satanic - The physical incarnation, activity of the demiurge : The Jews."
There is no greater reason to be joyous than that .,no hate,
Watching those videos makes me feel like im going to explode with hatred for those creatures .,Hate,Watching those videos earn me find hatred im going to explode with like for those creatures.
I will so so once I get to my camp .,no hate,
i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs,Hate,i live block the city up from ampere. every friday rule they the. they anywhere and they give the axe walk cogitate they want are if your that white they give you a front when you exit through through a pitch blackness neighbourhood. they are the Same nigs A them group
I had an Ohhhh lightbulb moment .,no hate,
"I ca n't find an actual picture of it anywhere , but there 's lots of references to it .",no hate,
"I think character and social behavior are the most important , and having blond hair and blue eyes are not going to gaurantee these qualities .",no hate,
"Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News",no hate,
"All new posters are under moderation to start with , but this is lifted fairly quickly .",no hate,
WELCOME ABOARD !,no hate,
"I like husband in a decent pair of jeans , a well fitting shirt , and a pair of boots ...",no hate,
It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr ... n-Jacob-ONeill,no hate,
Absolutely.,no hate,
Truly sad ...,no hate,
"I would never homeschool my kids , or send them to public schools .",no hate,
I have n't had any first hand knowledge of guns for nearly two decades .,no hate,
"Playing with their scooters , bikes and other NOISY toys right outside our windows .",no hate,
Yes most certainly now you need to recruit more of you friends an such to join Stormfront and help our movement !,no hate,
I would hate to live in Dublin with all the foreigners there now .,Hate,I would hate to dwell in the with all Dublin there now.
Or better yet find another job then quit .,no hate,
"You do not have to wait for this law to pass since already you would be expelled from your school for doing the above under some sort of hostile school environment clause , as you would at most places of work .",no hate,
You have to check around to see what is avaialble in your area within your desired field of study .,no hate,
I can honestly say that I have smoked weed and drank as a kid with many groups of WHITE guys and nothing like this EVER came close to happening !,no hate,
But what do you say to the ivy who wants to become a tree ??,no hate,
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,Hate,May the wigger it death bring up constitute obsessed her and for the rest their lives effect sister is in as their and actions their and daughter equal murdered by this beast.
Will Obama Declare Martial Law Before 2016 ? : Freedom Outpost,no hate,
"Yeah , it 's expensive .",no hate,
"So you elevate that minority ever so slightly , and screw the rest .",no hate,
Patience is a virtue you know .,no hate,
I've always been partial to Lully and Rameau : Jean Baptiste Lully - L' Orchestre du Roi Soleil - YouTube Jean Philippe Rameau /// Orchestral Suites - YouTube,no hate,
Burlington coat factory opening .,no hate,
There are n't any towns down here that are as clean and well kept as Kalispell .,no hate,
I 'm glad we were able to get back to NS in the NS thread .,no hate,
"I remembered a really good one : Muenster , TX. - 95.7 % White - Zero negroids Muenster , Texas ( TX 76252 ) profile : population , maps , real estate , averages , homes , statistics , relocation , travel , jobs , hospitals , schools , crime , moving , houses , news This town figured out a name that would keep the blacks from moving in ; Cut and Shoot , Texas : 85.8 % White , Zero Negros .",no hate,
I'm glad you realized it .,no hate,
Please e-mail or IM me .,no hate,
Are they playing old stuff or newer stuff more ?,no hate,
"hi, I am a 20 year old female looking for someone to talk to and develope a relationshp .",no hate,
Why is Ca the melting pot of America it is so hard to fine people that have the same views on our white race as i have ?,no hate,
"The guy giving the beating could very possibly be a Hispanic , I would have to see a much clearer video before I 'd give him the honor of calling him White .",no hate,
I'll ask you cuz you 're the fanboy I mean ' expert ' ...,no hate,
Report : Nuclear weapon drivers sometimes got drunk - Yahoo !,no hate,
"Please try to behave , all of you naughty children .",no hate,
I havent been in Mayo in around three years but back then it was one of the last good Irish places left .,no hate,
Great Halloween !,no hate,
Though starvation is a horrible way to die .,no hate,
That will narrow it down for most folk .,no hate,
Guess where you fit in ?,no hate,
The school did not cause my much trouble because it was elementary school .,no hate,
"What, like blowing up old ladies and little kids ?",no hate,
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,Hate,the sort wanted trust that they leave for back Ebola and spread it around to their possess tolerant and rest of I undesirables WHO are not of Here.
"Where can i find a complete list of anti black fliers. that have to do with black on white crimes , interracial babys , black drug dealers , etc etc .",Hate,"Where can of find a pure list i anti fliers. that have to brawl with Shirley Temple on white crimes interracial Negro, pamper dose dealers, etc etc."
WOW!,no hate,
The rest of us Goyim : we have to break our backs making up the inflation difference .,no hate,
Ignorance is when someone do n't know the truth .,no hate,
"Yes but difference is that Putin is still in charge and Jews have to behave , while on other picture Jewess Albright is in charge and is there to give orders to Ukraine , so you ca n't really compare .",no hate,
new to this site looking for pure females in or around princeton ky THE ONLY WAY TO SURVIVE IS TO GO FORTH AND MULTIPLY,no hate,
"Apart from that , only a small number of SF members are placed on moderation from time to time .",no hate,
Feel free to join !!,no hate,
I have been looking for a site like this for 4 months now since I last found one with like 75 Eastern Front propaganda posters .,no hate,
Check the stacks .,no hate,
I hope all their farms burn down and their nappy headed children squandle in the flames .,Hate,totally hope I their farms burn down and headed inwards the flames.
That's because they do n't whore themselves out and end up looking like they 're forty at age 25 .,no hate,
ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',Hate,ye i see that to one. or'we entirely came from Africa any way why indeed subject '........ my answer? ' we be evolved better '
"Yeah I downloaded them all just in case , have to wait until the all-in-one video gets posted again , seems the hews and their companies got to YT as usual and took it down ..",no hate,
What I mean is that they overall were able to take all of it back as well as keep those colonies longer than the Italians .,no hate,
Sergey Brin claims his family were victims of `` anti-semitism . '',no hate,
This is another tool that you will need not that im a expert god knows I only have that ged to fall back on .,no hate,
"This flier makes it easier for everyone to get behind our troops , by moving them out of Iraq , and to a location where they will be performing according to the U.S. Constitution .",no hate,
Keep your eyes open at all times for fallen powerlines .,no hate,
Non Whites hate White people plain and simple.They are taught from birth that White people are the cause of all the problems in the world and every bad thing that happens is because of evil racist White people .,no hate,
"I am willing to attend , support and protect Mr. Taylor 's event and his freedom of speech anywhere close to Michigan",no hate,
Just watched the first few minutes of the video and will finish when I wake up .,no hate,
The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,Hate,The blacks and browns are detroying Kingdom of Sweden and nobody or anything more does less it! : madex : madex : madex
"dancing Armenians , if sombody can find any non white Armenian , i bid i 'll eat yelow pages without cooking !",no hate,
"Like its cousin in astrophysical waters the Crab Nebula supernova remnant , the Jellyfish Nebula is known to harbor a neutron star , the remnant of the collapsed stellar core .",no hate,
London is f' ked .,no hate,
"Yeah, Hell on earth .",no hate,
Thank God this White warrior knew how to throw down .,no hate,
Were Whites to leave in large numbers leaving few Whites behind in South Africa the country would start going down hill and then maybe more Whites would begin to see what losers Negros are and how they cannot even maintain what is given to them .,Hate,
"This was n't just for Germans , Japanese and Italianos ......",no hate,
It means `` muddy bay '' .,no hate,
Skins have a reason to shave their heads see www.skinheadz.com As a normal white nationalist there is no reason for you to have your head shaved .,no hate,
"I got the message you were trying to get across in your first post , I just felt like messing with you .",no hate,
There is an active community here - you just need to get off the net to find it .,no hate,
I wonder if she has stock in any of the popular manufacturers .,no hate,
It 's about the preservation and protection of the white race regardless of culture .,no hate,
There are plenty of blacks in catholic schools or were in our area .,no hate,
I have n't seen music for this floating around but if you have the sheet music for piano I 'd be happy to get to work on a transcription for you if you can send me a pdf or something .,no hate,
"Notice all the lovely Pakistani people celebrating , it warms the cockles of my heart - it really does .",no hate,
"I also , left a comment Now , I need to wait and see if it gets approved .",no hate,
Your all-white nation is a fraud .,no hate,
Are you kidding me ?,no hate,
"I'm trying to contact individuals interested in joining together and coordinating their efforts on a National/worldwide scale , the web site to go to for more info is Pro White Action Group click on the special events link for contact information .",no hate,
"Some Communists , some Kurdish Nationalists and some German Anti-War people .",no hate,
The bible is n't jewish .,no hate,
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,Hate,Honestly ever they if fired them I 'd gestate they 'd do more themselves damage since the negro the intellect for basic firearms training.
I have a report somewhere called Allied Intrigue in the Low Countries and I seem to remember understanding a bit more .,no hate,
We have lucked out for a change .,no hate,
Certain individuals like to claim some form of ' moral high-ground ' in our racial fight to preserve the White race. irish republicans hidden jewish past .....,no hate,
Piece of * * * * deserves to be shot .,Hate,Piece be * * * * deserves to of shot.
Good memories .,no hate,
I honestly hope that we dont directly involve ourselves anymore .,no hate,
I have been trying to find a job but the mexicans take everything we had .,Hate,
"Yes, it 's time to imagine that .",no hate,
The black candidates proudly show their picture .,no hate,
Do you not think all the talk about Russians should be put on a thread of that theme ?,no hate,
"In Sweden most people receives SVT 1 , SVT 2 , TV 3 , TV 4 , Kanal 5 and ZTV SVT 1 and SVT 2 are state owned and mostly show socialistic propaganda .",no hate,
It worked for the one lesson she was there anyway .,no hate,
I hate the term black in reference to the Niggardly kind .,no hate,
Why punish him for not being good at math when you could use the football field as one of the tools to help improve his math skills ?,no hate,
I have a suggestion for distribution of your collection .,no hate,
Was .,no hate,
"Good for you , that is not usually what happens and has nothing to do in the modern age regarding 14 year old girls",no hate,
Teachers care less and tend to chalk it up to rebellion .,no hate,
You may want to read more about it .,no hate,
i have never been noticed in a crowd for my tattoos.i have never seen anyone walking in a crowd just looking and concentrating on people with tattoos .,no hate,
Children of 8 are ' racist ' if they miss Islam trip : School 's threatening letter to parents is met with outrage | Mail Online,no hate,
"I do n't have much to add that have n't been said , but I would like to say welcome GarmGormius !",no hate,
Try here Amazon.com.,no hate,
yes there 's many of us in the Chicago area .,no hate,
"This is the false front which jews present to the world , but jews are quite varied in their opinions and beliefs .",Hate,"This is the false which jews gift to the popular, but jews are quite varied beings their indium opinion and."
Thank you to whoever set up this site and to you for linking it !,no hate,
The word Jews was not even in old text Bibles .,no hate,
I repped yez but must spread it around before ...,no hate,
So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,no hate,
"sounds just like leicester mate ... still what about our porr comrades that live in brighton , when there look out there window , there see the sight of 50 thousand queers there all strtting there * * * * on the street",Hate,
haha I was thinking the same thing !,no hate,
There are some women who are strong willed women and yet remain good mothers and wives .,no hate,
"Playing lightly on or over a surface ; flickering ; as , `` a lambent flame ; lambent shadows . '' 2 .",no hate,
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,Hate,put the ophanage indium group A nipper and arrest the whore of a mother to angstrom charge of non having a biracial jolly 8 all have to suffer kid their endure to due more sporting
You are exactly right .,no hate,
"They instead decide by convenience , low risk , and unenlightened self-interest .",Hate,"convenience instead make up one mind by They, low-pitched risk, unenlightened self-centeredness"
"If yes , I think you are doing your people a huge disservice .",no hate,
The Jew represents the snake .,Hate,The snake represents the Hebrew.
I find that they dont share my views as some other buddies of mine would when it comes to White History and power .,no hate,
in the ' raid ' of Hamburg phosphor bombs were used .,no hate,
Surprised it came back so fast ...,no hate,
I'm heading down to DC to put a sign on the White House gates that will read : ' No savage negro BEASTS in the White House ! ',Hate,'m aim down to DC No put A sign along the White sign gates that will :'House savage negro beast in the White to! '
"I also have been talking to a person from Denmark , and I learned about gingerbread , dancing around the tree , and the various customs of Jul ( Dinner , place presents under the tree , desert , dance around tree , open presents ) .",no hate,
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,Hate,So at once Stormfront entirely is Ireland responsible for totally racist attacks in Ireland. lol the right this is the piece of work of Ted Kikes those * * * * ers are ne'er happy
"Frontline : The Confessions FRONTLINE `` The Confessions '' | Sneak Peek 1 : Recording a Confession | PBS - YouTube FRONTLINE `` The Confessions '' | Sneak Peek 2 : Finding a Lawyer | PBS - YouTube In `` The Confessions , '' FRONTLINE producer Ofra Bikel investigates the conviction of four Navy sailors for the rape and murder of a Norfolk , Va. , woman in 1997 .",no hate,
I had never even heard of Stormfront until the night I found it and joined .,no hate,
Are they talking about the African women with huge lip plates ?,no hate,
"To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers .",Hate,"JONES whole nationalist, watch ENDGAME ALEX To, OR ENDGAME from PRISON satellite and teach the the criminals Jewish bankers."
I guess 3 times is the magic number .. then they think they get their asses handed to them .. same with bloody Mary also .,no hate,
I go to the museum every time I visit the city just to see this painting .,no hate,
Wow ..,no hate,
We have to learn to appreciate diversity .,no hate,
I am looking for WN specific Home School material ?,no hate,
Zdrowie !,no hate,
The media want 's to promote a pro Multi ~ Culti Ireland and not all the disaster that it has caused in Ireland,no hate,
My son ever comes home with something like that and you can bet I 'll have something to say about it .,no hate,
But in The Bible there is no verses that prohibit inter-racial relationships or mixed race children is there ?,no hate,
"Explain to them this is wrong. send mass emails explaining the science behind it , and tell everyone not to breed with them .",Hate,"Explain them cost this wrong. send mass emails excuse the science behind IT, and everyone tell not to breed with them."
Some of the first symbols used to portray the sun god is a circle with a cross inside .,no hate,
The London Forum is a great YouTube channel .,no hate,
I'm not wasting my time watching that .,no hate,
"Well, maybe they 're slowly working their way to destroying Eastern Europe .",Hate,"advantageously, Europe 're slowly working their fashion to destroying Eastern peradventure."
So good to see new people every Friday night .,no hate,
"The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .",Hate,
Just saw this one in Palm Springs ....,no hate,
"Prostitution and drug is getting everywhere , dealers are from Senegal , Guinea , Nigeria , dirty prostitutes are fom Cameroun .",Hate,"Cameroun and dose is getting everywhere, make up from Senegal, Guinea, Federal Republic of Nigeria, prostitutes are fom Prostitution."
Tch tch tch .... !!!,no hate,
This is your claim and yours alone ; take it to yourself .,no hate,
"Me thinks Genesis is a negro who thinks he 's from the line of Adam.A troll , confused , black and prowling Stormfront.So make the Revelation Genesis - what are you really up to ?",Hate,"Maine thinks Genesis and a Black who thinks he 's from line of Adam.A round, confused, black is prowling Stormfront.So make the up Genesis - what represent you really Revelation to?"
Three weeks in a house and no one knew he was dead what a sad indictement of modern England .,no hate,
People in my circle of acquaintances are a bit obsessed with IQ .,no hate,
"Here are the only ones I have ever seen Taras.Bulba. [ 1962 ] - YouTube Wow , there is a re-make of Taras Bulba .",no hate,
well there is a little history for this post so listen up if you dont mind. there was a group in this city called the 311 boys supposedly they were a racist bunch of kids but i never thought they were but through the newspaper and manipulation of sotries they were labled as racist. well my views arnt that well known at school but some do know and ive been labled a `` 311 '' boy. a group of about 10 or so blacks approached me before school. now im not some little guy im a decent build and really have no fear of anyone or anything at this point in my life. well anyway they came up to me and started asking me if i was 311 if i was a racist and all this crap. i denied mostly for my own safety at the time. well i talked to some people who asked me who i thoguht were friends but it turns out they werent. they went right around and told them some of my views and now they came up to me at lunch today and pushed me around a little i stood up to them and got up in their faces but finally a hall monitor came and broke it up. im just wondering whats going to happen in the next few days since im the only WP kid in my school and am standing alone on this issue. just decided to post this bit of information for you wall to read keep safe and keep smart .,no hate,
