title,label
Lebanon president says stability is 'red line' after PM quit - justice minister,1
REMEMBER WHEN THE LEFT THOUGHT IT WAS ‘FUNNY’ TO SAY ABOUT MCCAIN: “I don’t buy the war hero thing”,0
Clinton calls for U.S. ‘intelligence surge’ in wake of Orlando attack,1
"Trump signs Russia sanctions bill, Moscow calls it 'trade war'",1
U.S. judge orders Illinois to boost disabled care,1
"Senate Republicans unveil Obamacare replacement bill, but fate uncertain",1
British lawmakers defeat May's government on Brexit law,1
Yemen says Saudi-led coalition to allow commercial flights,1
Germany investigates far-right election candidate accused of inciting hatred,1
White House: unfortunate that Palestinians declined meeting with Pence,1
Top Republican Ryan distances himself from Trump White House bid,1
 WATCH: Kellyanne Conway Throws Hissy Fit Over Democrats Blocking Trump’s Nominees,0
New Senate healthcare plan keeps Obamacare-era taxes on wealthy: Senate source,1
Putin: Russia reserves right to cut further U.S. diplomatic mission,1
Nigeria's Buhari to pass through London after U.N. General Assembly trip,1
TRUMP’S GOT ‘EM ON THE RUN: Rhode Island Supporters Chase After Trump Caravan [Video],0
Kremlin calls North Korea's latest missile launch another 'provocation',1
Israel finds bodies of five Gaza militants killed in tunnel demolition,1
"Obama, Saudi prince focus on Iraq and Syria in Washington meeting",1
Gunmen fire shots at Greece's socialist party headquarters,1
Fund managers seek stocks benefiting from Democratic gains in 2018 U.S. elections,1
Prosecutors: Manafort needs to detail finances further in bail talks,1
Turkey says U.S. indictment of former minister amounts to 'coup attempt',1
Peru raises cost of post-floods rebuilding to nearly $8 billion,1
Bill Clinton defends wife's 'super predator' comment to protesters,1
Supreme Leader Khamenei says U.S. is Iran's 'number one enemy',1
Rights group files legal request on Trump business ties,1
Trump predicts 'staggering' July fundraising for White House bid,1
Arkansas court strikes down a medical marijuana proposal on ballot,1
Oklahoma governor vetoes bill to jail abortion doctors,1
SAY WHAT? Law Firm Who Gave GITMO TERRORISTS Anti-American Propaganda To Host Major FUNDRAISER For HILLARY [VIDEO],0
New York lawmakers expected to clear way for mixed martial arts fights,1
"No rest, high tempo - energetic Macron keeps Elysee agenda ticking",1
"Glad to see Obama go, Gulf Arabs expect Trump to counter Iran",1
"U.S. Senator McCain opposes Obamacare repeal bill, a possible fatal blow",1
"Britain, Saudi Arabia sign military cooperation deal: state media",1
Israel's Netanyahu to speak with Trump on Sunday,1
"U.N. seeks 1,300 places for refugees from Libya",1
Democrats urge FCC to drop plan to revise TV ownership rules,1
Second day of jury deliberation for Turkish banker ends with no verdict,1
 Trump Tried Recreating Obama’s Iconic ‘Bin Laden Raid’ Situation Room Photo – And It’s So Pathetic,0
Prosecutors say ex-House Speaker Hastert sexually abused boys,1
"Thousands of homes wrecked by huge Mexican quake, death toll at 91",1
Putin's close friend: Donald Trump will be next U.S. president,1
U.N. experts on women and children's rights decry Myanmar atrocities,1
Trump says will be putting more sanctions on North Korea,1
"China says South China Sea not an issue between China, United States",1
Three more states refuse Trump commission's voter data request,1
Greek island on strike in protest against becoming migrant 'prison',1
Not over yet: Reid cautions Democrats relishing Trump election battle,1
Penguin Random House lands book deal with Obamas,1
 Here’s The Latest Reason Conservatives Are Calling Michelle Obama A N***** (SCREENSHOTS),0
Russian bases in Syria are protected by air defense missiles: RIA,1
"Latest gun control bid falters in Congress, Democrat sit-in ends",1
TRUMP CABINET MEMBER MICK MULVANEY ON DC: “This place is much more rotten than we thought” [Video],0
FOUR TRIGGERS FOR THE NEXT TITANIC ECONOMIC RECESSION,0
"For Iraq's Christians, a bittersweet first Christmas home after Islamic State",1
Mexico women protest violence in skeletal Day of Dead march,1
Philippine leader says 'no way' he'll do deal with Islamist rebels,1
Police arrest seven youths after deadly Malaysia school blaze,1
NZ opposition Labour says in a stronger position to negotiate government after final election tally,1
German parties brace for tough coalition talks on migration,1
"No deal yet on healthcare bill, House Freedom Caucus chairman says",1
PANERA BREAD CEO 2014: “Don’t Bring Your Guns Into Restaurants”…UPDATE: Two MD Sheriffs Shot And KILLED In Panera Bread Restaurant,0
Argentine Congress to make fresh attempt at pension debate on Monday,1
"Trump says he is deeply disturbed by South Sudan, Congo violence",1
Factbox: Early voting starts next month in U.S. election,1
Democrats push SEC nominees on corporate political spending,1
"Factbox: Trump on Twitter (April 17) - Fake news, foreign policy",1
Syrian army fights to secure corridor into Deir al-Zor,1
Treasury's Mnuchin says no tax cut for wealthy,1
Illinois governor urges 2018 vote on 'rigged' political mapmaking,1
 You’re Gonna Want To Hear Trump Saying He Wanted Blacks Vs. Whites On ‘The Apprentice’ (AUDIO),0
China's Xi vows to 'open wider' while defending jobs,1
"Russian military jet crashes on takeoff in Syria, crew killed: agencies",1
"Syria's Deir al-Zor air base working again: state media, monitors",1
Germany's far-right AfD chooses nationalist as co-leader,1
U.S. legal group lavishes praise on Obama Supreme Court nominee,1
"Britain becoming U.S. vassal state, says French presidential hopeful Macron",1
 Disabled Man Confronts Ted Cruz For His Lies About Obamacare (VIDEO),0
Vatican vows to seek truth about diplomat in child pornography case,1
TAKE OUR POLL AND TELL US WHO YOU THINK WON TONIGHT’S DEBATE,0
California voters embrace recreational marijuana,1
"MAXINE WATERS: Obama’s Left A “very, very powerful” database in place…”Will have information about EVERYTHING…on EVERY INDIVIDUAL in ways that it’s never been done before” [VIDEO]",0
Mexican leftist Lopez Obrador leads presidential race polls,1
China says confident in economic relations with U.S. ahead of Trump visit,1
"Turkey to close border gates with Northern Iraq in coordination with Baghdad, Tehran: Erdogan spox",1
IF OBAMA HAD A DAUGHTER: [VIDEO] #BlackLivesMatter Terrorist Arrested For Vile Threats Against Whites And Cops On YouTube,0
Bid to block Pakistan F-16 sale fails in U.S. Senate,1
"China says not devaluing yuan, urges U.S. cooperation as Xi prepares to meet Trump",1
Russia's Lavrov: main part of battle with Islamic State in Syria is over - RIA,1
Graham says U.S. Senate to consider healthcare bill next week: NBC,1
EU executive steps up action against Hungary over NGO law,1
Factbox: Reaction to Obama's Supreme Court nominee,1
EU parliament backs starting next phase of Brexit talks,1
Venezuela Maduro warns of repeat elections in states won by opposition,1
Ex-CIA boss Petraeus indicates would serve Trump if asked,1
"Flash floods kill five in Malaysia, army deploys to rescue thousands of displaced",1
White House defends move to curb regulations,1
" Trump Admits ‘2017 Will Be The Worst Year Yet,’ Then Blames Obama",0
"Senators push protections for opioid-dependent parents, infants",1
BILL CLINTON GETS THE HOOK During Q & A With Music: “They want me to go” [Video],0
Former U.S. intelligence chief rejects Trump wiretap accusation,1
U.S. urges Cambodia to reverse steps against democracy,1
Cuban opposition falls at first hurdle as Castro handover looms,1
Republican ideas for healthcare reforms could spell trouble for U.S. states,1
Most EU states push reform of labor rules sought by France's Macron,1
Alt-Left Vandalizes Catholic Saint Statue: “The statue should come down”,0
ICAN leader 'delighted' with Nobel Peace Prize: Nobel committee,1
Clinton's lead over Trump slips after Florida shooting: Reuters/Ipsos poll,1
Trump's top defense and homeland officials to attend Munich Security Conference,1
Republican candidate Huckabee suspends bid for White House,1
Germany warns against Turkey travel after spate of arrests,1
EU aims to reopen embassy in Libya,1
IRONY! COLLEGE “ANTI-CAPITALIST” GROUP DISBANDS Because Members Were too Rich and White,0
Suspected Boko Haram suicide bombers kill at least 13 in Nigeria: officials,1
Factbox: U.N. sanctions on North Korea currently in force,1
Turkey's Erdogan says major operation in Syria's Idlib,1
Will Hillary Clinton Return The Artifacts She Took When Leaving The White House?,0
Florida prepares for powerful Hurricane Irma,1
 Non-Transgender Woman Harassed In Bathroom After Donating Hair To Cancer Patients (VIDEO),0
Trump says pope will wish he was president if Vatican is attacked by Islamic State,1
Japan's Oxford-educated crown prince to bring global view to Chrysanthemum Throne,1
Outside adviser to Trump calls for firing of CFPB head Cordray,1
New poll shows Philippine president still hugely popular,1
$3.5 MILLION DOWN THE DRAIN….Day 5 WI Recount: TRUMP +25,0
Hungary's Jobbik supports EU deepening with voters' blessing,1
"UK criticizes Muslim Brotherhood, defends Western policy",1
"Trump, China's top diplomat, discuss cooperation, possible Xi meeting",1
Tanzania shuts down another 'days numbered' newspaper,1
Maldives rushes through trade pact with China despite opposition,1
Factbox: Countdown to Brexit breakthrough?,1
Key figures in future Austrian coalition talks,1
Youth leader of Zimbabwe's ruling party apologizes to military on state TV,1
Trump warns 'emboldened' Iran to comply with nuclear deal,1
Zimbabwe's ruling party to fire Mugabe on Sunday: sources,1
"Trump says will discuss military issues, Qatar with Kuwait's emir",1
CNN POSTS TRUTH ABOUT TRUMP POLLS…Then Immediately REGRETS It…We Have Screen Shots!,0
EU's Barnier is ready to speed up Brexit negotiations,1
Russia sets out why it thinks U.N. wrongly accused Syria over sarin attack,1
Trump to announce transportation secretary pick: spokesman,1
Wasserman Schultz will not open Democratic convention: media reports,1
What we know about U.S. probes of Russian meddling in 2016 election,1
London Mayor says police presence to increase after metro explosion,1
MICHELLE OBAMA TO HILLARY: “If You Can’t Run Your Own House…You Certainly Can’t Run The White House” [VIDEO],0
Dutch 'blood timber' businessman arrested in South Africa,1
McCain introduces bill to kill Puerto Rico shipping restrictions,1
Incoming U.N. climate chief seeks swift action: at odds with Trump,1
“Peaceful” Muslims Scream: “THIS IS FOR ALLAH” After Driving Van 50 MPH Pedestrians…3 ARMED Terrorists On Run In Gun-Free London…Britain’s PM Calls It “Potential Act Of Terror” [VIDEO],0
Ireland says not ready to let Brexit talks move on to trade,1
Angry and inspired: Democrats train new wave of candidates,1
"Trump says unnamed country plans to build, expand five U.S. auto plants",1
"Yazidis caught in 'political football' between Baghdad, Iraqi Kurds",1
State lawmakers override bill veto to ease Chicago pension payments,1
WHO WILL SUPPORT “THE BERN”? New Numbers Show OBAMA STOLE An EXTRA 6 Months Income From Average Working American Since Bush Years,0
"Trump shuffles transition team, eyes loyalists for Cabinet",1
"Fruit, prawns off the menu at China's austere party Congress",1
Twitter case shows breadth of U.S. power to probe anti-Trump statements,1
Cambodian opposition member pardoned at PM's request,1
UPDATE ON 9/11 MEMORIAL Banned for “Triggering” College Snowflakes,0
U.S. Navy examining rise in health issues among F/A-18 pilots: lawmaker,1
Attorney General Sessions says now recalls meeting flagged in Russia probe,1
China says will investigate if U.N. resolutions on North Korea contravened,1
Japan ruling bloc heads for big election win despite voter distaste for PM Abe: poll,1
"Facebook, Google, Twitter asked to testify on Russian meddling",1
Magnitude 6.4 aftershock hits off New Caledonia: USGS,1
Yemen's Saleh ready to turn new page if Saudi-led attacks end,1
Catalonia moves to declare independence from Spain on Monday,1
"Factbox: Trump on Twitter (July 28) - Obamacare, Republicans, healthcare",1
U.N. freedom of speech expert concerned about net neutrality,1
Trump says immigration bill cannot include 'chain migration',1
Ryan says Congress considering action on Clinton's email use,1
"After Macron meeting, Hariri says will clarify position in Lebanon",1
Senate committee approves Trump intelligence nominee Coats,1
Trump's eldest son questioned in Congress about Russia,1
"Tillerson: U.S. committed to 'One China' policy, also Taiwan",1
Supreme Court nominee to submit questionnaire to lawmakers,1
"Is Hillary’s Meltdown Real, or a Staged Exit?",0
 WATCH: Republican Kentucky Governor Calls For Bloody Rebellion If Hillary Clinton Is Elected,0
Aid workers to return to Yemen at weekend but no aid yet: U.N.,1
High court pick could help decide fate of Trump's climate policy,1
U.S. concerned by KRG security raid on local broadcaster: embassy,1
Bernie Sanders' ghost tweeter keeps his Brooklyn accent,1
 Republican EXPLODES After Obama Foils Evil Scheme To Sell Apache Holy Land To Mining Firm,0
"Hurricane Max downgraded to tropical storm, moves inland over Mexico",1
"Asked to explain 'calm before the storm' remark, Trump talks North Korea",1
House Democrats will stage sit-in until they get gun control bill: Pelosi,1
EBRD urges Poland to revive privatizations,1
Factbox: U.S. companies bet on stable China relations,1
Haley lends Trump team diversity but little diplomatic heft,1
 WATCH: Sarah Palin Was Just Asked If She’ll Be Trump’s VP And Her Response Will Scare You,0
Republican Senator Alexander to consult on bipartisan healthcare plan,1
Race for governor in Virginia set after tight primary race,1
 WATCH: Even Investigation-Obsessed GOP Rep. Jason Chaffetz Says Trump Has No Proof Obama Wiretapped Him,0
Louisiana legislature passes 72-hour waiting period for abortions,1
South Korea fears further missile advances by North this year in threat to U.S.,1
House Democratic leaders urging 'no' vote on spending bill: CNN reporter,1
"After financial pledges, France urges Chad to hold elections",1
Exclusive: U.S. suspends aid to Somalia's battered military over graft,1
U.S. will stand be steadfast ally to Britain as Brexit takes shape: Tillerson,1
" Kasich LOSES IT After Reporter Asks About His Only Win, And It’s Kinda Hilarious (VIDEO)",0
"Paul Manafort, Special Counsel Mueller tussle over Ukrainian op-ed",1
 Stephen King BLASTS Republicans Cozying Up To Putin Since He Hacked The Election For Them (TWEETS),0
Half of Germans want new elections after coalition talks fail,1
Senate votes to pursue tax bill negotiations with House,1
U.N. Security Council urges Myanmar to stop excessive military force,1
"U.S. steps up pressure on Hezbollah, offers reward for two operatives",1
U.S. welcomes Hariri's return to Lebanon: State Department official,1
Trump allies say Mueller unlawfully obtained thousands of emails,1
"From 'Hillarycare' debacle in 1990s, Clinton emerged more cautious",1
Report: Facebook’s Zuckerberg Gave FBI’s Mueller Info for Russia Investigation,0
China says hopes all parties can resolve North Korea issue peacefully,1
"Facebook will help investigators release Russia ads, Sandberg tells Axios",1
"May weathers new challenges on Brexit plan, more to come",1
"Ohio mayor pleads guilty to corruption charges, remains in office",1
Highlights: The Trump presidency on February 2 at 6:15 p.m. EST/2315 GMT,1
US Thanksgiving Guide: How to Celebrate a Sordid and Genocidal History,0
East Congo militiamen go on trial for raping children,1
"CEOs of Target, ADM offer differing views on U.S. border tax at hearing",1
" Trump’s Favorability Rating Hits Historic, Record Low",0
South Koreans' support for nuclear projects deals blow to government energy plan,1
Satellite calls yield no clues on missing Argentine submarine,1
G20 ministers give Mnuchin space to define Trump trade agenda,1
Ugandan special forces accused of ejecting MPs from parliament,1
"Russia says Google down-ranking Sputnik, RT would be censorship",1
PM Orban: Hungary will block any punitive EU action on Poland,1
EPA chief visits Indiana waste site amid proposed budget cuts,1
"Factbox: The nasty things Trump, Romney have said about each other",1
Icelandic parties from left and right begin formal coalition talks,1
"In hats and t-shirts, Trump fans rally in Jerusalem's Old City",1
U.S.'s Mattis says eyeing provocative Iran actions after Trump speech,1
Germany's FDP says won't agree to 'Jamaica' coalition at any price,1
U.S. House tax chairman proposes tweaks to tax-cut bill,1
Boeing says current Air Force One contract worth $170 million,1
"Debates to help half of U.S. voters decide between Clinton, Trump: poll",1
"U.S. judge blocks transgender, abortion-related Obamacare protections",1
Poland ready to defend migration stance in EU top court,1
Kenyan opposition protester dies from gunshot wound in Kisumu: medic,1
 This Charity Decided To Use Trump’s Money To Fight Hate And Is Rubbing It In His Face,0
Kuwait arrests five over video deemed offensive to crown prince,1
"IN A RULING THAT WILL MAKE OBAMA’S HEAD SPIN, Fed Judge Says Telling Illegals “Show Us Your Papers” Is Not Discriminatory",0
Ex-Catalonia leader turns himself in to Belgian police: VRT,1
Senators reach deal to help state water programs after Flint,1
Trump briefly discussed rights with Philippines' Duterte: White House,1
“DIRTY JOBS” HOST MIKE ROWE Absolutely Destroys Guy Who Called Him A White Nationalist,0
Saudi-led coalition allows first aid ship into Yemen's Hodeidah port: local officials,1
U.S. lawmakers offer bills to counter Obama Guantanamo plan,1
Moscow cancels meeting with U.S. diplomat after sanctions,1
MA High School Student Waves Staple Gun…School Goes On LockDown…Police Swarm Building With Assault Rifles,0
Gunmen shoot dead police officer and family in southwest Pakistan,1
Russia's ruling party seeks Putin's 'ultimate victory' at 2018 election,1
Clinton turns down Fox News offer to debate Sanders again,1
New top U.S. diplomat plays central role in Trump's China shift,1
Tea Party Republican Huelskamp loses re-election bid for U.S. House,1
Thailand's main party urges junta to end ban on political activity,1
EU's top diplomat defends Iran deal after Trump speech,1
Obama expected to sign Iran Sanctions Act extension into law: White House,1
LOL! WATCH DEMOCRAT DINGBAT Sheila Jackson Lee Repeatedly Confuse “Hurricane Sandy” With “Sandy Hook”,0
"U.S. Navy, shipbuilders ready for Trump's expansion plan",1
Hezbollah parliament group calls Hariri return positive,1
“WANNABE PRESIDENT” BARACK OBAMA MEETS With South Korean President After Trashing President Trump In Indonesia,0
Louisiana governor to sign law making police killings hate crimes,1
"U.N. torture watchdog ends trip to Rwanda, citing obstruction",1
Four Britons kidnapped in Nigeria's Delta state: police,1
"Sanders praises Obama, Biden for impartiality, to meet with Clinton soon",1
"Factbox: Trump on Twitter (July 24) - Chuck Schumer, Adam Schiff, Obamacare",1
Ex-Catalan leader urges unity as window for secessionist pact closes,1
"North Korea fires ballistic missile; U.S., South Korea analyzing: South Korea military",1
Saudi Arabia swapping assets for freedom of some held in graft purge: sources,1
Factbox: Eyes on U.S. terrorism watchlists after Orlando shootings,1
Puigdemont says Catalonia to declare independence in 'matter of days': BBC,1
OH NO! GUESS WHO FUNDED THE SHRINE TO TED KENNEDY,0
Senate panel presses SEC nominee Clayton on conflicts,1
 Sheriff Joe Arpaio Gets A Brutal Lesson In Why You Don’t Ambush Bernie Sanders’ Wife,0
TERRIFIC! PRESIDENT TRUMP Takes On The United Nations With Latest Executive Order,0
Exclusive: Australia-U.S. refugee swap again in doubt as officials exit Nauru,1
Exclusive: Zimbabwe's Grace Mugabe says model attacked her with knife,1
U.S. remains committed to Libyan political agreement: State Department,1
Singapore founder's grandson names lawyer in contempt case,1
Clinton's surprise Michigan loss exposes risks for her on trade,1
Cambodia PM calls on U.S. to withdraw Peace Corps volunteers,1
Trump declines to say if he will visit Korean DMZ on Asia trip,1
"Dispute erupts over House panel subpoenas for CIA, FBI",1
Trump team has differences of opinion on shaping spy agencies: sources,1
"After long delay, U.S. Senate approves envoy to Mexico",1
NATO agrees new military commands to protect Europe,1
"Many treatment options, most experimental, available to John McCain",1
Trump's auto review may only slow march to better fuel efficiency,1
BOOM! ACTOR JAMES WOODS Has Hilarious Response To Angry Feminist MSNBC Host’s Criticism Of Ivanka’s “Girly” Dress,0
"Exclusive: Tillerson plans to skip NATO meeting, visit Russia in April - sources",1
Senate leader says he's confident of deal to keep government open after Dec. 22,1
Heavy civilian casualties in Raqqa from air strikes: U.N.,1
"Turkey's Erdogan says Iraqi Kurdish authorities ""will pay price"" for vote",1
ANGELINA JOLIE HUMILIATED Barack Obama On World Stage Over Weak Leadership On Terrorism,0
Trump: China's North Korea diplomacy appears to have 'no impact on Little Rocket Man',1
Trump's Houston trip will serve as empathy test,1
Why is there uproar over Trump's Jerusalem declaration?,1
Mueller tells White House to save files on Donald Trump Jr meeting: CNN,1
 President Obama Smacks Down GOP Attempt To Let Wall Street Defraud Seniors,0
Cutting Pentagon's acquisition chief post may raise costs: Carter,1
Australian PM says he's confident Trump won't pull out of U.S. refugee deal,1
Paraguay senator with dictatorship ties to run for president,1
Suspect in London Finsbury Park mosque attack pleads not guilty,1
Moscow blames 'two-faced U.S. policy' for Russian general's Syria death: RIA,1
Former Salvadoran president Calderon dies at 69,1
Trump says U.S. should spend less on NATO,1
U.S. Treasury dashes hopes for near-term World Bank capital hike,1
"REMEMBER “Pam” From “The Office”? The Real-Life Actress, Jenna Fischer, Just Got CALLED OUT On Twitter For Using Bad Information To Bash Trump’s Tax Bill",0
"Bond between Trump, Xi in meetings played role in China abstention: U.S. official",1
KEITH SCOTT’S BROTHER Tells Charlotte Reporter: “All White People Are F*#ckin’ Devils…All Cops Are F*#ckin Devils”,0
Republican lawmakers rally around Sessions as Trump intensifies pressure,1
New Jersey Governor Chris Christie's ratings slide in state poll,1
U.S. tax bill should include repeal of health insurance mandate: Senate Republican leader,1
"White House seeks $44 billion hurricane aid, far short of requests",1
"Pennsylvania governor raises minimum wage for state workers, contractors",1
Russia urges U.S. to start finding way to resolve problems,1
"Despite deaths, German military eyes recruitment bump from new reality show",1
U.S. civil liberties group ACLU seeks to tap anti-Trump energy,1
Russia to respond to Twitter ban on Russian media ads: RIA,1
U.S. Customs give airlines green light to board all visa-holders after Seattle ruling,1
U.S. calls Myanmar moves against Rohingya 'ethnic cleansing',1
Democrats to demand restructuring mechanism for Puerto Rico: letter,1
" Republicans Declare WAR On The Poor, Go After Food Stamps, Medical Coverage",0
U.N. Security Council to vote Friday on new North Korea sanctions,1
 ‘Pay Bribes Here’ Projected On Trump Hotel,0
U.S. businesses fear NAFTA doomed; Mexico warns of consequences,1
Gerry Adams to step down in end of an era for Irish nationalism,1
House Democrats expect to see intelligence documents soon,1
Turkish academic on lengthy hunger strike appeals jail term,1
"London metro station incident caused by bomb, top UK police officer says",1
U.S. focus on internal issues will change world order: Germany,1
Australia defends alternative accommodation for asylum seekers against U.N. criticism,1
"Bali's rumbling volcano spurs travel warnings from Australia, Singapore",1
LOL! DEMOCRATS’ “Poster Child For Stupidity” Can’t Tell MSNBC Host What Her Party Stands For Besides Hating Trump [VIDEO],0
Factbox: Review of U.S. national monuments could unlock new energy reserves,1
Turkey chides Arabs for 'weak' reaction ahead of Jerusalem summit,1
Top Canadian officials met Trump team for trade talks: paper,1
Britain aiming for outline Brexit transition deal by first quarter of 2018: Davis,1
SHARIA LAW GRIPPING FRANCE: STUNNING Report Shows Muslim Men Prohibit Women From Public Spaces [VIDEO],0
Trump administration crafting big new arms sales to Taiwan: sources,1
"Mattis plays down split between Trump, Tillerson on North Korea",1
White House vows quick action as Harvey aid estimates soar,1
Trump to sign executive order Tuesday on infrastructure projects,1
Trump team promises to address ethics concerns on businesses,1
BRILLIANT NEWT GINGRICH: Here’s Why Trump Should NOT Trust Intel Community Right Now [Video],0
Exclusive: U.S. group Sierra Club seeks probe of EPA's Pruitt over CO2 comments,1
Trump biofuel proposals echo those of backer Icahn,1
'Significant gaps' in talks on Northern Ireland power-sharing: UK PM May's spokesman,1
BREAKING DISCOVERY: CLINTON FOUNDATION SHARED EMAIL SERVER LOCATION WITH HILLARY’S SECRET SERVER,0
House backs massive increase in defense spending,1
Trump tax plan hits bump in Senate as Rand Paul weighs 'no' vote,1
WOW! HILLARY Took State Department Furniture To Furnish Residence,0
California moves presidential primary for bigger say in candidate choice,1
Magellan Midstream probes big Texas fuel spill during Harvey floods,1
 Trump FREAKS OUT About Deleting His Anti-Semitic Tweet: ‘We Shouldn’t Have Taken It Down!’ (VIDEO/TWEET),0
NJ DEM RUNNING FOR CONGRESS Claims His Opponent Is Like A “Rural Alabama Conservative”…And That’s A BAD Thing? [Video],0
Indian court acquits all accused in 2G telecoms case,1
[VIDEO] CARLY TAKES ON THE VIEW Hacks Only Days After Saying She Has A “Demented Face” And A “Halloween Mask”,0
Kenya parliament passes controversial election law amendment,1
" Woman CORNERS GOP Senator Trapped On Flight, DEMANDS Explanation To Trumpcare (DETAILS)",0
"Militant blast, gun attack kill 18 police in Egypt's Sinai",1
EMBARRASSING: Anti-Trump “THE HILL” Gets SLAMMED For Publishing Article Claiming MTV’s “Jersey Shore” Reality Star “Schooled” Trump On Global Warming ,0
"In abrupt shift on Syria, Trump turns to military advisers",1
Ohio system of purging inactive voters not legal: court,1
Pope's comments on Trump's Christianity spark jokes on Twitter,1
Court ruling favors Ghana in ocean border dispute with Ivory Coast,1
Russia to help Syria rebuild energy facilities - Russian Deputy PM,1
U.S. Navy halts search for three sailors lost in Philippine Sea air crash,1
Young blacks more open to Bernie Sanders' White House bid,1
Trump talks up 'New York values' as protesters demonstrate against him,1
U.S. anti-missile system 'should be decision for next South Korean government',1
Syria's militant ex-Qaeda group denies leader injured in Russian strike,1
"Poland gives government key election role, opposition sounds alarm",1
Poland's refusal to accept Muslim migrants may be behind EC decision: ruling party,1
Pope heads for Bangladesh after diplomatic balancing act in Myanmar,1
Executive actions ready to go as Trump prepares to take office,1
