headline,label
dionne warwick remembers bobbi kristina brown,0
website on disabilities act that tripped up betsy devos disappears,0
zenefits once told employees: no sex in stairwells,0
7 strategies for lasting fat loss,0
waiting for primary returns at a heroin anonymous meeting,0
here is the 8th person who was at donald trump jr.'s meeting with russians,0
from 13 to 23: a study in artificial maturity,0
ken burns implores stanford graduates to believe sexual assault survivors,0
bernie sanders holds back tears as brother memorializes their parents during dnc vote,0
these insane ping pong trick shots will get you in the groove,0
study finds leading cause of depression hearing words '2016 frontrunners',1
strudel the obese dog's fitness journey is nothing short of inspiring,0
new 92-grain bread depletes majority of world's resources,1
post-retirement work may not save your golden years,0
nobel prize awarded to man who helped humans have more fucking babies,1
legendary broadcaster dies at 82,0
"america, the next hobby lobby case is heading for the supreme court",0
adorable girls sum up why we need more landmarks named after women,0
"kim kardashian channels cruella de vil, plus more outrageous looks of the month",0
citizens to vote on young or old reagan for $15 bill,1
man accused of keeping woman in crate killed by cops,0
pamela wright's son was shot dead a month after newtown. this is her story.,0
the first felony trial of trump inauguration protesters is about to go to a jury,0
meet the third party,0
democratic lawmaker gives scott pruitt brutal reality check during senate hearing,0
autopsy reveals subject was still alive when autopsy began,1
here's how india can become more integrated in global trade,0
is twitter bad for language? statistical analysis says no (new book),0
"'8 on 8' brawl ends in officer shot, suspect killed",0
how i came to follow my passion,0
mother's day -- more than once a year,0
axe wants to shed its douchey reputation and empower men,0
sanders could pull off michigan-style upset in ohio,0
russians mint 'in trump we trust' coin ahead of u.s. inauguration,0
kim kardashian tries to explain why she's famous to a toddler,0
getting up close to homophobia,0
colorado congressman hangs on after splitting with donald trump,0
"serial killer remembers neighbors as quiet, unsuspecting",1
retailers hiring the most employees for the holidays,0
oxycontin maker criticized for new 'it gets you high' campaign,1
how much will black lives matter in trump's america?,0
"area man too poor to afford movers, too old to get help from his friends",1
10 ludicrous things republicans have actually said about health,0
young frenchman identified as possible bomber in attack on bataclan concert hall,0
30 things i've learned about life and kindness in my 30s,0
hillary clinton and bernie sanders vie for california's support,0
insiders blame rove for covering up iraq's real wmd,0
ted cruz: federal reserve is being run by philosopher kings,0
magazine runs article about louis c.k.,1
mom learns about new vegetable,1
clinton campaign hits trump for seeing brexit as boon to his business,0
court rules 'cannibal cop' can fantasize about whatever he wants,0
uae warns citizens to avoid wearing traditional clothing while abroad,0
the pakistani army's coup against itself,0
the first 'rogue one' trailer is a 'star wars' nerd's dream,0
the celebrity that left tom hanks and rita wilson speechless,0
james corden makes emotional plea for gun control after vegas tragedy,0
man with stupid breaks off co-dependent relationship,1
trevor noah mockingly praises trump's 'right racism' of 'pocahontas' slur,0
this is not your grandma's first brexit,0
russian president: saber-rattling is counterproductive with north korea. it's impossible to scare them.,0
james cameron cried the first time he heard james horner's 'titanic' theme,0
quaker oats canister relabeled 'drugs' for grade school play,1
"in the face of systemic racism, south asians must not keep silent",0
hacker who stole celebrities' nude photos gets 9 months in prison,0
mudslide kind of fun until the dying part,1
treasury department renames building to honor emancipated slaves,0
how to make the perfect mother's day breakfast,0
washington teen broke up with girlfriend before deadly shooting: reports,0
dad claims kingdom so 7-year-old can be real princess,0
grab them by the… hand: donald trump's disturbing nonverbal behavior,0
"reality, risk & reward: is us kids tv ripe for authenticity and autonomy?",0
"hugh laurie returns to the doctor game, except in chance he has none of the answers",0
no one speculating about family matters series finale,1
drew carey signs 75-year contract to host the price is right,1
"bernie sanders draws more than 20,000 people at boston rally",0
less popular friend proposes combining birthdays into single party,1
huffpollster: indiana's gop primary will be a battle between demographics and economics,0
"albuquerque shooter on the loose; gunman leaves 1 dead, 3 injured",0
console wars heat up as zenith unveils gamespace pro,1
10 communication secrets of great leaders,0
disturbing ad shows how trump is teaching students to hate,0
the government problem,0
hillary clinton calls water crisis 'immoral' in visit to flint,0
"girl, 4, killed during apparent road rage attack",0
zeke thomas wants gay men to stop staying silent about assault,0
las vegas review-journal staffers want to know who owns their newspaper,0
the 7 upsides to sending your last kid off to college,0
that time mariel hemingway made out with all the women on 'snl',0
mark sanford's fiancee found out about split from facebook post,0
amber rose encourages iggy azalea to 'date a bunch of hot guys' to get over nick young,0
"for conservative press, the post-trump reckoning can't come soon enough",0
end gun violence by repealing not enacting legislation,0
"for freelancers, growing opportunity and risk",0
kate mckinnon's creepy kellyanne conway goes fatal attraction on 'snl',0
"our final oscar predictions, plus who should actually win at sunday's awards",0
woman thinks she would make a great talk-show host,1
cable news sure could talk to more muslims about the muslim ban,0
syrian rebels to exit aleppo as truce begins,0
30 days of online dating: i should have broken the rules,0
let's get trump's evangelical council to resign,0
here's how much the house has paid in recent sexual harassment settlements,0
how (not) to repeat history,0
new pepsi product specifically mentions target demographic in name,1
the case for holistic education in the wake of charlottesville violence,0
terrorism is terrorism,0
recent saving of planet attributed to working assets long-distance plan,1
this accused 'mainsplainer' is attacked for defending alleged victims,0
a safe birth for imelda,0
pope francis trains for easter mass by dragging pew loaded with rocks across snow,1
8 clever packed lunch hacks we stole from kids,0
even conservatives now admit the u.s. needs paid family leave,0
"after careful consideration, bush recommends oil drilling",1
american tourist punched for giving nazi salute in germany,0
donald trump is terrible news for our food system,0
the wealthiest have a private tax system that saves them billions,0
charlize theron makes a villain out of vin diesel in this 'fate of the furious' clip,0
people-watcher catches glimpse of rare north american black doofus,1
want to be healthier? flirt more,0
anyone want to watch bill murray get sprayed with champagne?,0
5 faith facts about chris christie,0
shameless new dad uses craigslist to try to hook up with his wife's delivery nurse,0
donald trump's attacks on a judge were racist and wrong: poll,0
supreme court puts redrawing of texas electoral maps on hold,0
government data sharpens focus on crude-oil train routes,0
"from birth control to culturally competent care, affordable care act breaks down health care barriers",0
content marketing guide from the best content director awardee: nic mccarthy,0
this one neat trick will eliminate clickbait forever,0
watch your favorite musicians perform 'the hamilton mixtape' live,0
you won't believe where this key got stuck,0
the bible has no place in modern american society: sobering lessons from donald trump and kim burrell,0
"six dead, 10 hurt in baltimore commuter, school bus crash",0
why we should value (but not worship) reason,0
people show their love for the epa with thousands of valentines,0
this is what boy scouts' intolerance to transgender people is doing,0
trial for charleston church shooter dylann roof delayed until january,0
"connection, mission, game: your best friends",0
40-foot american flag pin welded to statue of liberty,1
reproductive health and rights in an age of inequality,0
'the world is emptier now': celebrity fans and friends pay tribute to david bowie,0
german auto engineer issued lab coat,1
how a tv-free summer is changing our family,0
what is america's first muslim fraternity really like?,0
russia vows to expand 'black list' of americans in response to new sanctions,0
"come to listen, mr. president",0
baseball slugger on pace to hit 60 women,1
mizzou chancellor condemns 'verbal assault' by melissa click during homecoming parade,0
try to keep calm but k-pop band bts is getting a documentary series,0
how imani boyette's love for basketball helped her overcome depression,0
ufc champion jon jones sentenced in hit-and-run case involving a pregnant woman,0
family chooses different dog than reincarnated grandfather,1
office janitor asks to work from home,1
"in india, gaps in quality of care leave women seeking sterilization vulnerable",0
taylor swift thanks her 'boyfriend adam' during iheartradio music awards speech,0
mike ditka has not been paying attention to history,0
sleepover guests get story straight on what time they went to bed,1
the problem with calling women 'females',0
9 parking garage designs that are works of art,0
the first family looked exceptionally stylish on easter sunday. obvi.,0
donald trump makes dubious claim about inauguration singer jackie evancho,0
vending machine most up-to-date technology in school,1
how real estate players are bracing for the l train shutdown,0
don't let the headphones (or the extra fat) fool you,0
"my husband died, how can i be thankful?",0
10 days that shook the regressive world,0
network faces backlash after putting white woman in 'brownface' to appear muslim,0
this dance inspired by 'moonlight' is almost as gorgeous as the real thing,0
missouri attorney general finds no evidence planned parenthood mishandled fetal tissue,0
australian asylum seekers told to choose life in jail or risk death in home countries,0
trump fans the flames,0
video:  #icantbreathe poem on house floor,0
new workplace diversity initiative kills one white employee every hour on the hour until more minority candidates hired,1
raccoon crushed to death by garbage truck hits jackpot with reincarnation,1
how 3 badass women stopped an alleged rape attempt,0
scary and gross - 3 disturbing consequences of a warming planet,0
man thinks receptionist is hitting on him,1
area man purchases the devil's advocate on dvd for some reason,1
man builds rad all-terrain wheelchair that looks like a tank for war hero dad,0
progressive company pays both men and women 78% of what they should be earning,1
barry jenkins quietly makes history with oscar nomination trifecta,0
india is home to the world's first completely solar-powered airport,0
billy joel has billy joel's disease,1
huntsman quietly relieved to be polling poorly among gop voters,1
dennis miller deeply concerned about long-distance service,1
inanimate object despised,1
heroes everywhere are signing a petition to have deadpool host 'snl',0
on the road to the emmys with my entourage aka my kids,0
fed lowers the boom on wells fargo after years of grotesque scandals,0
this unreleased britney spears song is all kinds of sultry,0
the making of them: tv documentary review (belated),0
men behaving badly,0
tuesday's morning email: ebola contracted outside of west africa,0
heritage foundation lowers another retired gop senator into vat of strategists,1
grieving losses other than death,0
"hannity claims relationship with cohen never went past payment for legal advice, defense strategy in criminal cases",1
watch rihanna steam up 'bates motel' in new preview,0
obama: deaths of marines in chattanooga shooting 'heartbreaking',0
"'these kids should be in school instead of protesting,' say people so tantalizingly close to getting the point",1
funniest parenting tweets: what moms and dads said on twitter this week,0
"a big shift is coming, and it could uber-ize entire industries",0
taylor swift wins video of the year for 'bad blood' at 2015 vmas,0
the importance of multidisciplinary eating disorders treatment,0
subscribing to success,0
"iraqi troops retake the town of nimrud, near historic ruins, from isis",0
jake tapper to trump: kim jong un is not a 'smart cookie' — he's a murderer,0
first 'teenage mutant ninja turtles 2' trailer reveals bebop and rocksteady,0
desperate trump campaign turns to congress for support in attacks against khan family,0
"manhattan da swept harvey weinstein sexual harassment under the rug, report alleges",0
who will win and who should win at the 2015 emmys,0
custody battle sparks couple's first-ever interest in child,1
gop lawmaker: gay rep. should have stayed in the closet,0
dick cheney would torture again,0
"gentrification mockumentary asks you to please remember rich, white kids",0
oxford student wins prize for photo of atom taken with dslr camera,0
7 ways to build a community using data-driven narratives,0
indian country all too familiar with rachel dolezals of the world,0
charlize theron meets the kill club in new 'dark places' clip,0
'little boy' stands tall,0
8 super effective ways to use social media to land your next job,0
macklemore to fans: use music to resist trump,0
tim scott: every senator should read coretta scott king,0
poster vandal enters 'phallus in mouth' period,1
'don't cry for me',0
an open letter to white supremacists from former owner of biggest racist record label,0
neighborhood busybody reports sound of gunshots,1
"the sanders-clinton debate flap, explained",0
connecticut to give its electoral college votes to national popular vote victor,0
why suing your bank could help others avoid being ripped off,0
she dropped everything to come fight for immigration reform. she's still waiting.,0
zayn malik breaks his twitter silence to thank fans,0
report: apocalypse actually happened 3 years ago,1
gym teacher still remembers names of every former pantywaist,1
jeb bush: i misjudged the intensity of gop voters' anger,0
ctrl+ plus: a closer look at amc's halt and catch fire,0
ivy-covered home like that on inside too,1
kim kardashian gives us the first glimpse of saint west,0
bankrupt toys 'r' us forced to euthanize thousands of hatchimals,1
bts proves k-pop's power with spot on time magazine's most influential list,0
what it means to be a 'dream director' at one of d.c.'s struggling schools,0
heavy snow and high winds pound the east coast,0
"north korea fires multiple missiles, south korean military says",0
"news roundup for july 19, 2017",0
nba free agency winners and losers,0
6 things you didn't know about michael b. jordan,0
trump's trojan horse tax cut,0
overcrowded gop field forces iowa to construct massive town hall stadium,1
how to advance lgbt rights in red states,0
harry styles announces his world tour dates,0
deadly midair collision reported in maryland,0
"local play well-attended by friends, family",1
labor unions blamed for derailing campaign transparency efforts,0
french catering company employs refugees to cook their native foods,0
miley cyrus' 'wrecking ball' could be kelly clarkson's best cover yet,0
rudy giuliani just said trump is trying to 'get us back to a free press',0
twitter's latest anti-troll measure is perfectly timed,0
north korea promised to include release of u.s. citizens in meeting with trump: report,0
cuomo makes surprise afghanistan trip,0
groups working to make the world wide web live up to its name,0
police seek suspect in series of random later hostings,1
a feminist meets fidel castro,0
kevin hart drops an f-bomb in awkward nfl network interview,0
these strangers rushing to help one another remind us we're not alone,0
women honor harriet tubman with 100-mile trek along the underground railroad,0
"bush urges senate to give alito fair, quick, unanimous confirmation",1
trump reads fake version of own speech,0
spot-on video sums up the wildly different lives of cat and dog owners,0
j.j. abrams explains how he picked the new 'star wars' character names,0
"in the 'bad moms christmas' trailer, the bad moms' moms are crashing the party",0
here's how you can help lgbt survivors of prison rape this holiday season,0
supreme leader khamenei says iranian nuclear weapons are a u.s. 'myth',0
chipotle ceo predicts the demise of 'irrelevant' fast food chains,0
"sudden cardiac arrest more likely in african-americans, new study says",0
thinking more broadly about mothering this mother's day,0
growing up with the holocaust as a writer,0
funniest parenting tweets: what moms and dads said on twitter this week,0
why are bi men less likely to open up about same-sex attraction?,0
why uber should hire a woman ceo,0
the basics of personal branding - five simple questions before you start,0
don't read lena dunham: it only encourages her,0
cop takes cinnamon bun into own hands,1
facebook reportedly beta-testing 'downvote' button,0
ana navarro calls out gop: you'd impeach hillary clinton over this,0
7 phrases you should never say during an argument,0
and the city with the least attractive people is...?,0
enthusiasm of 18-year-old first-time voter completely unbearable,1
chris murphy: congress giving 'quiet endorsement' to murders,0
"universities, public spaces and the democratic way of life",0
olivia delivers a classic shondaland elevator moment in exclusive 'scandal' clip,0
hip-hop legends salt-n-pepa want more women in rap today,0
learning to live with ulcerative colitis,0
missouri governor accuses ferguson police of attacking michael brown's character,0
success academy works for my kid,0
love the real you: the case for self love,0
jaden smith is all of us during kanye west's vmas speech,0
new airport security rules could mean 'short interviews' with passengers,0
5 things about wedding planning that really suck,0
international women's day,0
aarp warns of sweepstakes scams,0
oscars line up five non-white presenters,0
key california lawmaker steps down amid harassment claims,0
reinventing win-win-win business relationships,0
these latinos' reactions to 'coco' prove representation matters,0
u.s. justices reject challenge to protest ban on supreme court plaza,0
man travels to historic art locations just to paint the patterns on his shirts,0
85 percent of u.s. cole slaw remains uneaten,1
doing my daughter's hair makes me feel like a better dad,0
a small request for mother's day,0
republican supporter of kim davis contradicts his own stance,0
amazon unhinged,0
a new what??,0
8.8 million people enrolled in obamacare plans for 2018,0
8 ways to recommit to your fading resolutions,0
navy hospital removes staffers for calling babies 'mini satans' on social media,0
hot new website 'facebook' is lighting up the charts,0
everything you need to know about how stress affects your skin,0
donald trump meets chief justice roberts to talk inauguration,0
to wax or not to wax?,0
watch a wrecking ball destroy a bunch of cars and get on with your life,0
new ted nugent cologne tested on 'every goddamn animal we could find',1
syria misses another chemical weapons benchmark despite 'significant progress',0
chrissy teigen is thankful she can now filter out the haters on instagram,0
history will remember transphobic trump and his supporters with contempt,0
"power companies could use drones to save lives, cut costs",0
my truth about being a black man and a black cop,0
a devastating story of friendship and heartbreak that definitely passes the bechdel test,0
house vote maintains military ability to jail people without trial,0
man takes parents on tour of city where he came to escape them,1
can you hear us now: an ongoing movement to raise the voices of muslim women,0
deputy interior secretary met with lobbyist for a casino his former firm also represents,0
kids as crash test dummies: brownback outsources child support services to donor,0
how every new year's eve ends up being awful,0
new york times throws vicious oscars shade at kevin spacey,0
isis struggling to narrow down gop debate sound bites for new recruitment video,1
toasting 2017 goodbye with ketogenic kool-aid,0
argentinian tv station trolls donald trump,0
celebrate older americans month by fighting senior poverty,0
even prison officials want to curb solitary confinement,0
paul pierce accidentally proves la is still a lakers town,0
the magical turpan,0
coworker who went to gym this morning a chipper little fucker,1
ted cruz-john kasich pact gets off to a bad start,0
toyota launches 'back to the future'-themed ad campaign,0
"for gay couple, fulfilling lifelong dream of marriage not worth moving to iowa",1
plan b releases new heart-shaped tablets for valentine's day,1
employees from other department announce plan to ramble on about fucking nothing right next to your desk,1
a pennsylvania house race embodies the fight for the future of the democratic party,0
did climate change spawn all these hurricanes? here's why it's hard to say.,0
what do kids need to know about race?,0
new study determines the best way to discipline your teen,0
charity exec braves mt. kilimanjaro to rally support for hell's kitchen social services,0
thousands of cheering americans packed into park for ted cruz concession speech,1
"gentrification rolls on in dallas, but will it grow up?",0
jury awards ex-employee of roscoe's chicken n' waffles $1.6m in race discrimination suit,0
red carpet organizers regret only renting one porta potty,1
want to challenge trump on immigration? try a strategy from the antebellum south,0
police near st. louis quash peaceful protest by declaring it an unlawful assembly,0
drought bad,1
photographer captures private moments of lgbtq icons in stunning color,0
9 things parents could buy with the money they spend on child care,0
"justin trudeau continues to melt hearts, teaching son how to make s'mores",0
siri's creators say they've made something for you,0
this author thinks all women are 'crazy' -- and wants us to own it,0
blissful ignorance commemorated on annual 9/10 anniversary,1
watch: tennis star mirjana lucic-baroni delivers the world's greatest motivational speech,0
watch: why mirrors flip things sideways but not upside down,0
assessing our children to death,0
with friends like these: trump speaks among bigots who want lgbt people dead,0
meg gavin's gps guide for finding perspective,0
how synagogues honor non-jewish congregants on yom kippur,0
a mother's day tribute to my mother-in-law,0
michael phelps says that he's now ready to retire,0
bernie sanders' health care bill is a huge win for the abortion rights movement,0
what about trump's campaign promise of 'america first'?,0
minnesota café charges 35 cent 'fee' to protest minimum wage hike,0
here's a complete rundown of what happened at the second presidential debate,0
is the fda sleeping on the job when it comes to sleeping pills?,0
donald trump thinks north carolina got it wrong on anti-lgbt bathroom bill,0
now that's what i call shitty music 8 tops album charts,1
pakistani military engagement: walking a fine line between saudi arabia and iran,0
traveling tips for families with special diet,0
a love contract to help pets deal with parents' breakup,0
why i'm building my political wardrobe,0
ryan reynolds wished his brother a happy birthday the only way he knows how,0
congo postpones elections as opposition calls for general strike,0
you can finally get kendall and kylie jenner's new video game,0
controversial congressman touts iowa 'peasant hunt' with donald trump jr.,0
no one knows how medieval nuns used this mysterious prayer wheel,0
storm harvey could financially hurt already strained houston hospitals,0
illinois considers allowing recall attempts of chicago mayor,0
mcdonald's just caved to a ton of pissed off 'rick & morty' fans,0
7 facts school leaders want you to know about kids in new orleans,0
why it's time to stop casually calling people 'schizophrenic' and 'bipolar',0
monica lewinsky: 'i'm not alone anymore' thanks to the me too movement,0
al roker slams 'moron' jim inhofe for bringing snowball to senate,0
benadryl introduces new non-drowsy allergy dart,1
"god, jesus and the bible: faqs for gay pride month",0
13 reasons to feel hopeful during a rough month,0
mitt romney 'planning to run' for senate if orrin hatch retires: report,0
geniuses made a must-watch 'formation' parody about anti-abortion laws,0
the army tells its soldiers to get some sleep,0
megyn kelly on donald trump: 'i have done my level best to not make this story about me',0
"joy reid: gop in bizarre mirror universe where clinton is guilty, trump is blameless",0
5 signs that you should end your relationship,0
wednesday's morning email: latest missile launch from north korea appears to put entire continental u.s. in range,0
"there's no need to fear other people's 'bad energy,' says psychic",0
new stapler makes all other staplers look like worthless shit,1
will smith says trump may force him to run for president,0
understanding the islamic state,0
watch abbi from 'broad city' strip naked and rock out to lady gaga,0
"we're thankful for curvy models, curly hair and more!",0
"sens. mccain, graham: trump's order could become 'self-inflicted wound' in terror fight",0
ancient flying beast named after 'avatar' creature,0
bill cosby mug shot released,0
fridge magnet pushed to limits,1
climate science on trial again,0
these 6 selena cards will make your valentine feel como la flor,0
dad delivers state of the union rebuttal directly into television screen,1
study seeks to measure 'scalia-ness' of donald trump's supreme court picks,0
californian falls to his death from cliff trying to rescue his dog,0
15 things to bring on your summer adventures,0
we must increase food aid during time of famine,0
"trump backers share his animosity toward the media, poll shows",0
trump outlines bold vision for nation's next mass protests,1
here is how phil jackson and the knicks can win free agency,0
19 women who have a very complicated relationship with grills,0
mexican presidential candidate calls for cutting off thieves' hands,0
mayor apologizes for citing wwii japanese internment camps in rejecting refugees,0
paul ryan's war on social security,0
americans aren't always as divided on gun control as it seems,0
mark zuckerberg apologizes to congress for not realizing scope of his genius,1
what the heart of a tiger looks like: faith instead of fear,0
"and now, the first picture from the 'gilmore girls' revival",0
gun lobby politicians like bob goodlatte enable social media killers,0
wearable technology: the coming revolution in healthcare,0
ryan reynolds reveals blake lively's perfect response to his birthday tweet,0
5 books to get you out of your literary comfort zone,0
obama administration accused of violating constitutional rights of immigrant detainees,0
secret service took 15 minutes to catch white house fence jumper: report,0
dear sleep-deprived mama,0
"after one realizes methadone clinic nearby, behavior around city block makes sense",1
why fashion should be on the climate change agenda,0
this moose strikes a blow against the takeover of the machines,0
fear is just one big joke,0
how will america respond to cold war ii?,0
protest sparks after black man shot by police in minneapolis,0
how do you campaign for your dad in iowa? ask martin o'malley's teenage son.,0
here's how you can help lgbtq communities around the country,0
blm protest at london airport calls out environmental inequality,0
megachurch pastor abruptly retires after allegations of improper conduct go public,0
what to do if you feel traumatized by the las vegas shooting,0
pope francis' silent response to the filipino girl: what he might have been thinking,0
south dakota high school principal injured in school shooting,0
20 body changes nobody tells you come before menopause,0
donald trump flat out lies about his reaction to charlottesville,0
"'tall women in clogs' busts stereotypes about height, gender and more",0
"the news on russia and trump is evolving, but people's opinions are not",0
on losing my first friend,0
"hulu's 'the handmaid's tale' adds joseph fiennes, will be b-a-n-a-n-a-s",0
bizarre mars dune pattern looks like a message in morse code,0
my kids eat chicken nuggets (and other parenting atrocities),0
trump taps 'jumpin' jack flash' to close the deal in iowa,0
why shopping doesn't solve problems in the fashion industry,0
don't pay another bill until you pay this,0
a gospel of white supremacy is not the gospel of christ,0
secretary of education under investigation for falsifying hall passes,1
magical rainbow ring caught on camera from drone,0
no one quite sure why 8-year-old has voice of lifelong chain smoker,1
i'm not an empty nester. i'm just sharing my daughter with the world.,0
25 worst original names of famous bands,0
"thousands march in washington, d.c. heat to demand trump act on climate change",0
isis' muslim death toll is enormous,0
shirtless tonga olympian pita taufatofua wins olympic opening ceremony again,0
state facing lawsuit over controversial law nullifying all federal gun regulations,0
report: maid of honor not even that good of friends with bride,1
15 songs that defined the boomer generation,0
public-speaking student to make point of gesturing,1
"'i feel your pain,' romney tells campaign rally attendees who make $20 million a year",1
5 financial wake-up calls -- and what you can learn from them,0
a weighty new year's resolution,0
bill maher calls out donald trump's racism with spot-on monologue,0
opposition calls for turkish vote annulment after erdogan wins powers,0
busboy who cradled a dying rfk is finally moving past his grief,0
house conservatives claim democrats have failed black communities,0
ariel winter slayed prom with this disney princess moment,0
cousin of nba star dwyane wade killed in chicago shooting,0
rand paul: hillary clinton is a 'war hawk',0
grocery-store worker can't bear to eat food anymore,1
parental leave revolution moves from tech to banking,0
"years of networking, glad-handing sabotaged by coworker's good idea",1
5 family movies still worth streaming on netflix this holiday,0
two new documentaries outline the legacies of steven spielberg and alfred hitchcock,0
congress raises killing age to 19,1
trevor noah says wikileaks proves clinton is guilty -- of being boring,0
who else besides joe biden might crash the debate?,0
mat kearney gets a 'second wind' with new album and tour,0
5 gorgeous home office ideas,0
"'beautiful moment ripped away' as car plows into anti-racist group in charlottesville, 1 dead",0
the music of strangers: a film review by dr. lloyd sederer,0
sixty seconds of art,0
politicians bash donald trump over use of 'pocahontas' slur at navajo event,0
spouse criticism may worsen chronic low back pain,0
washington monument set up on blind date with eiffel tower,1
"on emmett till, black death spectacle, and cultural (mis)appropriation",0
india holds 5k stampede for charity,1
education for the world we want (part 2),0
vacationing family visits world's biggest asshole,1
6 intimate details you can tell just by looking at someone,0
live: south korea vs. algeria,0
here is how senate republicans try to hide the damage of their repeal bill,0
how to make pumpkin treats for your dog,0
should we pay the staggering economic and human costs of nuclear weapons?,0
'it's the heart of mississippi': meet the people of oxford,0
andrew lincoln will make you hope for rick's death scene on 'the walking dead',0
weird new cereal sets tone for first weekend at divorced dad's,1
truth through fiction,0
why britain's spy chief says he wouldn't hire james bond,0
vice president pence pushes expansive nato and defense of european micro-states: does president trump know?,0
kourtney kardashian shares adorable photo with baby reign,0
j.k. rowling reveals what her horcrux would be (if she had to make one),0
"previewing 'hidden figures' with the teary-eyed octavia spencer, taraji p. henson and janelle monáe",0
huffpollster: carly fiorina probably won't help ted cruz save his campaign,0
analyst warns gop: house majority is in danger in 2018,0
saudi courts should exhibit independence by protecting speech,0
the gop on immigration: life imitating satire -- and vice versa,0
all the best accessories from nyfw,0
retiring teacher moved to tears by surprise flash mob on her last day,0
u.n. tribunal swayed by thousands of children's letters to milosevic,1
new apple ceo tim cook: 'i'm thinking printers',1
the 'westworld' mystery that started it all might finally be solved,0
dem accuses gop chair of 'attempt to choke off public info' on russia probe,0
brazil president dilma rousseff suspended after senate votes for impeachment trial,0
"1 dead, 3 hurt in stabbing on ut austin campus",0
an open letter to my shelter dog's first owner,0
"elizabeth warren quotes taylor swift, slams trump in commencement speech",0
autonomy: the self-driving car and you,0
abc announces ellen will come out in every episode,1
syrian boy with meningitis evacuated from besieged town,0
iran's amazing spider-woman climbs a wall so fast it doesn't look real,0
leslie jones and adam rippon commentating on figure skating is an olympic dream,0
supporters defend kirsten gillibrand after trump delivers 'sexist smear',0
cops attempt to unlock phone of man they killed using his finger,0
how the uk is strengthening interfaith bonds after paris attacks,0
ryan reynolds warns deadpool fans: 'don't say a f**king word',0
adele worships at the altar of beyoncé just like the rest of us,0
"dare to be 100: yes, virginia, wherever",0
a pastoral letter to older generations about those frustrating millennials,0
florida teen apologizes for racist promposal sign,0
prison escapee appears in court,0
"god almost forgot to kill dave elfman of boulder, co today",1
house republicans unveil bill to repeal obamacare,0
amos lee reveals the story behind 'arms of a woman',0
romney campaign reboots for 72nd consecutive week,1
the top 2 things people choose to dream about,0
consumer confidence verging on cockiness,1
missing from amazon's search for a second home: the climate effects,0
why we won't be participating in black friday,0
police department threatens criminals with 'stranger things' spoilers,0
irish prime minister uses st. patrick's day to praise immigration in front of trump,0
gop congressman who revived obamacare repeal faces rage at rowdy town hall,0
a guide to how much butter is in your favorite baked goods,0
the lingering ex: social media and break-ups,0
enrique iglesias and anna kournikova share first photos of newborn twins,0
using new technology to give voice to the voiceless,0
men did most of the talking in 2016's super bowl commercials,0
trevor noah: 'moms are just like superheroes without the capes',0
how competent are nonprofit boards in strategic planning?,0
facebook to block private gun sales,0
linebacker faces suspension for genocide,1
supreme court agrees to hear new jack white album,1
20-year-old with down syndrome is the youngest business owner in his town,0
washington d.c. officer shoots woman carrying knife,0
a protester somehow managed to disrupt donald trump's rnc speech,0
the director of hbo's new james foley documentary on making a movie about his childhood pal,0
man surprised to hear himself tell matt damon he's a 'big fan',1
we might be all wrong about robots taking our jobs,0
hillary clinton nabs victory in new mexico primary,0
alyson stoner opens up about falling in love with a woman,0
