article,label
U.S. seeks to reassure Beijing after Trump call with Taiwan leader,1
"Turkey urges Iraqi Kurds to drop referendum, cites sanctions",1
" After Sex Scandal Allegations, Ted Cruz Unleashes Colossally Pathetic Hissy Fit On Facebook",0
"Key U.S. House committee approves healthcare bill, vote set for Thursday",1
Saudi ambassador to U.S. says his society is ready to let women drive,1
 Trump HUMILIATED As WH Walks Back His Attack After Soldier’s Mom Confirms His Insensitive Phone Call,0
BREAKING: OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky,0
Germany investigating reports of refugees forced into prostitution,1
"Saudi-led coalition to reopen Yemen's Hodeidah port, Sanaa airport for aid",1
Factbox: Why the Zika virus is causing alarm,1
Iceland's president asks leftist opposition leader to form new government,1
House tax panel chair: corporate tax cut may take 'several steps',1
NATO launches Black Sea force as latest counter to Russia,1
U.S. embassy in Kiev critical of Moscow order on Ukrainian documentation,1
Turkish foreign minister says Assad administration must be removed,1
Most Britons want May to lead through Brexit process -Telegraph,1
"Senate plan delays corporate tax cut, won't repeal Obamacare mandate: senator",1
"North Korea moving airplanes, boosting defense after U.S. bomber flight: Yonhap",1
"Trump makes overture to Ryan, while Republicans wrestle with party's future",1
Indian police arrest Christian priest after complaint by Hindu group,1
 ‘Pissed As Hell’ Oregon Rancher FURIOUS At Bundy Militia: ‘This Is My Home!’ (VIDEO),0
Libyan coast guard rescues more than 250 migrants trying to reach Italy,1
Europe could soon be within range of North Korean missiles: France,1
"Clinton considering Warren, not Sanders, for running mate: WSJ",1
France to discuss possible new Rafale sale with Egypt's al-Sisi: Le Maire,1
Bulgarians use 'speed dating' to get know migrants,1
Senate panel chair says will hold hearings on health insurance market,1
"Leaving nothing to chance, China increases security, social control before Congress",1
 Bombshell Reports Confirm What We Already Believed About MSNBC’s Joe And Mika (DETAILS),0
Zimbabwe court postpones former finmin Chombo bail hearing-state radio,1
"Despite recusal, Trump has confidence in Sessions: White House",1
Trump's son-in-law Kushner to become senior White House adviser,1
"EU to race Britain for Australia, NZ trade deals",1
 Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO),0
 Columbine Shooter Dylan Klebold’s Mother Breaks Silence In Riveting New Interview (VIDEOS),0
Mnuchin says no regrets over government plane use,1
FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,0
"Tillerson to back North Korea diplomacy, reject Syria's Assad: U.S. official",1
South Koreans seek to visit once-jointly run factory zone in North,1
Japanese man kills wife and priestess sister with sword in bizarre family feud: media,1
"Health plan would cut U.S. deficit, but leave millions without insurance: CBO",1
"Convoy rolls into Damascus suburbs with aid for 40,000: U.N.",1
TRUMP HITS BACK After Cowgirl Congresswoman Trashes Him Over Words Said to Grieving Widow,0
Putin complains Russian media abroad face unacceptable pressure,1
Korean peninsula draws range of military drills in show of force against North Korea,1
Saudi-led coalition air raid puts Yemen's Sanaa airport out of service: agency,1
Egypt's Hasm militants claim attack targeting Myanmar embassy,1
Obama spars with Cuba's Castro over human rights in historic visit,1
Trump breaks ice with China's Xi in letter seeking 'constructive' ties,1
U.S. Commerce nominee Ross calls China 'most protectionist' country,1
"Iraq's Kurds beef up, move back defense line around oil-rich Kirkuk",1
Mexico foreign minister heads to U.S. to meet with Dreamers,1
"Eurofighter jet crashes in Spain, killing pilot",1
German prosecutor demands life for neo-Nazi suspect Zschaepe,1
" Alex Jones POSITIVE Obama Killed Scalia, And You’ll Never Believe Who He Thinks Is Next (VIDEO)",0
"NuStar's St. Eustatius terminal damaged by Irma, no restart date set",1
 Even Staunch Republican Ben Stein Says He’d Support Sanders Or Clinton Over Trump (VIDEO),0
"House, Senate Republicans face challenge over corporate AMT tax",1
At least 65 media workers killed doing their jobs in 2017: Reporters Without Borders,1
Colombia urges ELN rebels to turn over body of Russian hostage,1
"Obama, Fed's Yellen discussed economic risks in White House meeting",1
U.S. officials will not label treatment of Rohingya as 'ethnic cleansing',1
White House retreats from government shutdown threat: Washington Post,1
DIRTY POOL! FBI AND DOJ Just Affirmed They Spied On Trump WITHOUT Proving Dossier’s Authenticity,0
"Republicans, Obama immigration chief clash over criminal immigrants",1
Senate Ethics Committee opens probe of Senator Franken,1
"Myanmar, accused of crackdown, invited to U.S.-Thai military exercise",1
Trump lawyers make final Supreme Court pitch on travel ban,1
Congress could undo Obama-era student loan relief,1
"FBI found Clinton-related emails on devices belonging to aide, ex-congressman: NYT",1
 WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,0
 This Is What REAL Christians Do When Their Priest Preaches To Ban Abortion (VIDEO),0
More than 50 arrested for looting in Miami during Irma: police,1
 Aziz Ansari Just Told Trump To ‘Go F*ck Himself’ As Only He Can (TWEET),0
Sudan's Bashir says would support state governor in 2020 president vote,1
Anti-Trump protesters: patchwork of people and Facebook pages,1
"Russia holds rates amid geopolitical risks, sees cuts by year-end",1
Comey to confirm Trump pressured him on Flynn investigation: CNN,1
Trump distances himself from remarks on Putin over election meddling,1
 Hillary’s New Ad Brilliantly Uses Those Who Have Endorsed Trump Against Him (VIDEO),0
"Russian defense minister, Syria's Assad meet in Damascus: agencies",1
"Erdogan, Putin to discuss Syrian peace plan next week",1
BOOM! TOMI LAHREN’S Top Tips For Liberals In 2017 [VIDEO],0
Kremlin says it has no compromising dossier on Trump,1
Hurricane Irma threatens luxury Trump properties,1
Sen. McCain says will support changing rules to confirm Gorsuch,1
Kurd forces move back defense line around Kirkuk in disengagement effort,1
Trump administration's NAFTA demands make sense: Union Pacific CEO,1
"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections",0
"Clinton to meet with presidents of Egypt, Ukraine next week: campaign",1
Exclusive: Skeptical Trump says would renegotiate global climate deal,1
Trump supports completion of Dakota Access Pipeline,1
Saudi Arabia says hopes Kurdistan vote will not take place,1
"Thirty-two years after quake, angry Mexicans still wait for homes",1
House Democrats escalate effort to obtain Trump tax returns,1
Rwandan leader's would-be rival Rwigara and her mother denied bail,1
Obama says China would not take change in U.S. policy on Taiwan lightly,1
Spain summons Venezuela Ambassador after Maduro's Catalonia comments,1
 RIGGED: Hillary Wins Popular Vote As Republicans Claim WH Victory,0
"Mexico's border trade capital craves Clinton win, with caveats",1
Senate approves five Treasury nominees,1
Factbox: German coalition watch: Merkel seeks three-way alliance,1
"In Mexico visit, Trump's defense chief talks trust, respect",1
Jenner uses women's restroom at Trump property,1
Trump travel ban shows U.S. misunderstanding of anti-terror duties: Chinese state media,1
"Ex-Trump staffer sues campaign, alleges gun incident in North Carolina",1
" Stephen Colbert And His Audience Absolutely Pummeled Bill O’Reilly, And It Was Spectacular (VIDEO)",0
Iraqi forces in final assault to take Hawija from Islamic State,1
"BLACK TV HOST HAMMERS RACIST MOOCH: ‘The only hope you have Michelle Obama, is that everybody will be as miserable as you”",0
Saudi foreign minister welcomes release of pages from 9-11 report,1
 Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary’s Brilliant Speech,0
Honduras president with strong lead in TV station's election exit poll,1
Reveal your sources: Swiss suspect told in German spy trial,1
Spanish government says any dialogue with Catalonia must be within the law,1
Highlights: The Trump presidency on March 13 at 9:05 p.m. EDT,1
"Factbox: Trump on Twitter (Aug 25) - Republicans, John Kelly, Hurricane Harvey",1
Catalonia moves to declare independence from Spain on Monday,1
Trump and Putin see eye to eye on many foreign policy aims: Foreign Minister,1
Ex-Christie associates guilty in New Jersey 'Bridgegate' scandal,1
House Speaker Paul Ryan to rule out 2016 presidential candidacy,1
Trump says will decide on Federal Reserve chair 'very shortly',1
"U.N. rights boss sees possible ""crimes against humanity"" in Venezuela",1
Flynn did not initially disclose income from Russia-linked companies,1
Tillerson to meet Lebanon's Hariri in Paris on Friday: U.S. State Department,1
Three suspected al Qaeda militants killed in Yemen drone strike,1
WOW! CHICAGO PROTESTER Caught On Camera Admits Violent Activity Was Pre-Planned: “It’s not gonna be peaceful”,0
"Knifeman attacks soldier in Paris subway, terrorism probe opened",1
Turkey detains 51 teachers over suspected links to coup: Dogan,1
Pro-EU group unveils Soviet-style mural of Trump kissing ex-Mayor Johnson,1
"Attorney General Sessions visits White House, not Trump",1
Bahrain's top Shi'ite cleric's health deteriorates: activists,1
DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],0
'Trump dossier' on Russia links now part of special counsel's probe: sources,1
British lawmakers urge May to tackle Trump on climate change,1
"Argentina says satellite calls detected, likely from missing submarine",1
Mexico industry eyes NAFTA changes to find common ground with Trump,1
U.S. targets Iraqis for deportation in wake of travel ban deal,1
"Mexico suffers deadliest month on record, 2017 set to be worst year",1
"South Sudan rebel groups clash, at least three dead",1
Morocco's 'mule' women scratch a living on Spanish enclave border,1
"Trump pressures Lockheed, says told Boeing to price out fighter aircraft",1
Hard Irish border post-Brexit would be risk to peace: Coveney,1
Republican Grassley to ask Trump Jr to testify to Senate panel: CNN,1
"Under China anthem cloud, rare interest in Hong Kong vs Bahrain soccer friendly",1
White House says Trump tweet meets Comey tapes records request,1
Pelosi says Trump abused power in interactions with ex-FBI chief,1
Rwandan president's challenger faces incitement charge in court,1
Trump recommits to 'major border tax' on foreign-produced U.S. products,1
Canada to expel Venezuelan diplomat in retaliatory move,1
NATO's Stoltenberg says North Korea's 'reckless behavior' requires global response,1
"Senate confirms Trump's pick to run Medicare, Medicaid",1
Mexicans race to save schoolgirl buried by quake; death toll at 237,1
"Trump, Macron discuss joint counterterrorism operations in Africa's Sahel",1
Power crews scramble to Puerto Rico after Maria smashes its grid,1
Ted Cruz did not disclose 2012 Senate campaign loan: NY Times,1
"U.S. lawmakers back Syria strikes, demand a plan from Trump",1
U.S. presses Russia to comply with nuclear missile treaty,1
INCOMING FRESHMEN Are Put On Notice With Welcome Letter From U of Chicago Dean Of Students…”Trigger Warning” Crybabies Stay Home,0
 Student Haz A Sad After Everyone Mocks Him For His Trump Hat (VIDEO),0
EPA staff told to prepare for Trump executive orders: sources,1
U.S. 'making a lot of progress' on North Korea issue: Trump,1
Brazil's Temer undergoes urinary tract surgery,1
Baby banned from Japanese municipal assembly,1
"Polish cut in retirement age comes into force, bucking European trend",1
U.S. arms sales jump 25 percent in FY 2017,1
"Militant blast, gun attack kill 18 police in Egypt's Sinai",1
"Egypt orders suspected Libyan militant, 14 others be held over desert attack",1
"Coalition with Merkel not automatic, all options open: Germany's SPD",1
THIS PICTURE OF HARRIET TUBMAN Should Be Used On The $20 Bill…If For No Other Reason Than To Drive Anti-Gun Left Crazy,0
Kremlin says Putin and Trump to discuss North Korea in Vietnam,1
" GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",0
Attorney General Sessions says now recalls meeting flagged in Russia probe,1
Turkey threatens legal action after lawmaker calls Erdogan 'fascist dictator',1
"Turkey to close Iraq border, air space, will open new gate with Baghdad",1
U.S. approves possible $15 billion sale of THAAD missiles to Saudi Arabia,1
"Warren, Kaine, Castro on Clinton running-mate short list: AP",1
Extension of Iran Sanctions Act passes U.S. Congress,1
Syrian town struggles to cope alone after key victory over Islamic State,1
Activist Steyer expands agenda in bid to defeat 'dangerous' Trump,1
Senate Democrats ask Trump attorney general pick to recuse himself from Russia probes,1
Billionaire ‘Bilderberger’ David Rockefeller dead at 101,0
Palestinian accord must abide by international accords: Israeli official,1
"U.N. chief calls for united, 'appropriate action' on North Korea",1
One body found near wreckage of Russian helicopter off Svalbard,1
"Zimbabwe's Mugabe 'ready to die for what is correct', nephew tells Reuters",1
Backlash among German MPs against parliamentary Twitter ban,1
SAY WHAT? #BlackLivesMatter TEXTBOOKS TO BE USED AS PART OF COMMON CORE CURRICULUM IN GRADES 6-12 [Video],0
"First ""I do"" as same-sex marriage comes to Germany",1
Ex-NAACP chief Ben Jealous to run for Maryland governor,1
"Factbox: Clinton's policies on economy, Islamic State, other issues",1
China complains about Taiwan content in U.S. defense act,1
Jeb Bush gets a brotherly hand from George W. in South Carolina,1
"Possible Thales, Leonardo role in Franco-Italian ship talks: sources",1
"More than half of schools in Boko Haram's region are shut, UNICEF says",1
Mexican peso surges ahead of U.S. presidential debate,1
Panic on London's Oxford Street after reports of shooting,1
Leading Democrat: Critics can't conclude Trump is impaired,1
"Medical students, faculty rally to try to save Obamacare",1
Trump says China tried but failed to help on North Korea,1
U.S. House tax panel will not seek Trump tax returns: lawmaker,1
South Korea's Moon seeks Russia's cooperation over cut in North Korea oil supplies: Yonhap,1
Trump pick for China ambassador sees 'win-win' boost to trade ties,1
U.S. 'making a lot of progress' on North Korea issue: Trump,1
POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO],0
How Rubio’s campaign failed: problems from the start,1
"German, Chinese leaders agree on need to tighten North Korea sanctions",1
Trump explained U.S. position on THAAD to Xi: South Korea,1
ALARMING: NSA Refuses to Release Clinton-Lynch Tarmac Transcript with Lame Excuse,0
South Sudan commander defects to rebels amid showdown with ex-army chief,1
Pastor freed from prison in Iran to return to U.S. on Thursday: wife,1
 Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,0
Text: Trump recognizes Jerusalem as Israel's capital,1
Malaysia scraps beer festival following Islamists' objections,1
Caribbean oil terminals make preparations ahead of Hurricane Maria,1
El Salvador launches commission to find those missing from civil war,1
U.S. gives China draft proposal for tougher North Korea sanctions - sources,1
EU's Juncker says ready to retaliate if needed over new U.S. sanctions on Russia,1
Trump taps Montana Congressman Zinke to lead Interior Department,1
Senate panel says it will subpoena Michael Flynn businesses,1
Dutch authorities try to avoid Russian air ban over Schiphol landing slots,1
Virginia GOP sues governor over restoring voting rights to felons,1
Top Russian and U.S. generals discuss Syria bombing allegations: Kommersant,1
Former President George W. Bush does not cast vote for president,1
"Charlottesville schools, parents address children's fears after violence",1
"Bus drives into pedestrian underpass in Moscow, kills four: agencies",1
Germans see Trump as bigger problem than North Korea or Russia,1
Trump delays announcement on whether U.S. embassy to be moved to Jerusalem,1
U.S. list of NAFTA goals 'not earth-shattering': Canada source,1
 Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO),0
Tens of thousands march for abortion rights in Ireland,1
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,1
Senate to vote on just two Trump national security picks on Friday,1
Son of Russian lawmaker pleads guilty in cyber crime cases,1
" WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",0
"After sowing doubts, Trump backs NATO mutual defense under charter",1
Mayor says Atlantic City may face bankruptcy after bill vetoed,1
Islamic State seizes new Afghan foothold after luring Taliban defectors,1
ILLEGALS BEFORE AMERICAN CITIZENS: ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens,0
Hope fades after 9 days of searching for Argentine submarine,1
NORDSTROM CANCELS IVANKA TRUMP BRAND After Liberal Complaints #BoycottNordstrom,0
Fractured Republicans come together in face of Trump triumph,1
WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims,0
Senate to vote on Saudi arms sale measure this week: senators,1
Exiled Venezuelan opposition magistrates resurface in Chile,1
"Mexico to cut share of refined sugar sent to U.S., minister says",1
" Black Man Detained By Cops After Withdrawing $200,000 Of HIS OWN Money (VIDEO, IMAGES)",0
Egypt's Sisi invites Palestinian president to Cairo to discuss Trump's Jerusalem move,1
LEFTIST HATE ON STEROIDS: Donald Trump Tombstone Appears In NYC,0
Pro-Kurdish opposition leader's trial opens in Turkey,1
Prospects for House vote on gun control measure dims,1
France's Macron presses Saudi king to lift Yemen blockade: Elysee source,1
FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops,0
House Speaker Ryan easily wins primary: media,1
Texas House passes 'bathroom bill' targeting public schools,1
"Republican Senators Corker, Toomey reach deal on budget resolution",1
Obama unveils wage insurance plan to spur job seekers,1
"Biden, Ukraine's Poroshenko to meet Thursday: White House",1
Mattis says U.S. working to ensure situation around Kirkuk does not escalate,1
Indonesia ready to help Bangladesh in dealing with Rohingya refugees,1
Trump handling of security information at Mar-a-Lago queried by House panel,1
Republican Moore embraces Trump message on eve of Alabama election,1
Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur,0
"Canada, U.S. join forces on tackling border asylum-seekers",1
Trump builds team of bosses to shake up Washington,1
Protests test tribal authority on South Africa's platinum belt,1
JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”,0
Obama makes last attempt to persuade Congress to close Guantanamo,1
NOT KIDDING: ARIZONA NEWSPAPER Concerned Border Fence Too High For Illegals To Cross Safely,0
Grace Mugabe: the office worker who wanted to rule Zimbabwe,1
ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video],0
Man arrested at Trump rally said he wanted to shoot candidate: court papers,1
Somalia says it requested U.S. air strike that killed 100 militants,1
VETERANS CAN’T GET HEALTH CARE…But These MN Somali Muslims Got US Taxpayer Dollars For College…Used It For Jihad,0
Four Democrats seek probe into reviews ordered by acting SEC chair,1
Rights groups urge end to Poland's overhaul of judiciary,1
"Factbox: Trump on Twitter (Sept 13) - Tax reform, Florida",1
"Tillerson says U.S., Russia can settle problems, ease tension",1
Airlines in Cairo asked to implement Trump travel ban: EgyptAir official,1
Support for an independent Catalonia rises to three-year high: poll,1
"At G20 summit, Trump pledges $639 million in aid to four countries",1
Indonesian parliament speaker quits amid graft investigation,1
Pompeo might bring assets to 'hellish' secretary of state role,1
PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video],0
Indonesia court rejects petition to bar consensual sex outside marriage,1
Trump was wrong to retweet UK far-right group: British PM May's spokesman,1
Britain's Queen Elizabeth bows out of Remembrance wreath-laying ceremony,1
Son Of Egyptian Immigrants Hopes To Become FIRST MUSLIM GOVERNOR In U.S…Will Push For “Sanctuary State”,0
Ryan opposes Trump working with Democrats on healthcare,1
CLINTON ABRUPTLY Cancels Plans To Go to Charlotte On Sunday…Gives Lame Excuse,0
U.S. Senate's top tax lawmaker targets corporate offshore profits,1
"Trump says tax conference will go well, 'pretty quickly'",1
Louisiana governor says state's finances in dire situation,1
Trump proposes 15 percent business tax rate: White House summary,1
"Factbox: Humanitarian crisis in Bangladesh as 270,000 Rohingya flee Myanmar",1
"As Republican tax vote nears, more senators waver",1
Hariri tells Lebanese president will be in Lebanon Wednesday: Aoun,1
“STOP BLAMING WHITE PEOPLE For Trump’s Win Last Night…America Voted For Actual Change” [VIDEO],0
British negotiators still working on Brexit deal: Treasury minister,1
Senator Schumer expects 'mainstream nominee' for Supreme Court,1
U.N. rights forum to hold special session on Myanmar Rohingya - U.N. sources,1
France sees U.S. strike on Syria as tool to push for peace talks: Hollande,1
Mattis slams 'false' reports on Trump request for nuclear arms hike,1
U.S.-South Korea military exercise to start Aug. 21: Pentagon,1
Most Americans want Obama to nominate Scalia's replacement: Reuters/Ipsos,1
Refugees' health problems in Greece mostly unmet: medical charity,1
FACTBOX: About 6.1 million without power in U.S. Southeast after Irma: utilities,1
Clinton knocks Trump for cheering housing bubble burst,1
Democratic senator tussles with U.S. Treasury secretary over communication,1
Britain's defense minister resigns in growing harassment scandal,1
Malta offers 1 million-euro reward to find journalist's killers,1
Santorum to pull out of Republican White House race: CNN,1
"China backs U.N. call for justice in Yemen, U.S. and Saudis don't",1
OBAMA DOUBLES DOWN On The Threat Of Climate Change vs. Terrorism [Video],0
FULL INTERVIEW: Judge Jeanine Pirro’s In-Depth Interview With President Trump [Video],0
House Democratic leader Pelosi backs Clinton for president,1
"Trump mulls national security adviser pick, White House promises autonomy",1
Trump to meet with House Republicans on July 7,1
No prosecution for Trump campaign manager Florida battery charge,1
Thirty-one bodies recovered after migrant boat sinks off Libya,1
MONTEL WILLIAMS Says Oregon Patriots Are “Undereducated Terrorist Buffoons” And National Guard Should “Shoot To Kill” Them,0
 Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,0
Girl strapped with bomb kills five in Cameroon mosque,1
"Merkel, responding to Trump, says Europe's fate is in its own hands",1
"Bomb attack kills one Bahraini policeman, wounds eight",1
JUST IN: RAND PAUL ASSAULTED By Democrat Doctor…Here’s What We Know About The Attacker,0
Facebook says Russian-linked accounts spent just 97 cents on ads over Brexit,1
Trump's not-so-quick fix to undo Obamacare,1
Iran's Rouhani says Trump election has no effect on Tehran policies: IRNA,1
Shots fired at DMZ as North Korean soldier defects to South,1
McCain’s Mad World and The Cancer of Conflict,0
Detained asylum-seekers win right to sue PNG government for compensation,1
Vote on gun control measures in Senate likely on Tuesday: Feinstein,1
U.S. commerce chief Ross says nothing improper about investments: BBC reporter,1
Israeli minister says was misunderstood on war remarks with Iran,1
"Iran vows to stand with Baghdad, Ankara against Iraqi Kurds' independence push",1
Beijing evictions leave migrant workers in limbo as winter deepens,1
"While wealthy Mexicans swamped by quake aid, poor feel abandoned",1
Earthquake of magnitude 6.1 strikes off southern Japan: USGS,1
Exclusive: U.S. congressional committee demands answers on WHO cancer agency,1
Kurdistan region says Iraqi forces preparing major attack in oil-rich Kirkuk,1
Zimbabwe army hands ex-finance minister to police: relative,1
"Trump health pick defends stocks, says Americans won't lose insurance",1
Democratic lawmakers press Flynn on Middle East trips,1
"(VIDEO) FRIDAY NIGHT’S HYSTERICAL TAKE ON THE BOEHNER, MCCONNELL, CRUZ TUSSLE",0
Merkel warns Hungary of financial consequences of defying EU on migrants,1
"Kremlin, after Kurdish vote, says supports integrity of regional states",1
Arab coalition says will keep Yemen port open; air raids kill at least nine,1
White House meeting on Paris climate deal postponed: official,1
Senior Republican says Obama seeking moderate Supreme Court justice,1
Anti-Trump Protester’s X-Rated Comment Angers MSNBC Anchor: “Grow The Hell Up!”,0
Security for Trump's summer visit ruffles tranquil New Jersey town,1
 Supreme Court Unanimously Rejects Republican’s Latest Election Rigging Scheme,0
"China will stick to supply side structural reform, overcapacity reduction efforts",1
U.N. medics see evidence of rape in Myanmar army 'cleansing' campaign,1
Ohio governor lacks power to suspend open carry law: spokeswoman,1
"Starbucks, Univision, Democracy Works aim to boost U.S. voter turnout",1
DUP says Northern Ireland will leave EU on same terms as rest of UK,1
Trump campaign says it raised $80 million in July: statement,1
Trump tells Congress: 'Get ready to do your job - DACA!',1
Campaigning in style: How Jeb Bush blew through his war chest ,1
Iraqi Kurdish opposition party Gorran calls on Barzani to step down,1
Tillerson pays flying visit to Afghanistan to discuss U.S. strategy,1
Trump: Father of UCLA player in shoplifting case is 'ungrateful fool',1
Syrian army fights IS in Deir al-Zor as U.S.-backed forces loom,1
"As 'Bridgegate' trial begins, New Jersey's Christie remains focus",1
China to expand corruption supervision pilot scheme nationwide: Xinhua,1
Ex-Trump aide Flynn's family creates fund for 'enormous' legal fees,1
"Santorum to attend Trump's rally, campaign says",1
"Peru's president pardons ex-leader Fujimori, citing his health",1
"Trump will accept election results if it's fair, his son says",1
CNN’s Don Lemon: Is He an Alcoholic or Just a Drunk?,0
Greek prime minister says Turkey should continue its European orientation,1
U.S. jurors hear closing arguments over Iran-linked office tower,1
White House: Congress would have most impact on fighting tax avoidance,1
"Obama: US, Nordic nations agree sanctions against Russia should continue",1
"Senate passes budget blueprint, key to Trump tax effort",1
Car bomb kills journalist in Somali capital,1
Border without doctors? South Koreans urge more funding for trauma care after defector drama,1
No. 2 Republican in U.S. House sees conference on tax bill soon,1
Czech far-right party says will not support new government,1
U.S. partnership with Turkey in Islamic State fight 'very strong',1
McMaster says 'not concerned' after Kushner back-channel reports,1
"Kremlin: accusations that Russia behind Kiev blast are ""baseless""",1
No vote on healthcare bill this week in U.S. House,1
U.S. bomber drills aggravate North Korea ahead of Trump's Asia visit,1
Highlights: The Trump presidency on March 1 at 8:16 p.m. EST,1
EPA head seeks to avoid settlements with green groups,1
Russian warships dock in Philippines as Manila cultivates new ties,1
"Trump's push to cut federal jobs has modest impact, mostly in defense",1
" Paul Ryan Sharpens His Backstabbing Knife, Prepares War With White House (VIDEO)",0
EU states see Britain failing to meet Brexit divorce terms,1
"Reuters journalists in Myanmar appear in court, remanded for another 14 days",1
SEC nominee Clayton to get Senate panel vote April 4,1
Turkish warplanes kill three Kurdish militants in northern Iraq: army,1
House panel spars over self-driving car rules,1
Battle over N.C. transgender law intensifies as lawmakers reconvene,1
U.S. mulls request by lawmakers to waive shipping limits on Puerto Rico,1
"Turkey, Iran, Iraq may meet to discuss Kurdish Iraqi referendum: Turkey PM",1
