speech,label
I eventually came to the conclusion that jews behave more like a criminal syndicate than any respectable religion .,1
Where do you see a hook nose ?,0
There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,1
Im on youtube trying to find it right now .,0
I 've taught her to question everything that they teach her .,0
I will find some way to get hold of this speech and make it public .,0
Or just say as You remember it and I 'll say if it 's correct .,0
They are way over represented compared to their ability .,0
Wasn't that when Steve and Bean got their heads cracked opened ?,0
Spent the night in a hotel in SLC as a matter of fact .,0
Ive got nothing against it but i prefer one .,0
Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .,1
It is the spiritual awakening as I says stupid !,0
"Clast, good luck in your search !",0
Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,1
Is it a competition on TV to get the most alien looking black and to put them with a white woman ?,0
Equals to white and future ally .,0
A good old bit of nostalgia from the days when there was hardly a blade of grass or a coon on the pitch .,1
I guess I would be destined for the gas chambers .,1
I plan to add a few more books today as well,0
Did anyone else see that Guinness Black Lager commercial ?,0
"I know we have to be polite , but come on , we do n't have to lie ...",0
That could be cool !,0
I found out this morning that junior school kids are n't allowed to sing Bar Bar Black sheep anymore because it 's racist and might offend the coloured kids so they are being told to sing Bar Bar randow sheep ! whats next we 'll not be allowed to sing god save the queen .,0
How do you feel about marriages between whites and racially mixed people ?,0
This film makes my soul ache seeing man 's inhumanity to man in live color .,0
Get off your arse and do it yourself.Hand out a few leaflets in some Irish town and show pictures i done it years ago in Dublin why cant you do it now ?,0
This is just some horny dumb kid .,0
"Her victim Wesley Mosier was shot multiple times in the chest , then she and her teen aged son got out and proceeded to kick him repeatedly until the police showed up http://www.courier-journal.com/artic ... g + motorcyclist",0
Form Letter to Send to German Government on Behalf of Ernst Zundel .,0
St. Pats football teams fans use the St. Patricks Cross aswell as it being the symbol for the IRU .,0
"Beautiful, I 'm so glad it went well .",0
May they all get mad cow disease .,1
MrBadgerSir,0
"I'm a cowboy , some what .",0
"Our schools are horrible , all they teach is telling kids to be liberal and respect people of all races and take no pride in your own .",0
Guns n Roses is not music .,0
I think they will figure it out when the ratings start to slide .,0
But get the eyes wide open and lets rock attitude ... most will back off and go away ..... been there with ya !,0
"Defeats the bloody object of having an ignore facility if one reads the thread , doh , Pray all you want my God wont count ' em",0
"I think the only connection homosexuality has to Christianity , in this country , is the large proportion of paedophiles being representatives of Christian churches .",1
What do you all think ?,0
Chicago passed New York as America 's murder capital in 2012 despite the Windy City only having a third of the Big Apple 's population .,0
"From your one time enemies , and now eternal allies , the English",0
I will have to try that and see how much force it adds !,0
"In all likelyhood , it 's jews painting the road of skank for her to follow .",1
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',1
You will find several compatriots there .,0
They bred with inferiors creating these mongrels,1
Does anyone have that video of black gang attacking a white teenagers in front of his house and then a black gang of females attack his mother for trying to protect her son .,0
"These high school curriculums are more about encouraging white girls to hate white males , not other males .",0
THEY ARE NOT ODD !!!!,0
I ca n't wait till the news starts promoting racial integration with the negro Too unsuspecting whites who do n't know she is not a white,0
"I guess in that case , I will just grow a big fro , and it 's no big deal .",0
"They are scum , they are traitors .",1
Hi guys I am thinking of going to Katowice at the weekend .,0
"Yes, you 've been talking that way aloud in the public for most of your life .",0
Of course it sucks that we will perhaps have a left winged government that will throw most of that money away on immigrants and aid to african countries,0
They decided to go on a road trip .,0
"Two employees and one customer told police two men , brandishing a long-barrel rifle , stole the cash drawer with an undisclosed amount of money and fled on foot .",0
His spirit will always be with us and we will always honor him as the man who led us out of the darkness so we will never get lost again as a people .,0
http://www.whitewire.net/index.php ? p = 82#more-82 Who says that Dr. Pierce did n't accurately predict the future in the Turner Diaries ?,0
18 times in the last 20 years 9 times in 130 years ....,0
In under 15 minutes the shooter is hitting the paper plate .,0
i agree. just for the simple fact that i grew up in orlando fl. it was a good place to live at one time. but not any more. the crime went up and is still on the rise .,0
Has it gone or can I just not find it ?,0
He is just telling the truth as usual the filthy jews need to clamp down as soon as possible .,1
Mostly gone .,0
Liberal is just the PC word for Rapist .,1
I think girls go to clubs to meet guys cause there are so many guys there it makes it easier to meet some one. atleast thats what i have been told. im not into the dancing they do .,0
BTW - I do n't recall seeing a Mars Bar in S.A ?,0
Thieves and liars always think you 're stealing and lying .,0
Great work Mjodr .,0
There are no excuses .,0
"Agree with the rest , the recent transfer window says everything , hundreds of millions spent on a few players .",0
I so hope that coon got life in jail or the death penaltyYou did and are doing the best you can nobody can ask for more .,1
To love ones people in these dark ages is considered a weakness to be exploited .,0
Zip it up into one big file and share it on Gnotella as a new movie .,0
just wanted to give this a bump up. we have had a few good people coming to our weekly get together and would like to encourage anyone else interested in meeting and networking with us here in Calgary to feel free to pm me .,0
Part 3 - Woman by anthropology showing how different and beautiful Europid woman are Ingeborga Dapkunaite - Baltic Elena Dementieva - East Nordid 　 Anna Kournikova - East Baltic Brigitte Bardot - Sub-Nordid,0
I posted this on SF a couple of years back .,0
Its a great piece of history to know .,0
"Some of the things I noticed were shop tailors dummies that were black , a couple of mud restaurants , and the germ of blacks being `` fashionable '' taking root .",1
One the Chinese get there teeth into a country that s it they take over .,1
"ImageShack ® - Online Photo and Video Hosting TinyPic - Free Image Hosting , Photo Sharing & Video Hosting Image hosting , free photo sharing & video sharing at Photobucket",0
They ca n't stand toe to toe with the white man so they just dance around until they 're tired .,1
Its gone full retard now .,0
"www.wheaton.edu Another 15 Execellent Schools : Baylor University 's College of Arts and Sciences , Waco , Texas Birmingham-Southern College , Birmingham , Ala. Bridgewater College , Bridgewater , Va. Columbia University , New York , N.Y. College of William and Mary , Williamsburg , Va. Davidson College , Davidson , N.C. Furman University , Greenville , S.C. Millsaps College , Jackson , Miss. Pepperdine University , Malibu , Calif. Rhodes College , Memphis , Tenn. St. Olaf 's College , Northfield , Minn. Samford University , Birmingham , Ala. Shimer College , Waukegan , Ill. Thomas More College of the Liberal Arts , Merrimack , N.H. Wake Forest University , Winston-Salem , N.C.",0
When do they ever learn !!!!,0
Man that sucks lol ...,0
My advice is go bulk up at a gym and take up a martial art so you do n't feel as intimidated by blacks as you currently do .,0
"If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .",1
The person who does that will also make history in his or her field .,0
"None of my relatives have brown eyes , obviously .",0
Black ``women''on London transport ...,1
There is not enough interest on either side for a re-unification to be attempted .,0
She had 7 other kids living in the apartment .,0
We will become a melting pot like our other sister countries in Europe .,0
http://prudentbear.com/index.php/com ... y ? art _ id = 10187,0
"God Bless you , Mr. Trump",0
"God 's own divine intervention , aided by Jewish money swindled from the goyim .",1
"I do n't think anyone is insinuating that we are equal to non whites , or that we would ignore white nations .",0
Every one stop making fun of other people 's pic 's were all a white family.By the way all you lady 's on here are looking fine to bad i 'm only 16 .,0
http://www.righttomarch.com/,0
I 'm very grateful for all help .,0
"DR Congo troops accused of rapes Government troops in the Democratic Republic of Congo carry out most of the rapes of civilians caught up in the war with rebel groups , a rights group says .",0
This is the main logo when you sign on to their website,0
Questions that enable people to learn are always welcomed .,0
Robbie is funny and I have no problems with him .,0
It 's a well built hard cover with nice thick pages if anyone is interested .,0
"Exactly, they want us to lay down and die .",1
Help keep this case alive,0
Sound like they are speaking another language in the back ground .,0
A good to start with one is Prodigal Genius written by John J. O' Neill .,0
The German men sound so sexy .,0
The amount of the Armenians chromosome haplotypes are closer to the England one .,0
She gets cussed every day .,0
"So far as I have seen , it has n't .",0
"In Eternal Combat with that Satanic Spirit - The physical incarnation , creation of the Demiurge : The Jews .",1
There is no greater reason to be joyous than that .,0
Watching those videos makes me feel like im going to explode with hatred for those creatures .,1
I will so so once I get to my camp .,0
i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs,1
I had an Ohhhh lightbulb moment .,0
"I ca n't find an actual picture of it anywhere , but there 's lots of references to it .",0
"I think character and social behavior are the most important , and having blond hair and blue eyes are not going to gaurantee these qualities .",0
"Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News",0
"All new posters are under moderation to start with , but this is lifted fairly quickly .",0
WELCOME ABOARD !,0
"I like husband in a decent pair of jeans , a well fitting shirt , and a pair of boots ...",0
It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr ... n-Jacob-ONeill,0
Absolutely.,0
Truly sad ...,0
"I would never homeschool my kids , or send them to public schools .",0
I have n't had any first hand knowledge of guns for nearly two decades .,0
"Playing with their scooters , bikes and other NOISY toys right outside our windows .",0
Yes most certainly now you need to recruit more of you friends an such to join Stormfront and help our movement !,0
I would hate to live in Dublin with all the foreigners there now .,1
Or better yet find another job then quit .,0
"You do not have to wait for this law to pass since already you would be expelled from your school for doing the above under some sort of hostile school environment clause , as you would at most places of work .",0
You have to check around to see what is avaialble in your area within your desired field of study .,0
I can honestly say that I have smoked weed and drank as a kid with many groups of WHITE guys and nothing like this EVER came close to happening !,0
But what do you say to the ivy who wants to become a tree ??,0
May the wigger sister and parents be haunted by her death for the rest of their lives as it is in effect by their hands and actions that their sister and daughter was murdered by this beast .,1
Will Obama Declare Martial Law Before 2016 ? : Freedom Outpost,0
"Yeah , it 's expensive .",0
"So you elevate that minority ever so slightly , and screw the rest .",0
Patience is a virtue you know .,0
I've always been partial to Lully and Rameau : Jean Baptiste Lully - L' Orchestre du Roi Soleil - YouTube Jean Philippe Rameau /// Orchestral Suites - YouTube,0
Burlington coat factory opening .,0
There are n't any towns down here that are as clean and well kept as Kalispell .,0
I 'm glad we were able to get back to NS in the NS thread .,0
"I remembered a really good one : Muenster , TX. - 95.7 % White - Zero negroids Muenster , Texas ( TX 76252 ) profile : population , maps , real estate , averages , homes , statistics , relocation , travel , jobs , hospitals , schools , crime , moving , houses , news This town figured out a name that would keep the blacks from moving in ; Cut and Shoot , Texas : 85.8 % White , Zero Negros .",0
I'm glad you realized it .,0
Please e-mail or IM me .,0
Are they playing old stuff or newer stuff more ?,0
"hi, I am a 20 year old female looking for someone to talk to and develope a relationshp .",0
Why is Ca the melting pot of America it is so hard to fine people that have the same views on our white race as i have ?,0
"The guy giving the beating could very possibly be a Hispanic , I would have to see a much clearer video before I 'd give him the honor of calling him White .",0
I'll ask you cuz you 're the fanboy I mean ' expert ' ...,0
Report : Nuclear weapon drivers sometimes got drunk - Yahoo !,0
"Please try to behave , all of you naughty children .",0
I havent been in Mayo in around three years but back then it was one of the last good Irish places left .,0
Great Halloween !,0
Though starvation is a horrible way to die .,0
That will narrow it down for most folk .,0
Guess where you fit in ?,0
The school did not cause my much trouble because it was elementary school .,0
"What, like blowing up old ladies and little kids ?",0
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,1
"Where can i find a complete list of anti black fliers. that have to do with black on white crimes , interracial babys , black drug dealers , etc etc .",1
WOW!,0
The rest of us Goyim : we have to break our backs making up the inflation difference .,0
Ignorance is when someone do n't know the truth .,0
"Yes but difference is that Putin is still in charge and Jews have to behave , while on other picture Jewess Albright is in charge and is there to give orders to Ukraine , so you ca n't really compare .",0
new to this site looking for pure females in or around princeton ky THE ONLY WAY TO SURVIVE IS TO GO FORTH AND MULTIPLY,0
"Apart from that , only a small number of SF members are placed on moderation from time to time .",0
Feel free to join !!,0
I have been looking for a site like this for 4 months now since I last found one with like 75 Eastern Front propaganda posters .,0
Check the stacks .,0
I hope all their farms burn down and their nappy headed children squandle in the flames .,1
That's because they do n't whore themselves out and end up looking like they 're forty at age 25 .,0
ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',1
"Yeah I downloaded them all just in case , have to wait until the all-in-one video gets posted again , seems the hews and their companies got to YT as usual and took it down ..",0
What I mean is that they overall were able to take all of it back as well as keep those colonies longer than the Italians .,0
Sergey Brin claims his family were victims of `` anti-semitism . '',0
This is another tool that you will need not that im a expert god knows I only have that ged to fall back on .,0
"This flier makes it easier for everyone to get behind our troops , by moving them out of Iraq , and to a location where they will be performing according to the U.S. Constitution .",0
Keep your eyes open at all times for fallen powerlines .,0
Non Whites hate White people plain and simple.They are taught from birth that White people are the cause of all the problems in the world and every bad thing that happens is because of evil racist White people .,0
"I am willing to attend , support and protect Mr. Taylor 's event and his freedom of speech anywhere close to Michigan",0
Just watched the first few minutes of the video and will finish when I wake up .,0
The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,1
"dancing Armenians , if sombody can find any non white Armenian , i bid i 'll eat yelow pages without cooking !",0
"Like its cousin in astrophysical waters the Crab Nebula supernova remnant , the Jellyfish Nebula is known to harbor a neutron star , the remnant of the collapsed stellar core .",0
London is f' ked .,0
"Yeah, Hell on earth .",0
Thank God this White warrior knew how to throw down .,0
Were Whites to leave in large numbers leaving few Whites behind in South Africa the country would start going down hill and then maybe more Whites would begin to see what losers Negros are and how they cannot even maintain what is given to them .,1
"This was n't just for Germans , Japanese and Italianos ......",0
It means `` muddy bay '' .,0
Skins have a reason to shave their heads see www.skinheadz.com As a normal white nationalist there is no reason for you to have your head shaved .,0
"I got the message you were trying to get across in your first post , I just felt like messing with you .",0
There is an active community here - you just need to get off the net to find it .,0
I wonder if she has stock in any of the popular manufacturers .,0
It 's about the preservation and protection of the white race regardless of culture .,0
There are plenty of blacks in catholic schools or were in our area .,0
I have n't seen music for this floating around but if you have the sheet music for piano I 'd be happy to get to work on a transcription for you if you can send me a pdf or something .,0
"Notice all the lovely Pakistani people celebrating , it warms the cockles of my heart - it really does .",0
"I also , left a comment Now , I need to wait and see if it gets approved .",0
Your all-white nation is a fraud .,0
Are you kidding me ?,0
"I'm trying to contact individuals interested in joining together and coordinating their efforts on a National/worldwide scale , the web site to go to for more info is Pro White Action Group click on the special events link for contact information .",0
"Some Communists , some Kurdish Nationalists and some German Anti-War people .",0
The bible is n't jewish .,0
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,1
I have a report somewhere called Allied Intrigue in the Low Countries and I seem to remember understanding a bit more .,0
We have lucked out for a change .,0
Certain individuals like to claim some form of ' moral high-ground ' in our racial fight to preserve the White race. irish republicans hidden jewish past .....,0
Piece of * * * * deserves to be shot .,1
Good memories .,0
I honestly hope that we dont directly involve ourselves anymore .,0
I have been trying to find a job but the mexicans take everything we had .,1
"Yes, it 's time to imagine that .",0
The black candidates proudly show their picture .,0
Do you not think all the talk about Russians should be put on a thread of that theme ?,0
"In Sweden most people receives SVT 1 , SVT 2 , TV 3 , TV 4 , Kanal 5 and ZTV SVT 1 and SVT 2 are state owned and mostly show socialistic propaganda .",0
It worked for the one lesson she was there anyway .,0
I hate the term black in reference to the Niggardly kind .,0
Why punish him for not being good at math when you could use the football field as one of the tools to help improve his math skills ?,0
I have a suggestion for distribution of your collection .,0
Was .,0
"Good for you , that is not usually what happens and has nothing to do in the modern age regarding 14 year old girls",0
Teachers care less and tend to chalk it up to rebellion .,0
You may want to read more about it .,0
i have never been noticed in a crowd for my tattoos.i have never seen anyone walking in a crowd just looking and concentrating on people with tattoos .,0
Children of 8 are ' racist ' if they miss Islam trip : School 's threatening letter to parents is met with outrage | Mail Online,0
"I do n't have much to add that have n't been said , but I would like to say welcome GarmGormius !",0
Try here Amazon.com.,0
yes there 's many of us in the Chicago area .,0
"This is the false front which jews present to the world , but jews are quite varied in their opinions and beliefs .",1
Thank you to whoever set up this site and to you for linking it !,0
The word Jews was not even in old text Bibles .,0
I repped yez but must spread it around before ...,0
So contributing and participating in any way to opportunities to instill pride in White ethnic heritage and even White American ethnic heritage will go a long way in helping them recognize what is being taken away .,0
"sounds just like leicester mate ... still what about our porr comrades that live in brighton , when there look out there window , there see the sight of 50 thousand queers there all strtting there * * * * on the street",1
haha I was thinking the same thing !,0
There are some women who are strong willed women and yet remain good mothers and wives .,0
"Playing lightly on or over a surface ; flickering ; as , `` a lambent flame ; lambent shadows . '' 2 .",0
put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,1
You are exactly right .,0
"They instead decide by convenience , low risk , and unenlightened self-interest .",1
"If yes , I think you are doing your people a huge disservice .",0
The Jew represents the snake .,1
I find that they dont share my views as some other buddies of mine would when it comes to White History and power .,0
in the ' raid ' of Hamburg phosphor bombs were used .,0
Surprised it came back so fast ...,0
I'm heading down to DC to put a sign on the White House gates that will read : ' No savage negro BEASTS in the White House ! ',1
"I also have been talking to a person from Denmark , and I learned about gingerbread , dancing around the tree , and the various customs of Jul ( Dinner , place presents under the tree , desert , dance around tree , open presents ) .",0
So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,1
"Frontline : The Confessions FRONTLINE `` The Confessions '' | Sneak Peek 1 : Recording a Confession | PBS - YouTube FRONTLINE `` The Confessions '' | Sneak Peek 2 : Finding a Lawyer | PBS - YouTube In `` The Confessions , '' FRONTLINE producer Ofra Bikel investigates the conviction of four Navy sailors for the rape and murder of a Norfolk , Va. , woman in 1997 .",0
I had never even heard of Stormfront until the night I found it and joined .,0
Are they talking about the African women with huge lip plates ?,0
"To all white patriots , watch ENDGAME ALEX JONES , OR ENDGAME from PRISON PLANET , and learn the agenda from the criminals Jewish bankers .",1
I guess 3 times is the magic number .. then they think they get their asses handed to them .. same with bloody Mary also .,0
I go to the museum every time I visit the city just to see this painting .,0
Wow ..,0
We have to learn to appreciate diversity .,0
I am looking for WN specific Home School material ?,0
Zdrowie !,0
The media want 's to promote a pro Multi ~ Culti Ireland and not all the disaster that it has caused in Ireland,0
My son ever comes home with something like that and you can bet I 'll have something to say about it .,0
But in The Bible there is no verses that prohibit inter-racial relationships or mixed race children is there ?,0
"Explain to them this is wrong. send mass emails explaining the science behind it , and tell everyone not to breed with them .",1
Some of the first symbols used to portray the sun god is a circle with a cross inside .,0
The London Forum is a great YouTube channel .,0
I'm not wasting my time watching that .,0
"Well, maybe they 're slowly working their way to destroying Eastern Europe .",1
So good to see new people every Friday night .,0
"The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .",1
Just saw this one in Palm Springs ....,0
"Prostitution and drug is getting everywhere , dealers are from Senegal , Guinea , Nigeria , dirty prostitutes are fom Cameroun .",1
Tch tch tch .... !!!,0
This is your claim and yours alone ; take it to yourself .,0
"Me thinks Genesis is a negro who thinks he 's from the line of Adam.A troll , confused , black and prowling Stormfront.So make the Revelation Genesis - what are you really up to ?",1
Three weeks in a house and no one knew he was dead what a sad indictement of modern England .,0
People in my circle of acquaintances are a bit obsessed with IQ .,0
"Here are the only ones I have ever seen Taras.Bulba. [ 1962 ] - YouTube Wow , there is a re-make of Taras Bulba .",0
well there is a little history for this post so listen up if you dont mind. there was a group in this city called the 311 boys supposedly they were a racist bunch of kids but i never thought they were but through the newspaper and manipulation of sotries they were labled as racist. well my views arnt that well known at school but some do know and ive been labled a `` 311 '' boy. a group of about 10 or so blacks approached me before school. now im not some little guy im a decent build and really have no fear of anyone or anything at this point in my life. well anyway they came up to me and started asking me if i was 311 if i was a racist and all this crap. i denied mostly for my own safety at the time. well i talked to some people who asked me who i thoguht were friends but it turns out they werent. they went right around and told them some of my views and now they came up to me at lunch today and pushed me around a little i stood up to them and got up in their faces but finally a hall monitor came and broke it up. im just wondering whats going to happen in the next few days since im the only WP kid in my school and am standing alone on this issue. just decided to post this bit of information for you wall to read keep safe and keep smart .,0
"New York Brownstones , designed by European Whites .",0
Lots of whites recover from a case of jungle fever to find that they 've done irreparable damage to their lives .,0
We have a National party in Canada they are just not that recognized yet. check out Nationalist Party of Canada and support !,0
I took a race and ethnicity class at the college I went to .,0
But you are most welcome anyway Ugric _ Warspirit .,0
"Raising 1 healthy , racially aware child is worth more than all the libtard and mud children in the world .",1
That would n't be nice .,0
"I live in Georgia , namely the metro-Atlanta area so naturally im surrounded by monkeys .",0
Now that is good news as I frequently heard amongst my people that they will only stand together and fight once they have lost everything .,0
Adopt their musical style and hand gestures and you poison your own soul .,1
You picked a poor time to start such a thread seeing as how just this week the IRA were categorically cleared of all paramilitary/terrorist/illegal activity .,0
A mud is a mud is a mud that 's all there is to it .,1
It 's embarassing .,0
I 'm supper happy ur at my school IM NOT ALONE,0
"This morning I found a video that was quite interesting , as it demonstrated how this question frequently comes up even after serious crimes .",0
14/88,0
I'm an adult in my late 30s .,0
Robert,0
"Waiting to buy a new product is almost always a good idea , let someone else experiment .",0
"If you want to hear what a black `` intellectual '' ( lol ) sounds like , check out the woman in this video trying to debate Dr. William Shockley .",1
Rüütel spoke of how hard the times had been at the time of the decloration of independance .,0
I think there are some great Country and Western songs about or related to driving trucks .,0
How can they do well at anything that requires logic when they are required to accept that A and B are equal ?,0
I said drugs mess up babies that grow up and ruin society for everyone else .,0
Though they are trying to pass open carry of a handgun .,0
"Click to enlarge , then save to desktop to use ! cb punet square1.PNG cbr punet square1.PNG ca punet square1.PNG I made these a few days ago and was using them on Craig 's List in Europe .",0
"That is correct , White men with guns built America , and it will likely take White men with guns to take it back .",0
DO you guys still attend school or how old r ya ? just want to put it into perspective since i am the only one who dresses like a skin at my school ... i think,0
The essay itself is chock full o ' helpful hints on info distribution .,0
"I assume you went to the High Caliber gun show in Houston , I usually go when they are in Conroe and I know the feeling the last two or three times I did n't get much or see anything that really caught my eye .",0
The treatment of ethnic Germans in both the east and west after the German surrender is the real genocide that no one wants to talk about .,0
"At the resturant , the Pres. of Hamms orders a Hamms , the Pres. of Schlitz orders a Schlitz , the Pres. of Budweiser orders a Bud , and the Pres. of Guiness orders a cup of tea .",0
White people - report immediately to Californian University for `` re-education '' .,0
"Just wondering , hope they take that slogan all the way back to Africa .",0
For God 's sake nobody cares about this childish personal crap .,0
I was so shocked to see all those blacks when i moved to Holland : S,1
Maybe they will be resettled deliberately as refugees or maybe they will come for the women like the chinese men are doing .,1
Dare to speak out in a country with supposed free speech and you 're labelled a bigot !,0
I dont like reporting people but the last thing I will do is tolerate some stupid pig who claims Hungarians are Tatars .,0
Can you imagine the hell this young girl went through and for how long .,0
The only reason Whites were successful was because we took those things from other cultures and races ?,0
Stupid White Man makes vacation get away in living room .,0
"We need more of our kids on the honor role and in college , crowding out the non-W 's !",1
"Every f * cking school child knows that the Globe is round , only total PIZDAS do n't .",1
I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,0
"There are southern theories for the origins of the Slavs , you know .",0
"To me , the definition of a WN peace maker is a White person who uses political will and psyhical expression to defend and create the survival and existence of the White race .",0
If you had your way their would be no whites to pay taxes so the blacks could collect welfare and as they have proved in Africa they are incapable of feeding themselves,1
".457 round ball over an Ox Yoke Wonder Wad , over a 30gr Pyrodex pistol pellet , which is over 5-25 grains by volume of FFFg equivalent 777 ... fired by a #10 Remington Magnum percussion cap .",0
More expansive testing and kids .,0
If English/Scottish/wherever fans refused to turn up to watch teams of coloreds representing them on the pitch things would change .,0
https : //www.stormfront.org/forum/show ... li-525314.html According the Sweden research. the report clearly show it in figures .,0
No Jew has ever found a way to force a big black females to parrot Marxist propaganda the way that little dumb liberal anti-whites will .,1
"Welcome, but please do make an effort to use proper English when posting , rather than mobile phone text messaging style .",0
I dont see how people can ignore this issue much longer .,0
"The Savage Mark ll is affordable , accurate , and comes with the adjustable Accutrigger .",0
"I want to see Whites bused in there until the Latinos are a 30 % minority and not outnumbering the Asians , Blacks and Whites .",0
He has won many awards and has been featured in Tatto magazine .,0
If you want to start doing something productive for your race you can start by posting Mantra .,0
It happened in Taco Bell once and I just grinned at him and he turned away .,0
The churches in my city are full of liberal school teachers .,0
"i have been using Firefox for about 6 months now. ive never looked back , IE is so slow when compared to FF",0
I 'm too close to the left coast .,0
I'm pretty sure the average black is stronger then those white men that date asians or the ones who let their wives take control of the household .,0
Just be patient and go slow .,0
Switzerland pay 700 millions $ each year for refugees !!!,0
"See, South Africa is just a glimpe into OUR future , as the beasts of Memphis run it directly into the ground .",1
I hope the mods kill this thread .,0
man i always have a hard time when ever i try to make a website too much stuff to do i get confused well anyway id really like to see that website whenever you get finished with it Heil Hitler,0
I would probably be French instead of American .,0
Brampton is a run down place now that I would n't live in even if you paid me .,0
"I told my daughter if I saw one photo like that on her Facebook page , I 'd let her brother hack her account , then photoshop it at will .",0
There is no good in reasoning a bitch that is hungry for a dick.Forget her and let her perish in shame after negroid kicks her after a few tries .,1
"Best Wishes , John Londen .",0
Powerful video that shows how primitive these beasts are .,1
Aragorn,0
He and Roosevelt deserve to die a thousand deaths .,0
"This story could came from the very twisted news of the first days , when hostages were taken .",0
Dumb goyim are a good revenue source .,0
