article,truthfulness
 Senate Democrats FORCE GOP To Reveal How They’ll F*CK Americans Over During Midnight Vote,fake
ICELAND PROUDLY CLAIMS TO HAVE “ERADICATED” Down Syndrome…In Most Gruesome Way Imaginable,fake
 Saturday Night Live Takes On GOP Cowardice In Stunningly Accurate Faux Movie Trailer (VIDEO),fake
“GOOD-BYE SWEDEN”: How Muslim Violence…Porous Borders And Horrible Health Care Drove Swedish Blogger To U.S.A.,fake
"CONFUSED PROTESTERS Swarm Outside Trump NYC Fundraiser: ‘Tax the Rich, Not Working People’",fake
 The GOP Just Revealed What They REALLY Think About ‘National Security’,fake
" Elizabeth Warren Calls Trump A ‘Two-Bit Dictator,’ Slams His RNC Speech",fake
 Samantha Bee Broadcasts American Atheists Trolling CPAC And It Is GLORIOUS (VIDEO),fake
 Texas Gun Nuts Want ‘A Clear Shot’ At President Obama During Event (IMAGES),fake
"CATHOLICS SHOULD BE Singing Donald Trump’s Praises After He Boldly Defended Life, While Hillary Was Forced To Admit Support For Barbaric Partial-Birth Abortion",fake
VANISHED: ‘Hero Security Guard’ and Star Witness of Las Vegas Shooting is Missing,fake
WOW! WHAT JOHN KASICH Just Asked Cruz And Trump To Do Proves He’s Got An Ego The Size Of Texas,fake
 Trump Humiliated As DACA Decision Practically Kills His Presidency (DETAILS),fake
 The Internet Perfectly HUMILIATES Racist Breitbart For Boycotting Kellogg’s,fake
“THE WAR ON COAL IS OVER”…First New Coal Mine Of Trump Presidency Opens In Pennsylvania…Another Promise Kept [VIDEO],fake
DEMOCRATS ARE AFRAID That Trump Will Beat Hillary…And Here’s The Proof [VIDEO],fake
 Trump COMPLETELY Destroys His Promise To End Corruption On Wall Street (VIDEO),fake
WATCH: TREY GOWDY FURIOUS OVER LAWLESS Loretta Lynch During Clinton Email Hearing: “It was a total WASTE of time…The facts are embarrassing for her presidential candidate [Hillary]”,fake
"Turkey, Iran, Iraq may meet to discuss Kurdish Iraqi referendum: Turkey PM",real
DRAIN OBAMA’S RADICAL SWAMP! Rep Chaffetz Calls Out OBAMA APPOINTED Fed Gov Ethics Director Over UNETHICAL Public Criticisms Of Trump,fake
China's probes of rights lawyers 'alarming': Human Rights Watch,real
Oregon Governor Says Feds ‘Must Act’ Against Protesters and Armed Groups in Burns,fake
WATCH: CNN HOST GETS SCHOOLED By Guest After Comparing Oregon Protesters To #BlackLivesMatter Terrorists,fake
 WATCH: This Irish Senator BLASTS His Government For Playing Nice With Fascist Trump,fake
(VIDEO) PATRIOTS DEMAND REMOVAL OF COMMUNIST FLAG,fake
 It’s Mueller Time!: Russia Probe Just Got Worse For Trump And It’s Going To Hurt,fake
 Sarah Palin: My Husband Nearly Dying Made Me Realize How Important It Was To Elect Trump (VIDEO),fake
BAD NEWS FOR HILLARY: CNN Says “Millennials Are More Conservative Than You May Think”,fake
LET THEM EAT CAKE: Obama Dines In Parisian Splendor At ‘Working Dinner’ [Video],fake
Indian police arrest Christian priest after complaint by Hindu group,real
PELOSI JUST FLUNKED CONSTITUTIONAL LAW: ‘You Can’t Cry Wolf in a Crowded Theater’ [Video],fake
 Bombshell Reports Confirm What We Already Believed About MSNBC’s Joe And Mika (DETAILS),fake
Trump says Russia hurting U.S. efforts on North Korea nuclear issue,real
Charlottesville and the Problem of Left & Right Identity Politics in America,fake
15 SURPRISING FACTS About The White House Easter Egg Roll,fake
Justice Department names new acting head of drug enforcement agency,real
Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama,real
 Billionaire Mogul Steve Cohen Pledges Nearly $300 Million To Give Veterans Free Healthcare,fake
HACKING DEMOCRACY? CIA Accusing Russia of Doing What Langley Does So Well,fake
LOCAL REPORTER IN DEEP BLUE STATE Stuns Liberals When He Goes Rogue…Tells Truth About Guns [VIDEO],fake
 A Reminder Of How Much The NRA Has Spent On Trump In Wake Of ANOTHER Mass Shooting,fake
 Racists Go CRAZY after Samuel L Jackson Trashes Trump On Jimmy Kimmel Live (VIDEO),fake
WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims,fake
BOOM! MEXICAN AMERICAN TRUMP Supporter Explains Difference Between ILLEGAL And LEGAL Citizens: “She (Hillary) Is A Criminal” [VIDEO],fake
 This Really Happened: Fox Interrupted Trump To Criticize Him And Praised Obama,fake
 Trump Just Proved He Has The Foreign Diplomacy Skills Of A Whiny Child,fake
WATCH OUT RINOS AND DEMOCRATS! The 7 Senate Seats Most Likely to Flip,fake
WATCH: DIAMOND AND SILK Rip On John Kerry Over Israel Comments (VIDEO),fake
 Bernie Was Asked To Say One Nice Thing About Trump And Cruz – His Response Is Hilarious (IMAGE/VIDEO),fake
LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…”,fake
"Only five ministers, attorney general turn up for Zimbabwe cabinet meeting: sources",real
 Racists’ Heads Will Explode When They Find Out White-On-White Crime Is Higher,fake
 WATCH: Democrats Release Video PERFECTLY Highlighting Hypocrisy Of Trump’s Appointments,fake
 Donald Trump Learned A New Word And It Should Give You Chills (VIDEO),fake
DEVASTATING 30 SECOND Commercial Shows Scary Truth About TARGET’S Dangerous Open Door Bathroom Policy [VIDEO],fake
" Hillary Talks Taco Trucks, SHREDS Trump, And The Crowd Goes WILD (VIDEO)",fake
 The New GOP Healthcare Bill Targets Women And Plans To Defund Planned Parenthood,fake
 Anti-Porn GOP Florida Lawmaker Was Just Caught Porning On Twitter,fake
"Turkey urges Iraqi Kurds to drop referendum, cites sanctions",real
WHY IS JILL STEIN Demanding A Recount? Is Hillary Camp Using Her In Desperate Effort To Stop Trump?…”Is Hillary Clinton Willing To Risk A Civil War In America?” [VIDEO],fake
 The NFL Puts Trump In A VERY Awkward Position Over His Whining About The Debate Schedule,fake
 Republican Mailer Threatens To Out Voters To Neighbors If They Vote Democrat,fake
 Seth MacFarlane Just Told Johnson And Stein Supporters EXACTLY What They Need To Hear (TWEET),fake
Graft probe into Mexico president's ally poses tricky challenge ahead of elections,real
House Democratic leader Pelosi backs Clinton for president,real
" New Poll Shows How Batsh** CRAZY Trump Fans Are, Gives Them A BRUTAL Reality Check (IMAGES)",fake
Pennsylvania $2 bln budget gap is 'time bomb': governor,real
5-Star Mooch and Free-Loading Granny Drop In For Lunch In New York On The Taxpayer’s Dime…,fake
NATIONAL ARCHIVES MISSING Massive Data From Clinton White House Records,fake
 Bill Maher Has A DIRE Election Message The Whole Country Should Listen To (VIDEO),fake
 Bombshell Report Shows GOP Presidential Campaign A Complete DISASTER In Multiple States,fake
 Asian American Organizations RAIN HELL Upon Fox News For Racist Chinatown Segment,fake
Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman,real
 One Person On Hillary’s Shortlist For VP Was Just Removed From DNC Speaker Schedule,fake
 Why A Wall Street Investor Endorsed Senator Bernie Sanders,fake
"RIP PROUD PATRIOT: MARINE Dies After Delivering Powerful Message To President Trump, Mike Pence, General Mattis: “Give ‘Em Hell…Semper Fi…God Bless” [VIDEO]",fake
THROWING GAS ON RACIAL FIRE? VA Police Confirm….Governor Terry McAuliffe LIED About Weapons Being Hid Around Charlottesville By White Nationalists,fake
" The Senate Banking Committee Held An Equifax Hearing, And The Monopoly Man Showed Up",fake
"UNREAL! REPUBLICAN SENATE CONFIRMS ERIC HOLDER IN A SKIRT: ANTI-GUN, PRO-ILLEGAL, RADICAL RACIST WHO BELIEVES IN THE MURDER OF ABORTED BABIES BORN ALIVE",fake
TRIGGERED! FORMER CIA AGENT: ‘Trey Gowdy Ought to Have His A** Kicked’ [Video],fake
 Trump Explodes At Smiling Protester: ‘I’d Like To Punch Him In The Face’ (VIDEO),fake
MONTEL WILLIAMS Says Oregon Patriots Are “Undereducated Terrorist Buffoons” And National Guard Should “Shoot To Kill” Them,fake
THE YOUNG GIRL THE CLINTONS DESTROYED…Monica Lewinsky: “I’m Probably The Only 41 Year Old Who Doesn’t Want To Be 22 Again”,fake
HILLARY’S LAP DOG VA Senator Tim Kaine Calls For VIOLENCE In The Streets To COMBAT TRUMP [VIDEO],fake
"Trump, China's Xi to meet April 6-7 in Florida: source",real
BILL O’REILLY ASKS TRUMP “Racist” Question That Has Many Outraged…Was Bill Out-Of-Bounds This Time? [VIDEO],fake
"Myanmar forces may be guilty of genocide against Rohingya, U.N. says",real
POLICE IN GERMANY BEGIN RAIDS On Homes Of Facebook Users Who Post “Hate Speech” Against Refugees,fake
 Here’s The Ted Cruz Ad Starring An Adult Film Star He Doesn’t Want You To See (VIDEO),fake
 Iowa Legislator Leaves Republican Party Over Trump’s Racism,fake
FOOTBALL LEGEND JIM KELLY: “Donald Trump took care of my whole family” during cancer scare [Video],fake
TRUMP HATER GEORGE RAMOS Promotes Movie Showing Illegal Aliens Being Shot At Border By Drunk Vigilante…Blames Trump [VIDEO],fake
TARGET CAVES AFTER CUSTOMERS BOYCOTT Of Transgender Bathroom Policy Takes Toll Bottom Line,fake
One dead after light aircraft collides on Caernarfon runway,real
WINNING! GEORGE SOROS Group Gets Black Eye When Hannity Advertiser Comes Back After Allegedly Pulling Ads Over Seth Rich Story,fake
"BOOM! TED CRUZ, DESANTIS PUSH For Term Limits: “It is well past time to put an end to the cronyism and deceit…”",fake
 Lifetime Republican Voter Thanks President Obama For Saving His Life With Obamacare,fake
FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops,fake
 Republicans Just Changed The Rules To Force Through Trump’s Controversial Nominees,fake
HEAD GAMES: Technology With The Potential To Shape Reality,fake
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,real
"Chinese state tabloid warns Trump, end one China policy and China will take revenge",real
OBAMA’S ORGANIZED RACE WAR EXPOSED AS PROTESTORS REVEAL PROOF OF PAYMENT,fake
Ryan says expects legislation to replace Obamacare this year,real
JUDGE NAPOLITANO On Reckless Hillary’s Emails: She Could Be Responsible For Deaths Of CIA And FBI Agents [VIDEO],fake
 WATCH: Conservative Activist Openly Declares That Contraception Should Be Illegal,fake
WHOA! IS GEORGE SOROS Secretly Funding Jill Stein’s [Hillary’s] Recount Effort To Steal The Presidency From Trump?,fake
BREAKING: PROTESTER JUMPS ON STAGE…Grabs Trump…Secret Service REACTS…Trump Reaction Is PRICELESS [Video],fake
BREAKING NEWS: Susan Rice ADMITS To Unmasking “US Persons” During Interview With MSNBC Media Ally Andrea Mitchell [VIDEO],fake
"Sudan general, nine soldiers killed in Darfur clashes: SUNA",real
Twitter Gold: Trump Announces Hysterical Nickname for Kim Jong un [Video],fake
The “ISLAMIC RAPE OF EUROPE”…One Nation Is Fighting Back In Most Politically Incorrect Way,fake
Most Americans want Obama to nominate Scalia's replacement: Reuters/Ipsos,real
" Trump Decides To Gut United Nations Funding By 50 Percent, Embarrassing And Endangering America On The World Stage",fake
ADMINISTRATORS FACE BACKLASH After Florida Middle School Organizes Segregated Field Trip For Blacks Only,fake
 Sean Hannity Loses His Sh*t After Getting His Ass Handed To Him By New York Times Writers,fake
FORD CEO Tells Trump They’ll Move Forward With Plans To Open $2.5 Billion Plant In Mexico…And Here’s Why [VIDEO],fake
CONSERVATIVES FIGHT BACK Against Proposed “Obamacare Lite”…DEMAND Full Repeal Of Obamacare,fake
Russian warships dock in Philippines as Manila cultivates new ties,real
TWISTED LIBERAL KINDERGARTEN Teacher Allows Transgender Student To “REVEAL” Her “TRUE GENDER” To Class,fake
[VIDEO] HOW POLITICAL CORRECTNESS Will Be The Cause Of Death For Europe…Will We Allow America To Be Next?,fake
UNREAL! CBS’S TED KOPPEL Tells Sean Hannity He’s “Bad for America” [Video],fake
WHOA! DNC Releases Statement Suggesting Dallas Sniper And Black Lives Matter Protesters Are Linked,fake
JUST IN: Benghazi Attack Organizer On Way To U.S. After Being Captured In Libya In President Trump Approved Special Ops Mission,fake
 Trump’s Newest Foreign Policy Advisor Is One Of The Dumbest People To Ever Serve In Congress,fake
PERFECT! President Trump Is Laughing Hysterically In HILARIOUS New Video Featuring CNN Logo As Jim Carrey In “LIAR LIAR” Movie,fake
BREAKING: Mexico’s President Cancels Visit With Trump Over Defending Our US Border From Lawbreakers…But Wrongfully Imprisoning US Marine Tahmooressi For “Border Violation” Was No Big Deal,fake
 David Letterman Calls For ‘Damaged’ Donald Trump To Get A Psychological Exam,fake
U.S. nuclear arsenal to cost $1.2 trillion over next 30 years: CBO,real
" Sean Spicer Baffles Reporters, Claims Trump Isn’t Responsible For Hiring Flynn (VIDEO)",fake
 Trump Threw Mar-A-Lago Fundraiser For Woman At The Center Of Bribery Scandal,fake
 This Newspaper Is Filing A Lawsuit Against A Republican Lawmaker For Calling Them ‘Fake News’,fake
" Here’s The List Of Items Trump Banned From Inauguration, Including Guns",fake
 Donald Trump Jr. Throws Massive Hissy Fit Over Johnny Depp’s Bad Joke,fake
 Americans Once Elected A President After He Was Accused Of Raping A 13-Year-Old Girl,fake
MIKE HUCKABEE SCORCHES THE PRESS: “Grow up!…Start acting like journalists” [Video],fake
"Danish PM's party dealt blow at local election, Social Democrats gain",real
MUST SEE: House Oversight Committee Releases Most Damning Video Of Hillary’s Lies To Date,fake
Obama unveils wage insurance plan to spur job seekers,real
FAMILY OF S.C. SHOOTING VICTIM HAS A MESSAGE FOR AL SHARPTON And He’s Not Gonna Like It…,fake
Michigan governor expects no charges over Flint crisis: newspaper,real
VIOLENT ENVIRONMENTAL LUNATICS Cost Taxpayers MILLIONS To Protect Trump’s EPA Director After Receiving “Unprecedented” Number of Credible Death Threats,fake
BOOM! TX Governor Will CUT FUNDING To County Where Sheriff Of Sanctuary City Refuses To Cooperate With Feds [VIDEO],fake
"[VIDEO] OBAMA TELLS HOMETOWN KENYANS: “I’m A Pretty Good President, And If I Ran For A Third Term, I Could Win”",fake
ANTI-HILLARY POSTERS POP UP All Over Hollywood…Great timing!,fake
ABSOLUTE SUBMISSION: Trump Bows to Neocon Orthodoxy,fake
HOMELAND SECURITY: ISIS Has Already Tried To Exploit Refugee Program To Enter U.S. [Video],fake
" BREAKING: Shooter Targets Congressional Republicans At Baseball Practice, Steve Scalise Shot",fake
CHARLES BARKLEY Says Anyone Who Criticizes Obama Is A Racist…Gay Rights More Important Than Religious Freedom In America [VIDEO],fake
HILLARY’S NEW AMERICA: Uniformed Police Officers NOT ALLOWED On DNC Floor [VIDEO],fake
WHOA! RUSH LIMBAUGH RIPS Into Republicans Who Don’t Support Trump [Audio],fake
" Trump To Gut Coast Guard, Airport Security, And FEMA To Fund Useless Border Wall",fake
JUDGE JEANINE HAMMERS OBAMA: “There’s a hero in Washington and you need to let him do his job!” [Video],fake
#YouveBeenTrumped…Journalist Who Tried To Nail Donald Trump Jr. On Russia Story For Over A Year Has Full-Scale Meltdown After Trump Jr. Releases Emails On Twitter,fake
OBAMA Is GIVING YOUR Money To Illegal Aliens To Start Businesses…You Won’t Believe Where Those Businesses Are Located [VIDEO],fake
Israel says it foiled planned ISIS-inspired attack at Jerusalem holy site,real
"DONALD TRUMP JR., JUST HUMILIATED Michael Moore In Front Of Millions On Social Media…And It Was SPECTACULAR!",fake
 Hillary SHUTS DOWN Trump Supporters Calling Her Husband A Rapist At Rally (VIDEO),fake
"WOW! DEM STRATEGIST Bob Beckel Says Wikileaks Founder Should Be Assassinated:”I’m not for the death penalty, so illegally shoot the son-of-a-b*tch!”",fake
 Here You Go: Every Bat Sh*t Crazy Thing That Came Out Of Trump’s Mouth In The First Debate,fake
WHY WAS Mandalay Bay Security Guard Caught By Border Agents Crossing Into US From Mexico Only Days After Massacre?,fake
"Charlottesville schools, parents address children's fears after violence",real
(VIDEO) WATCH WHAT HAPPENS WHEN A FOX REPORTER CONFRONTS THE ENTIRE SAN FRANCISCO BOARD OF SUPERVISORS ON MURDER OF KATE STEINLE,fake
 Hawaii Does What Republicans Won’t And Reduces The NRA To Wetting Themselves In Fear,fake
ABC NEWS Gets DESTROYED On Twitter For Waiting Several Hours To Admit They Got Major Detail In Flynn Story Wrong…#FakeNewsABC,fake
TAKE OUR POLL: Who Do You Think President Trump Should Pick To Replace James Comey?,fake
 Brace Yourself For 74 Percent Higher Health Care Premiums Under New Bill,fake
GREAT! PRO-COAL OKLAHOMA AG Tapped For Head Of EPA,fake
" Democrats Introduce Legislation To Probe Russian Voting Hacks, Trump PISSED",fake
THE LIST of 34 House Republicans DEMANDING Permanent AMNESTY For Obama’s DACA “Kids”,fake
(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,fake
KELLYANNE CONWAY Slaps Down Rabid CNN Host Chris Cuomo: “Aren’t you the least bit embarrassed that you now talk about Russia more than you talk about America?” [VIDEO],fake
 This 19 Second Video Of Trump Shows Why Democrats Should Not Support Israel (VIDEO),fake
"FARRAKHAN DEVOTEE, COP HATER AND RAPPER, ‘KILLER MIKE’ To Speak At SOLD OUT Event At Prestigious MIT University",fake
 Bystander Uses Baseball Bat To Stop Man From Crushing Toddler’s Head ‘For God’ (VIDEO),fake
POCAHONTAS CALLS Trump’s Comments To Dem Senator Gillibrand “Slut-Shaming”…So Why Didn’t She Call Trump’s Comments About Romney During The Campaign “Slut-Shaming”? [VIDEO],fake
What is The Deep State?,fake
STUNNER: Donald Trump is Next President of United States,fake
WATCH HILLARY SQUIRM When Mainstream Media Asks If She Plans To Watch “13 Hours” Movie,fake
 The Internet Rips Trump Adviser’s Face Off After Saying Sean Spicer Is Always ‘100 Percent Correct’,fake
WATCH NEWT GINGRICH Skewer MSNBC Anchor On Obama’s Race War: “Pathetic” [Video],fake
" As ‘Me Too’ Posts Flood Social Media, Video Surfaces Of Trump Bragging About Hiring A ‘HOT’ Teenager",fake
 Sanders Fans Break Fundraising Site After NH Primary Win (VIDEO/TWEETS),fake
" We Found The ONE Beautiful Thing About Trump’s Inauguration, And It’s Going To DESTROY Him (DETAILS)",fake
WATCH PRICELESS EXCHANGE Between Neil Gorsuch and Ben Sasse On The Role of The Declaration of Independence [Video],fake
CONGRESSMAN: Bitter Liberals Stalling Wisconsin Count To Steal Electoral Votes From Trump [Video],fake
 Obama Shows How He’s Going To Destroy Trump This Fall And It’s Hilarious,fake
Puerto Rico governor cites 'sharp contrast' with island's overseers,real
Illinois House Democrats advance FY 2017 budget amid veto threat,real
 Why Conservatives Should Stop Whining About President Obama Skipping Nancy Reagan’s Funeral,fake
UPDATE: JUDGE REJECTS STATE DEPARTMENT PUSH FOR JANUARY 2016 RELEASE OF CLINTON E-MAILS,fake
 Golf Addicted 70-Year-Old Man Says He ‘Couldn’t Care Less About Golf’,fake
VP MIKE PENCE Stops For BBQ Before Super Bowl…Crowd Gives Him A HUGE Cheer At Game [Video],fake
BREAKING: Devin Nunes Makes HUGE announcement About Clinton #UraniumOneDeal [Video],fake
NON-PROFIT VIOLENT Berkeley BAMN Leader Surprised When Tables Are Turned On Him During Interview [VIDEO],fake
"FOUR-TIME DEPORTED ILLEGAL ALIEN Gang Member Sexually Assaults 2-Yr Old Girl In Front Of 4-Yr Old Brother…Violently Stabs Mother, Another Woman",fake
ESTABLISHMENT GOP END TIMES? Why Republican Candidates Are Kicking RNC To Curb,fake
WHY HILLARY LOVES The Idea Of Barack Obama As Supreme Court Justice,fake
U.S. list of NAFTA goals 'not earth-shattering': Canada source,real
WHOA! DID OPRAH JUST THROW Her Hat In The Ring To Challenge Donald Trump In 2020?,fake
Young blacks more open to Bernie Sanders' White House bid,real
 Today Is The One-Year Anniversary Of Walter Scott’s Murder By Cop (VIDEO),fake
 Trump Spokeswoman HUMILIATES Herself While Trying To Make Democrats Look Stupid (TWEETS),fake
 Ivanka Trump’s Rabbi Decides Not Speak At RNC For A Very Good Reason,fake
 Dem Senator ‘Increasingly Concerned’ Trump Will Fire Mueller And Rosenstein To Stop Russia Probe,fake
 GOP Rep. Just Achieved The IMPOSSIBLE By Outdoing Trump’s Hypocrisy On February Jobs Report,fake
TREY GOWDY SLAMS Mueller Teams Over Leaks About Charges in Trump-Russia Investigation [Video],fake
NED RYUN ON WHITE HOUSE LEAKS: “This is not whistleblowing. This is weaponizing classified info to undermine a duly-elected President” [Video],fake
 Former George W. Bush Speechwriter Epically Blasts Republicans For Supporting Trump,fake
 Obama’s Doing Something BIG To Raise Pay For Millions Of Americans (VIDEO),fake
Mexico says president Pena Nieto to meet Trump on Wednesday,real
WATCH: THE VIEW’s LIBERAL HAGS Attack Meghan McCain For Defending Flag On Her First Day As New Co-Host,fake
 Paul Krugman Shares The One Damning Truth About Corrupt Republicans We Can All Agree On (DETAILS),fake
" Republicans Declare WAR On The Poor, Go After Food Stamps, Medical Coverage",fake
No Joke! Chicago Cops Searching For Thug Dad Who Filmed Toddler Smoking Pot: “Inhale it” [Video],fake
 Karma’s A B*tch: Judge Orders Anti-Gay Preacher’s Church Up For Public Auction Due To Unpaid Debts,fake
Colombia urgently crafting law to allow crime gangs to surrender,real
NOT-SO-SLICK WILLY: Bill Clinton Tries To Joke Around About Hillary’s E-mail Scandal…Not Funny [Video],fake
COLLEGE SNOWFLAKES FREAK OUT! “Feel Unsafe” Over VP Pence’s Planned Commencement Speech [Video],fake
 High-Ranking Democrat DEMANDS Investigation Into Open Corruption At Trump Foundation,fake
WHY “MODERATE” MUSLIMS DON’T SPEAK OUT: Muslim Shopkeeper Makes Video Wishing Customers “Happy Easter”…Muslim Man Stabs Him To Death [VIDEO],fake
Obama’s Race War Makes Its Way To His Hometown Of Chicago…Where This Punk Follows His Cop-Hating Lead,fake
"The Final Control: TPP, TTIP, TISA Global Corporate Takeover",fake
 Right-Wing Broadcaster: Teenage Girl Is A ‘Prostitute’ For Being Afraid Of Bundy Militia (VIDEO),fake
[VIDEO] DOES SEEING TWO NAKED LESBIANS IN BED TOGETHER MAKE YOU WANT TO EAT YOGURT? Chobani Apparently Thinks It Does,fake
 JUST IN: White House Responds To Russian Election Hack; Trump Will Be PISSED (VIDEO),fake
GERMANY: Afghan “Teen” Refugee Who RAPED and KILLED Female Med Student and Refugee Volunteer Is Actually 33-Years Old…And There’s MORE!,fake
LEFTIST HATE ON STEROIDS: Donald Trump Tombstone Appears In NYC,fake
LOL! CROOKED and IRRELEVANT HILLARY CLINTON GOES ON TOUR…Wait Till You See What She’s Asking Fans To Pay For Tickets,fake
" Marco ‘Roboto’ Rubio Short-Circuits Again, Repeats Same Line Twice In 30 Seconds (VIDEO)",fake
RIDICULOUS! MUSLIMS Chant “Allah” And Protest With Call To Prayer Inside Dallas Airport [Video],fake
 Donald Trump On Accusations Of Sexual Assault: Mexico Did It,fake
"PAY 2 PLAY: Democratic Convention Ends Amid Controversy, Empty Seats & White Noise",fake
"PM May's deputy to keep job after pornography claims, ITV says",real
BREAKING: Did The U.S. Government Attack Drudge Report?,fake
 National Park Service Officials HILARIOUSLY Troll Trump Over Silencing Government Agencies (TWEETS),fake
"STUNNING BETRAYAL! 43 REPUBLICANS, In Dark Of Night Vote To Approve Obama’s Transgender Bathroom Decree",fake
Russian long-range bombers strike Islamic State targets in Syria,real
 Ann Coulter: Trump Doesn’t Need GOP’s Support – ‘He IS The Party’ (VIDEO),fake
SUPER BOWL CHAMP PLAYER Busts Into WH Press Briefing: “Need any help?”…Liberal Snowflakes Have A Meltdown! [Video],fake
New York attorney general says will sue over Obamacare repeal,real
FLASHBACK: Hillary And Raunchy Actress Discuss Desire To See Rock Star’s Penis: “I’ll look for that” [Video],fake
WOW! “N” Word Used On Walmart Website To Describe Color Of Wig,fake
BREAKING: WATCH TWO PROTESTERS Crash ‘Trump Assassination’ Play in NYC: “Liberal Hate Kills!” [Video],fake
STEPHEN MOORE: What Republican Turncoats Forget…Examining The Case Of The Republicans For Hillary,fake
TRUMP RETWEETS HILARIOUS Video Of Him Hitting Golf Ball That Hits Crooked Hillary In The Head…Left Goes NUTS!,fake
“BIKERS FOR TRUMP” Vow To Defend Trump During Inauguration Day…Plan Celebration! [Video],fake
WHOA! HEATHER NAUERT Gets Into Testy Exchange With Snarky Media At State Department Over Otto Warmbier’s Death [Video],fake
LAURA INGRAHAM RIPS INTO THE PRESS…Crowd Goes Wild: “Do your job!” [VIDEO],fake
WATCH: BLACK ACTRESS Stacey Dash Destroy Argument By Hollywood Race Agitator And Wife Of Will Smith: “Either we want to have segregation or integration”,fake
" New Lady Liberty Is A Black Woman, And Conservatives Absolutely LOSE Their SH*T Over Her (TWEETS)",fake
WILL OBAMA REGIME Be Held Accountable For Dirty Tactics They Used To Take Down MICHAEL FLYNN?,fake
RUDY GIULIANI JUST BLEW Hillary’s Phony “Khantroversy” WIDE Open…A RANT The Clinton Camp Won’t Want Americans To See [VIDEO],fake
DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],fake
 Cruz Trying To Hold Fiorina’s Hand Is More Awkward Than A Middle School Dance (VIDEO),fake
$3.5 MILLION DOWN THE DRAIN….Day 5 WI Recount: TRUMP +25,fake
 Mississippi Senate OKs Bill Giving Church Members License To Kill Perceived Threats,fake
THIS PICTURE OF HARRIET TUBMAN Should Be Used On The $20 Bill…If For No Other Reason Than To Drive Anti-Gun Left Crazy,fake
Senate to vote on Saudi arms sale measure this week: senators,real
 It Looks Like The Trump Campaign Just Got This Reporter Arrested,fake
 WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,fake
"WOW! CHICAGO REPORTEDLY FINDS At Least 14,000 More Votes Than Voters In 2016 Election",fake
