article,truthfulness
Pakistan debates how to fill education gaps,real
"French Senate vote is blow to Macron, Conservatives keep majority",real
Obama to Republican leaders: why are you still endorsing Trump?,real
INSIDE TRUMP’S CHARITY BALL Tonight At Beautiful Mar-A-Lago…Protests Outside [Video],fake
White House continues to cooperate with special counsel -official,real
WIKILEAKS HITS BACK At Lying Political Hack James Clapper…Testimony On The Hill Highly Partisan! [Video],fake
Supreme Leader Khamenei says U.S. is Iran's 'number one enemy',real
"U.S. sanctions North Korean missile experts, Russia offers to mediate",real
Romanian protesters halt building of Xmas fair at protest site,real
Factbox: Trump fills top jobs for his administration,real
Highlights: The Trump presidency on April 21 at 6:12 p.m. EDT/2212 GMT,real
China complains to Australia over Turnbull comments on interference,real
Democratic Socialists make headway in U.S. after Trump's win,real
Head of East Africa's regional bloc condemns ICC Burundi investigation,real
LOIS LERNER E-MAIL SNIPPETS REVEAL A BITTER B*TCH: “Lincoln should have let the South go…”,fake
U.S. seeks to reassure Beijing after Trump call with Taiwan leader,real
"Turkey urges Iraqi Kurds to drop referendum, cites sanctions",real
" After Sex Scandal Allegations, Ted Cruz Unleashes Colossally Pathetic Hissy Fit On Facebook",fake
"Key U.S. House committee approves healthcare bill, vote set for Thursday",real
Saudi ambassador to U.S. says his society is ready to let women drive,real
 Trump HUMILIATED As WH Walks Back His Attack After Soldier’s Mom Confirms His Insensitive Phone Call,fake
BREAKING: OBAMACARE REPEAL Clears First Hurdle…Dems Get Snarky,fake
Germany investigating reports of refugees forced into prostitution,real
"Saudi-led coalition to reopen Yemen's Hodeidah port, Sanaa airport for aid",real
Factbox: Why the Zika virus is causing alarm,real
Iceland's president asks leftist opposition leader to form new government,real
House tax panel chair: corporate tax cut may take 'several steps',real
NATO launches Black Sea force as latest counter to Russia,real
U.S. embassy in Kiev critical of Moscow order on Ukrainian documentation,real
Turkish foreign minister says Assad administration must be removed,real
Most Britons want May to lead through Brexit process -Telegraph,real
"Senate plan delays corporate tax cut, won't repeal Obamacare mandate: senator",real
"North Korea moving airplanes, boosting defense after U.S. bomber flight: Yonhap",real
"Trump makes overture to Ryan, while Republicans wrestle with party's future",real
Indian police arrest Christian priest after complaint by Hindu group,real
 ‘Pissed As Hell’ Oregon Rancher FURIOUS At Bundy Militia: ‘This Is My Home!’ (VIDEO),fake
Libyan coast guard rescues more than 250 migrants trying to reach Italy,real
Europe could soon be within range of North Korean missiles: France,real
"Clinton considering Warren, not Sanders, for running mate: WSJ",real
France to discuss possible new Rafale sale with Egypt's al-Sisi: Le Maire,real
Bulgarians use 'speed dating' to get know migrants,real
Senate panel chair says will hold hearings on health insurance market,real
"Leaving nothing to chance, China increases security, social control before Congress",real
 Bombshell Reports Confirm What We Already Believed About MSNBC’s Joe And Mika (DETAILS),fake
Zimbabwe court postpones former finmin Chombo bail hearing-state radio,real
"Despite recusal, Trump has confidence in Sessions: White House",real
Trump's son-in-law Kushner to become senior White House adviser,real
"EU to race Britain for Australia, NZ trade deals",real
 Chris Cuomo SLAMS Trump For Promising “A Lot Of Things That Can’t Be Done” In Energy Speech (VIDEO),fake
 Columbine Shooter Dylan Klebold’s Mother Breaks Silence In Riveting New Interview (VIDEOS),fake
Mnuchin says no regrets over government plane use,real
FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,fake
"Tillerson to back North Korea diplomacy, reject Syria's Assad: U.S. official",real
South Koreans seek to visit once-jointly run factory zone in North,real
Japanese man kills wife and priestess sister with sword in bizarre family feud: media,real
"Health plan would cut U.S. deficit, but leave millions without insurance: CBO",real
"Convoy rolls into Damascus suburbs with aid for 40,000: U.N.",real
TRUMP HITS BACK After Cowgirl Congresswoman Trashes Him Over Words Said to Grieving Widow,fake
Putin complains Russian media abroad face unacceptable pressure,real
Korean peninsula draws range of military drills in show of force against North Korea,real
Saudi-led coalition air raid puts Yemen's Sanaa airport out of service: agency,real
Egypt's Hasm militants claim attack targeting Myanmar embassy,real
Obama spars with Cuba's Castro over human rights in historic visit,real
Trump breaks ice with China's Xi in letter seeking 'constructive' ties,real
U.S. Commerce nominee Ross calls China 'most protectionist' country,real
"Iraq's Kurds beef up, move back defense line around oil-rich Kirkuk",real
Mexico foreign minister heads to U.S. to meet with Dreamers,real
"Eurofighter jet crashes in Spain, killing pilot",real
German prosecutor demands life for neo-Nazi suspect Zschaepe,real
" Alex Jones POSITIVE Obama Killed Scalia, And You’ll Never Believe Who He Thinks Is Next (VIDEO)",fake
"NuStar's St. Eustatius terminal damaged by Irma, no restart date set",real
 Even Staunch Republican Ben Stein Says He’d Support Sanders Or Clinton Over Trump (VIDEO),fake
"House, Senate Republicans face challenge over corporate AMT tax",real
At least 65 media workers killed doing their jobs in 2017: Reporters Without Borders,real
Colombia urges ELN rebels to turn over body of Russian hostage,real
"Obama, Fed's Yellen discussed economic risks in White House meeting",real
U.S. officials will not label treatment of Rohingya as 'ethnic cleansing',real
White House retreats from government shutdown threat: Washington Post,real
DIRTY POOL! FBI AND DOJ Just Affirmed They Spied On Trump WITHOUT Proving Dossier’s Authenticity,fake
"Republicans, Obama immigration chief clash over criminal immigrants",real
Senate Ethics Committee opens probe of Senator Franken,real
"Myanmar, accused of crackdown, invited to U.S.-Thai military exercise",real
Trump lawyers make final Supreme Court pitch on travel ban,real
Congress could undo Obama-era student loan relief,real
"FBI found Clinton-related emails on devices belonging to aide, ex-congressman: NYT",real
 WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,fake
 This Is What REAL Christians Do When Their Priest Preaches To Ban Abortion (VIDEO),fake
More than 50 arrested for looting in Miami during Irma: police,real
 Aziz Ansari Just Told Trump To ‘Go F*ck Himself’ As Only He Can (TWEET),fake
Sudan's Bashir says would support state governor in 2020 president vote,real
Anti-Trump protesters: patchwork of people and Facebook pages,real
"Russia holds rates amid geopolitical risks, sees cuts by year-end",real
Comey to confirm Trump pressured him on Flynn investigation: CNN,real
Trump distances himself from remarks on Putin over election meddling,real
 Hillary’s New Ad Brilliantly Uses Those Who Have Endorsed Trump Against Him (VIDEO),fake
"Russian defense minister, Syria's Assad meet in Damascus: agencies",real
"Erdogan, Putin to discuss Syrian peace plan next week",real
BOOM! TOMI LAHREN’S Top Tips For Liberals In 2017 [VIDEO],fake
Kremlin says it has no compromising dossier on Trump,real
Hurricane Irma threatens luxury Trump properties,real
Sen. McCain says will support changing rules to confirm Gorsuch,real
Kurd forces move back defense line around Kirkuk in disengagement effort,real
Trump administration's NAFTA demands make sense: Union Pacific CEO,real
"OBAMA BLAMES RUSSIA For Hillary’s Loss, But NEW HARVARD STUDY Exposes Who REALLY Interfered In Outcome Of Our Elections",fake
"Clinton to meet with presidents of Egypt, Ukraine next week: campaign",real
Exclusive: Skeptical Trump says would renegotiate global climate deal,real
Trump supports completion of Dakota Access Pipeline,real
Saudi Arabia says hopes Kurdistan vote will not take place,real
"Thirty-two years after quake, angry Mexicans still wait for homes",real
House Democrats escalate effort to obtain Trump tax returns,real
Rwandan leader's would-be rival Rwigara and her mother denied bail,real
Obama says China would not take change in U.S. policy on Taiwan lightly,real
Spain summons Venezuela Ambassador after Maduro's Catalonia comments,real
 RIGGED: Hillary Wins Popular Vote As Republicans Claim WH Victory,fake
"Mexico's border trade capital craves Clinton win, with caveats",real
Senate approves five Treasury nominees,real
Factbox: German coalition watch: Merkel seeks three-way alliance,real
"In Mexico visit, Trump's defense chief talks trust, respect",real
Jenner uses women's restroom at Trump property,real
Trump travel ban shows U.S. misunderstanding of anti-terror duties: Chinese state media,real
"Ex-Trump staffer sues campaign, alleges gun incident in North Carolina",real
" Stephen Colbert And His Audience Absolutely Pummeled Bill O’Reilly, And It Was Spectacular (VIDEO)",fake
Iraqi forces in final assault to take Hawija from Islamic State,real
"BLACK TV HOST HAMMERS RACIST MOOCH: ‘The only hope you have Michelle Obama, is that everybody will be as miserable as you”",fake
Saudi foreign minister welcomes release of pages from 9-11 report,real
 Trump Supporting KKK Leader Defends Trump And Alt-Right In Response To Hillary’s Brilliant Speech,fake
Honduras president with strong lead in TV station's election exit poll,real
Reveal your sources: Swiss suspect told in German spy trial,real
Spanish government says any dialogue with Catalonia must be within the law,real
Highlights: The Trump presidency on March 13 at 9:05 p.m. EDT,real
"Factbox: Trump on Twitter (Aug 25) - Republicans, John Kelly, Hurricane Harvey",real
Catalonia moves to declare independence from Spain on Monday,real
Trump and Putin see eye to eye on many foreign policy aims: Foreign Minister,real
Ex-Christie associates guilty in New Jersey 'Bridgegate' scandal,real
House Speaker Paul Ryan to rule out 2016 presidential candidacy,real
Trump says will decide on Federal Reserve chair 'very shortly',real
"U.N. rights boss sees possible ""crimes against humanity"" in Venezuela",real
Flynn did not initially disclose income from Russia-linked companies,real
Tillerson to meet Lebanon's Hariri in Paris on Friday: U.S. State Department,real
Three suspected al Qaeda militants killed in Yemen drone strike,real
WOW! CHICAGO PROTESTER Caught On Camera Admits Violent Activity Was Pre-Planned: “It’s not gonna be peaceful”,fake
"Knifeman attacks soldier in Paris subway, terrorism probe opened",real
Turkey detains 51 teachers over suspected links to coup: Dogan,real
Pro-EU group unveils Soviet-style mural of Trump kissing ex-Mayor Johnson,real
"Attorney General Sessions visits White House, not Trump",real
Bahrain's top Shi'ite cleric's health deteriorates: activists,real
DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],fake
'Trump dossier' on Russia links now part of special counsel's probe: sources,real
British lawmakers urge May to tackle Trump on climate change,real
"Argentina says satellite calls detected, likely from missing submarine",real
Mexico industry eyes NAFTA changes to find common ground with Trump,real
U.S. targets Iraqis for deportation in wake of travel ban deal,real
"Mexico suffers deadliest month on record, 2017 set to be worst year",real
"South Sudan rebel groups clash, at least three dead",real
Morocco's 'mule' women scratch a living on Spanish enclave border,real
"Trump pressures Lockheed, says told Boeing to price out fighter aircraft",real
Hard Irish border post-Brexit would be risk to peace: Coveney,real
Republican Grassley to ask Trump Jr to testify to Senate panel: CNN,real
"Under China anthem cloud, rare interest in Hong Kong vs Bahrain soccer friendly",real
White House says Trump tweet meets Comey tapes records request,real
Pelosi says Trump abused power in interactions with ex-FBI chief,real
Rwandan president's challenger faces incitement charge in court,real
Trump recommits to 'major border tax' on foreign-produced U.S. products,real
Canada to expel Venezuelan diplomat in retaliatory move,real
NATO's Stoltenberg says North Korea's 'reckless behavior' requires global response,real
"Senate confirms Trump's pick to run Medicare, Medicaid",real
Mexicans race to save schoolgirl buried by quake; death toll at 237,real
"Trump, Macron discuss joint counterterrorism operations in Africa's Sahel",real
Power crews scramble to Puerto Rico after Maria smashes its grid,real
Ted Cruz did not disclose 2012 Senate campaign loan: NY Times,real
"U.S. lawmakers back Syria strikes, demand a plan from Trump",real
U.S. presses Russia to comply with nuclear missile treaty,real
INCOMING FRESHMEN Are Put On Notice With Welcome Letter From U of Chicago Dean Of Students…”Trigger Warning” Crybabies Stay Home,fake
 Student Haz A Sad After Everyone Mocks Him For His Trump Hat (VIDEO),fake
EPA staff told to prepare for Trump executive orders: sources,real
U.S. 'making a lot of progress' on North Korea issue: Trump,real
Brazil's Temer undergoes urinary tract surgery,real
Baby banned from Japanese municipal assembly,real
"Polish cut in retirement age comes into force, bucking European trend",real
U.S. arms sales jump 25 percent in FY 2017,real
"Militant blast, gun attack kill 18 police in Egypt's Sinai",real
"Egypt orders suspected Libyan militant, 14 others be held over desert attack",real
"Coalition with Merkel not automatic, all options open: Germany's SPD",real
THIS PICTURE OF HARRIET TUBMAN Should Be Used On The $20 Bill…If For No Other Reason Than To Drive Anti-Gun Left Crazy,fake
Kremlin says Putin and Trump to discuss North Korea in Vietnam,real
" GOP Gives Trump The Middle Finger, Prepares To Launch Probe Into Russia",fake
Attorney General Sessions says now recalls meeting flagged in Russia probe,real
Turkey threatens legal action after lawmaker calls Erdogan 'fascist dictator',real
"Turkey to close Iraq border, air space, will open new gate with Baghdad",real
U.S. approves possible $15 billion sale of THAAD missiles to Saudi Arabia,real
"Warren, Kaine, Castro on Clinton running-mate short list: AP",real
Extension of Iran Sanctions Act passes U.S. Congress,real
Syrian town struggles to cope alone after key victory over Islamic State,real
Activist Steyer expands agenda in bid to defeat 'dangerous' Trump,real
Senate Democrats ask Trump attorney general pick to recuse himself from Russia probes,real
Billionaire ‘Bilderberger’ David Rockefeller dead at 101,fake
Palestinian accord must abide by international accords: Israeli official,real
"U.N. chief calls for united, 'appropriate action' on North Korea",real
One body found near wreckage of Russian helicopter off Svalbard,real
"Zimbabwe's Mugabe 'ready to die for what is correct', nephew tells Reuters",real
Backlash among German MPs against parliamentary Twitter ban,real
SAY WHAT? #BlackLivesMatter TEXTBOOKS TO BE USED AS PART OF COMMON CORE CURRICULUM IN GRADES 6-12 [Video],fake
"First ""I do"" as same-sex marriage comes to Germany",real
Ex-NAACP chief Ben Jealous to run for Maryland governor,real
"Factbox: Clinton's policies on economy, Islamic State, other issues",real
China complains about Taiwan content in U.S. defense act,real
Jeb Bush gets a brotherly hand from George W. in South Carolina,real
"Possible Thales, Leonardo role in Franco-Italian ship talks: sources",real
"More than half of schools in Boko Haram's region are shut, UNICEF says",real
Mexican peso surges ahead of U.S. presidential debate,real
Panic on London's Oxford Street after reports of shooting,real
Leading Democrat: Critics can't conclude Trump is impaired,real
"Medical students, faculty rally to try to save Obamacare",real
Trump says China tried but failed to help on North Korea,real
U.S. House tax panel will not seek Trump tax returns: lawmaker,real
South Korea's Moon seeks Russia's cooperation over cut in North Korea oil supplies: Yonhap,real
Trump pick for China ambassador sees 'win-win' boost to trade ties,real
U.S. 'making a lot of progress' on North Korea issue: Trump,real
POWERFUL! FORMERLY OPPRESSED EX- MUSLIM WARNS Ignorant Americans About Danger Of “Welcoming The People I Fled From” [VIDEO],fake
How Rubio’s campaign failed: problems from the start,real
"German, Chinese leaders agree on need to tighten North Korea sanctions",real
Trump explained U.S. position on THAAD to Xi: South Korea,real
ALARMING: NSA Refuses to Release Clinton-Lynch Tarmac Transcript with Lame Excuse,fake
South Sudan commander defects to rebels amid showdown with ex-army chief,real
Pastor freed from prison in Iran to return to U.S. on Thursday: wife,real
 Trump Displays Incredible Ignorance Yet Again — Claims Credit For Term Coined Over A Hundred Years Ago,fake
Text: Trump recognizes Jerusalem as Israel's capital,real
Malaysia scraps beer festival following Islamists' objections,real
Caribbean oil terminals make preparations ahead of Hurricane Maria,real
El Salvador launches commission to find those missing from civil war,real
U.S. gives China draft proposal for tougher North Korea sanctions - sources,real
EU's Juncker says ready to retaliate if needed over new U.S. sanctions on Russia,real
Trump taps Montana Congressman Zinke to lead Interior Department,real
Senate panel says it will subpoena Michael Flynn businesses,real
Dutch authorities try to avoid Russian air ban over Schiphol landing slots,real
Virginia GOP sues governor over restoring voting rights to felons,real
Top Russian and U.S. generals discuss Syria bombing allegations: Kommersant,real
Former President George W. Bush does not cast vote for president,real
"Charlottesville schools, parents address children's fears after violence",real
"Bus drives into pedestrian underpass in Moscow, kills four: agencies",real
Germans see Trump as bigger problem than North Korea or Russia,real
Trump delays announcement on whether U.S. embassy to be moved to Jerusalem,real
U.S. list of NAFTA goals 'not earth-shattering': Canada source,real
 Colbert Outs Republicans As The True Weirdos For Obsessing Over Who Goes To The Bathroom (VIDEO),fake
Tens of thousands march for abortion rights in Ireland,real
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,real
Senate to vote on just two Trump national security picks on Friday,real
Son of Russian lawmaker pleads guilty in cyber crime cases,real
" WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",fake
"After sowing doubts, Trump backs NATO mutual defense under charter",real
Mayor says Atlantic City may face bankruptcy after bill vetoed,real
Islamic State seizes new Afghan foothold after luring Taliban defectors,real
ILLEGALS BEFORE AMERICAN CITIZENS: ACLU Sues 3 Missouri Colleges For Refusing Tuition Benefits To Illegal Aliens,fake
Hope fades after 9 days of searching for Argentine submarine,real
NORDSTROM CANCELS IVANKA TRUMP BRAND After Liberal Complaints #BoycottNordstrom,fake
Fractured Republicans come together in face of Trump triumph,real
WOW! DEMOCRATS Offer Tips On How To Convince Friends Christians Are More Likely To Commit Acts Of Terrorism Than Muslims,fake
Senate to vote on Saudi arms sale measure this week: senators,real
Exiled Venezuelan opposition magistrates resurface in Chile,real
"Mexico to cut share of refined sugar sent to U.S., minister says",real
" Black Man Detained By Cops After Withdrawing $200,000 Of HIS OWN Money (VIDEO, IMAGES)",fake
Egypt's Sisi invites Palestinian president to Cairo to discuss Trump's Jerusalem move,real
LEFTIST HATE ON STEROIDS: Donald Trump Tombstone Appears In NYC,fake
Pro-Kurdish opposition leader's trial opens in Turkey,real
Prospects for House vote on gun control measure dims,real
France's Macron presses Saudi king to lift Yemen blockade: Elysee source,real
FEDERAL JUDGE Goes On Rant About Cops Killing Blacks….Declares: “Black Lives Matter!”…Blames Deaths Of Cops On Cops,fake
House Speaker Ryan easily wins primary: media,real
Texas House passes 'bathroom bill' targeting public schools,real
"Republican Senators Corker, Toomey reach deal on budget resolution",real
Obama unveils wage insurance plan to spur job seekers,real
"Biden, Ukraine's Poroshenko to meet Thursday: White House",real
Mattis says U.S. working to ensure situation around Kirkuk does not escalate,real
Indonesia ready to help Bangladesh in dealing with Rohingya refugees,real
Trump handling of security information at Mar-a-Lago queried by House panel,real
Republican Moore embraces Trump message on eve of Alabama election,real
Jared Kushner NEVER Registered To Vote As A “Female”…Media Lie BACKFIRES…Shines Bright Light On How Easily Voter Fraud Can Occur,fake
"Canada, U.S. join forces on tackling border asylum-seekers",real
Trump builds team of bosses to shake up Washington,real
Protests test tribal authority on South Africa's platinum belt,real
JUDGE ROY MOORE BLASTS Latest Accuser’s Press Conference With Same Liberal Lawyer Who Tried To Take Down Trump: “I Don’t Even Know The Woman”,fake
Obama makes last attempt to persuade Congress to close Guantanamo,real
NOT KIDDING: ARIZONA NEWSPAPER Concerned Border Fence Too High For Illegals To Cross Safely,fake
Grace Mugabe: the office worker who wanted to rule Zimbabwe,real
ANGRY Venezuelans CHASE Their President…Bang On Pots And Yell [Video],fake
Man arrested at Trump rally said he wanted to shoot candidate: court papers,real
Somalia says it requested U.S. air strike that killed 100 militants,real
VETERANS CAN’T GET HEALTH CARE…But These MN Somali Muslims Got US Taxpayer Dollars For College…Used It For Jihad,fake
Four Democrats seek probe into reviews ordered by acting SEC chair,real
Rights groups urge end to Poland's overhaul of judiciary,real
"Factbox: Trump on Twitter (Sept 13) - Tax reform, Florida",real
"Tillerson says U.S., Russia can settle problems, ease tension",real
Airlines in Cairo asked to implement Trump travel ban: EgyptAir official,real
Support for an independent Catalonia rises to three-year high: poll,real
"At G20 summit, Trump pledges $639 million in aid to four countries",real
Indonesian parliament speaker quits amid graft investigation,real
Pompeo might bring assets to 'hellish' secretary of state role,real
PRESIDENT Promotes Made in America: Omaha Steaks Owner “Wanted to Kiss Me” for Reopening Trade with China [Video],fake
Indonesia court rejects petition to bar consensual sex outside marriage,real
Trump was wrong to retweet UK far-right group: British PM May's spokesman,real
Britain's Queen Elizabeth bows out of Remembrance wreath-laying ceremony,real
Son Of Egyptian Immigrants Hopes To Become FIRST MUSLIM GOVERNOR In U.S…Will Push For “Sanctuary State”,fake
Ryan opposes Trump working with Democrats on healthcare,real
CLINTON ABRUPTLY Cancels Plans To Go to Charlotte On Sunday…Gives Lame Excuse,fake
U.S. Senate's top tax lawmaker targets corporate offshore profits,real
"Trump says tax conference will go well, 'pretty quickly'",real
Louisiana governor says state's finances in dire situation,real
Trump proposes 15 percent business tax rate: White House summary,real
"Factbox: Humanitarian crisis in Bangladesh as 270,000 Rohingya flee Myanmar",real
"As Republican tax vote nears, more senators waver",real
Hariri tells Lebanese president will be in Lebanon Wednesday: Aoun,real
“STOP BLAMING WHITE PEOPLE For Trump’s Win Last Night…America Voted For Actual Change” [VIDEO],fake
British negotiators still working on Brexit deal: Treasury minister,real
Senator Schumer expects 'mainstream nominee' for Supreme Court,real
U.N. rights forum to hold special session on Myanmar Rohingya - U.N. sources,real
France sees U.S. strike on Syria as tool to push for peace talks: Hollande,real
Mattis slams 'false' reports on Trump request for nuclear arms hike,real
U.S.-South Korea military exercise to start Aug. 21: Pentagon,real
Most Americans want Obama to nominate Scalia's replacement: Reuters/Ipsos,real
Refugees' health problems in Greece mostly unmet: medical charity,real
FACTBOX: About 6.1 million without power in U.S. Southeast after Irma: utilities,real
Clinton knocks Trump for cheering housing bubble burst,real
Democratic senator tussles with U.S. Treasury secretary over communication,real
Britain's defense minister resigns in growing harassment scandal,real
Malta offers 1 million-euro reward to find journalist's killers,real
Santorum to pull out of Republican White House race: CNN,real
"China backs U.N. call for justice in Yemen, U.S. and Saudis don't",real
OBAMA DOUBLES DOWN On The Threat Of Climate Change vs. Terrorism [Video],fake
FULL INTERVIEW: Judge Jeanine Pirro’s In-Depth Interview With President Trump [Video],fake
House Democratic leader Pelosi backs Clinton for president,real
"Trump mulls national security adviser pick, White House promises autonomy",real
Trump to meet with House Republicans on July 7,real
No prosecution for Trump campaign manager Florida battery charge,real
Thirty-one bodies recovered after migrant boat sinks off Libya,real
MONTEL WILLIAMS Says Oregon Patriots Are “Undereducated Terrorist Buffoons” And National Guard Should “Shoot To Kill” Them,fake
 Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,fake
Girl strapped with bomb kills five in Cameroon mosque,real
"Merkel, responding to Trump, says Europe's fate is in its own hands",real
"Bomb attack kills one Bahraini policeman, wounds eight",real
JUST IN: RAND PAUL ASSAULTED By Democrat Doctor…Here’s What We Know About The Attacker,fake
Facebook says Russian-linked accounts spent just 97 cents on ads over Brexit,real
Trump's not-so-quick fix to undo Obamacare,real
Iran's Rouhani says Trump election has no effect on Tehran policies: IRNA,real
Shots fired at DMZ as North Korean soldier defects to South,real
McCain’s Mad World and The Cancer of Conflict,fake
Detained asylum-seekers win right to sue PNG government for compensation,real
Vote on gun control measures in Senate likely on Tuesday: Feinstein,real
U.S. commerce chief Ross says nothing improper about investments: BBC reporter,real
Israeli minister says was misunderstood on war remarks with Iran,real
"Iran vows to stand with Baghdad, Ankara against Iraqi Kurds' independence push",real
Beijing evictions leave migrant workers in limbo as winter deepens,real
"While wealthy Mexicans swamped by quake aid, poor feel abandoned",real
Earthquake of magnitude 6.1 strikes off southern Japan: USGS,real
Exclusive: U.S. congressional committee demands answers on WHO cancer agency,real
Kurdistan region says Iraqi forces preparing major attack in oil-rich Kirkuk,real
Zimbabwe army hands ex-finance minister to police: relative,real
"Trump health pick defends stocks, says Americans won't lose insurance",real
Democratic lawmakers press Flynn on Middle East trips,real
"(VIDEO) FRIDAY NIGHT’S HYSTERICAL TAKE ON THE BOEHNER, MCCONNELL, CRUZ TUSSLE",fake
Merkel warns Hungary of financial consequences of defying EU on migrants,real
"Kremlin, after Kurdish vote, says supports integrity of regional states",real
Arab coalition says will keep Yemen port open; air raids kill at least nine,real
White House meeting on Paris climate deal postponed: official,real
Senior Republican says Obama seeking moderate Supreme Court justice,real
Anti-Trump Protester’s X-Rated Comment Angers MSNBC Anchor: “Grow The Hell Up!”,fake
Security for Trump's summer visit ruffles tranquil New Jersey town,real
 Supreme Court Unanimously Rejects Republican’s Latest Election Rigging Scheme,fake
"China will stick to supply side structural reform, overcapacity reduction efforts",real
U.N. medics see evidence of rape in Myanmar army 'cleansing' campaign,real
Ohio governor lacks power to suspend open carry law: spokeswoman,real
"Starbucks, Univision, Democracy Works aim to boost U.S. voter turnout",real
DUP says Northern Ireland will leave EU on same terms as rest of UK,real
Trump campaign says it raised $80 million in July: statement,real
Trump tells Congress: 'Get ready to do your job - DACA!',real
Campaigning in style: How Jeb Bush blew through his war chest ,real
Iraqi Kurdish opposition party Gorran calls on Barzani to step down,real
Tillerson pays flying visit to Afghanistan to discuss U.S. strategy,real
Trump: Father of UCLA player in shoplifting case is 'ungrateful fool',real
Syrian army fights IS in Deir al-Zor as U.S.-backed forces loom,real
"As 'Bridgegate' trial begins, New Jersey's Christie remains focus",real
China to expand corruption supervision pilot scheme nationwide: Xinhua,real
Ex-Trump aide Flynn's family creates fund for 'enormous' legal fees,real
"Santorum to attend Trump's rally, campaign says",real
"Peru's president pardons ex-leader Fujimori, citing his health",real
"Trump will accept election results if it's fair, his son says",real
CNN’s Don Lemon: Is He an Alcoholic or Just a Drunk?,fake
Greek prime minister says Turkey should continue its European orientation,real
U.S. jurors hear closing arguments over Iran-linked office tower,real
White House: Congress would have most impact on fighting tax avoidance,real
"Obama: US, Nordic nations agree sanctions against Russia should continue",real
"Senate passes budget blueprint, key to Trump tax effort",real
Car bomb kills journalist in Somali capital,real
Border without doctors? South Koreans urge more funding for trauma care after defector drama,real
No. 2 Republican in U.S. House sees conference on tax bill soon,real
Czech far-right party says will not support new government,real
U.S. partnership with Turkey in Islamic State fight 'very strong',real
McMaster says 'not concerned' after Kushner back-channel reports,real
"Kremlin: accusations that Russia behind Kiev blast are ""baseless""",real
No vote on healthcare bill this week in U.S. House,real
U.S. bomber drills aggravate North Korea ahead of Trump's Asia visit,real
Highlights: The Trump presidency on March 1 at 8:16 p.m. EST,real
EPA head seeks to avoid settlements with green groups,real
Russian warships dock in Philippines as Manila cultivates new ties,real
"Trump's push to cut federal jobs has modest impact, mostly in defense",real
" Paul Ryan Sharpens His Backstabbing Knife, Prepares War With White House (VIDEO)",fake
EU states see Britain failing to meet Brexit divorce terms,real
"Reuters journalists in Myanmar appear in court, remanded for another 14 days",real
SEC nominee Clayton to get Senate panel vote April 4,real
Turkish warplanes kill three Kurdish militants in northern Iraq: army,real
House panel spars over self-driving car rules,real
Battle over N.C. transgender law intensifies as lawmakers reconvene,real
