text,emotion,transformed_text
i end up getting unwanted attention from boys i want little to do with or ill be sort of starting something with a boy then find myself flirtiing with others in his presence or ill feel really insincere around boys that i do like,anger,
i feel like i have to preface this post w a disclaimer of some sort before i have an enraged peta after me or something equally as horrible,anger,
i truly feel what you all contribute to the blog world especially with regard to educating writers is so valuable,joy,
i could somehow stop everyone on earth from ever feeling heartbreak i would be one happy lady,joy,
i feel a bit calm now,joy,
i just remember getting in the car and my body feeling really lame,sadness,
i haven t yet experienced the totality of this is that i am getting to use my gifts again without feeling like someone is threatened jealous or competing against me,fear,
i feel that he was being overshadowed by the supporting characters,love,
i really feel stupid,sadness,
i drafted this post at least a month ago and now i m feeling quite uncertain about it,fear,
i may not have been posting actively but fortunately i keep a camera pen and notebook where ever i go so whenever i feel very passionate about something i write or take many photos,love,
i left the theater feeling sad and alone the sudden realization of my own fleeting mortality weighing down each and every step,sadness,
i have carried around an audre lorde quote that i often refer to when i am feeling fearful or uncertain about things when i dare to be powerful to use my strength in the service of my vision then it becomes less and less important whether i am afraid,fear,
i thought to myself feeling amused,joy,
i love and hug on him and try to make him feel valued so he can grow up a secure man in a world that is constantly shifting,joy,
i feel safe secure and protected when im in my daddys embrace,joy,
i always feel this tangle in my stomach i never just feel content and wanted,joy,
i was left feeling bothered by it for a long time afterwards,anger,
i feel that i am getting more and more timid these days,fear,
ill be glad when shes all better cuz keeping ollie from fighting with her while shes feeling playful is quite a job,joy,
i look like i worry that i will always feel inadequate,sadness,
im meant to feel longing,love,
i feel like theres so much going on but nothings being resolved nor is revenge even happening,joy,
i have a feeling he s going to start popping up all over primetime with his innocent kid potential murderer face,joy,
i feel like every day i grow stronger and become less needy of someone to fill that role,sadness,
i do like to think that in the near future ill feel the urge to write up an album or two that has really impressed me most likely a href http handsomefamily,surprise,i do like to call back that in the near future ill feel the exhort to write up an album or 2 that has really impressed Maine most probable a href http handsomefamily
i feel this ad does i m not impressed,surprise,i feel this ad set i k not impressed
i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank,sadness,
i didn t feel particularly sympathetic toward her,love,
i feel like i am being held firmly in loving arms surrounded by a wide circle of people who are not going to let me fall,love,
i feel like by being so timid ive lost a lot of opportunities to make connections with people that ive wished id made connections with,fear,
i am thankful for not attending therapy but am really no further forward in fact probably feeling more isolated misunderstood and lonely in it,sadness,
i had to preform a few poems to the class so i will feel confident when i preform,joy,
i feel those memories are precious and i am so glad i have them,joy,
i feel longing in myself or see it in others it rises up as a need that will never be quenched a desire never to be extinguished,love,
i almost feel like he was trying to be awkward,sadness,
i feel jealous whenever it is in a relationship because i dont get to talk to it anymore,anger,
i feel uncertain about,fear,
i feel the amazing abundance of my life most keenly,joy,
i plan to volunteer for red cross helping immigrants and refugees to feel welcomed and accepted in our local community,joy,
i feel like a super hero of sorts,joy,
i still sit back and feel amazed by the whole thing,surprise,i still sit back and feel puzzle by the whole thing
i feel ignored i feel this boredom like a little sword straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my chest to my chest to my chest straight to my chest straight to my,sadness,
i persevered and km later im feeling pretty smug,joy,
i didn t feel too hot from the swim,love,
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,anger,
im feeling a little stressed over it already,sadness,
i feel horrible about all of this,sadness,
i get one i feel like i need to either even things out by immediately giving one back or make things even less even by using a comeback as if i was just insulted,anger,
i must say that there were all familiar faces since i go to that church since but there was this feeling that i was shy and i just wanted to stay there with my friend and be clingy with her all through out the meeting,fear,
im feeling generous i might let them bring the dog with em otherwise the animals are on their own,joy,
i feel like it s waiting in the wings just patiently waiting for me to be distracted enough so it can take me down and take everything i love in this world away and destroy me,anger,
i also were able to get appointment with the osteopath on the which is freaking awesome as it feels like i am caring a boulder in my stomach,love,
i simply cannot imagine me feeling cleaning caring for a baby,love,
ive been told this is normal his last reading was he feels and looks horrible,sadness,
i feel naughty just being this girls friend,love,
i always feel convinced that there is a grimacing flip handled knife or one of those small pearl handled pistols in there,joy,
i just keep on feeling blessed,love,
i diss a bag only when i m feeling grouchy because of the lack of any inspiration whatsoever when it comes to fug bags but today i m not grouchy and it still sets me of which means this is a big deal,anger,
i am angry that my employers do not invest in us at all training pay increases bank holidays and it feels like injustice so i feel helpless,fear,
im not feeling violent im feeling creative with weapons,anger,
i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,fear,
i am pretty certain we will use this name as a middle name if its a girl as it has such a special feeling to it and the connection with his her poppy is so lovely to me,love,
i didn t feel particularly mad of course they say that when you are going crazy you really feel like you are becoming more sane,anger,
i feel a trace of disgrace for the gracious man s embracing her bracelet,love,
i wrote this song at a time when i was feeling very disillusioned by the worship scene in the town where i live,sadness,
ive struggled mightily through today and even though i feel cranky and tired and unmotivated still i really am not going to be going to sleep before eleven thirty,anger,
i also know how good it feels to look back and see that i honored my word and that helps from the start,joy,
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear,
i feel safe and happy when the house is clean,joy,
i have to actually tell myself to breathe breathe breathe in and out when i feel absolutely terrified because i know i can t just go home that the life i missed isn t there anymore,fear,
i constantly feel these fits of discontent,sadness,
i feel for him but the thing is he is so popular and entrenched in this gerrymandered district that he would totally be reelected as an out gay man,joy,
i start feeling myself getting overwhelmed or frustrated i have tried to open up more about it instead of pushing it down deep slapping on a fake smile and waiting until i boil over,fear,
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy,
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger,
i dont know what crazy girl i think her name was katja does for a living i feel like she should just do what i do in real life and be some sort of disheartened disallusioned clerk,sadness,
i have been perspiring like crazy even in school that makes me feel so dirty and muddy,sadness,
i was buying clothes that made me feel uncomfterble just so i was accepted,joy,
i seriously hate one subject to death but now i feel reluctant to drop it,fear,
i feel reassured to know that i have some good luck in this world,joy,
i feel overwhelmed they might say my stomach hurts or my head hurts,fear,
i feel clearer more joyful and alive,joy,
i just hate the feeling of being unhappy,sadness,
ive ever written although im not gonna reproduce it here because it is full of boring academic references and also it specifically analyses several prominent bloggers and their treatment of romantic relationships and id feel weird about putting that on the internet,surprise,ive ever written although im not gon sodium reproduce it here because IT is broad of boring academic references and also IT specifically take apart several salient bloggers and their treatment of romantic relationships and id feel weird about redact that on the internet
i kind of asked somebody if they confirmed my feeling and they ignored me so i guess i went on,sadness,
i feel privileged to be allowed into the sanctum of her studio the many different paintings and studies lining the walls morph and grow week on week,joy,
i have to admit that i m feeling quite gloomy today the first real day on my own in atlanta,sadness,
i feel stressed a minute workout gives me an instant boost of energy and helps me refocus,anger,
i feel only jubilant elation,joy,
i do eat rawly goodness i feel radiant,joy,
i help my daughter when she is feeling angry,anger,
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger,
i grew up feeling ugly and inadequate,sadness,
i start to lose that sense of independence in that i feel a lot more hesitant to do things,fear,
i feel truly delighted doing had already changed in such a short period of time,joy,
i feel selfish for it,anger,
i feel like making this a stubborn battle of wills,anger,
i even had a deep feeling for alaska and the cold and snowy and yet big open land with the pine trees and mountains but im destined to live in southern california,anger,
i want them to feel as thought it is family friendly and will be enjoyed by all ages,joy,
i feel radiant bright accomplished and happy,joy,
i still have that feeling to you until now ya the feeling to loving you,love,
i can see a lot of strain on people i can tell they are feeling pretty shitty or not what they are supposed to be pretending,sadness,
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear,
i feel like a monster because as we make our way through the rubble and stunned bodies all im thinking is that we need to find a way to keep going,surprise,i feel like a monster because Eastern Samoa we construct our fashion through the rubble and stunned consistence all im thought embody that we need to find a way to proceed going
i have found a no of people raising this issue but then i have not yet come across any officials addressing the same i am just feeling helpless,fear,
i suggest you give it a listen i feel like i am blessed,love,
i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task,fear,
i don t have to look to see the stares i feel them and i also know of them by the sympathetic glances my american friends give me,love,
i feel homesick nostalgia canaglia,sadness,
i feel so guilty sometimes that he has to share me with the challenges life has thrown our way financially emotionally and most recently medically,sadness,
i am feeling pretty wonderful,joy,
i wake up feeling kind of dazed and groggy,surprise,i aftermath up feeling kind of dazed and groggy
id kick myself into gear but i just feel irritable with no motivation what so ever,anger,
i feel frightened in a kind of a raw way,fear,
i feel fantastic and i find that i have a renewed sense of strength and endurance,joy,
i feel is very delicate,love,
i have the feeling i am going to be tortured tonight,fear,
i cant help but feel someones going to end up pissed at me,anger,
i think they feel somehow offended because the christians played a big part in destroying the earlier cultures religions and mythologies,anger,
i was the new guy and you never know how people are going to react how theyre going to feel about you but everyone was really gracious,love,
i feel even more hated,sadness,
i am always so sensitive and my every sense feels like it is being assaulted as i drag myself away from the darkness,fear,
i need the cantor ministry after you made me feel that they all hated me and supported your views of me,sadness,
i still enjoy it because i do not feel like i am being beaten over the head with a you are dumb and can t figure this out on your own stick,sadness,
i have to say i really feel a little useful for the progress of the second half the replacement of the shirt plus the coach s hairdryer,joy,
i remember feeling embarrassed that not only someone recognized me but called me such a name,sadness,
i began feeling amorous towards everyone on stage towards the people around me as i experienced the moment with them,love,
i feel greedy with my self as of late,anger,
im guessing with everyone standing there she was feeling timid about moving through the crowd again,fear,
i need to really appreciate not wearing a coat and feeling the hot sun and going to the pool and eating ice cream,love,
i just feel like if i can just make it through this week it will be ok,joy,
i do that he can t stand feeling threatened and looking over his shoulder,fear,
i anticipated feeling ecstatic jubilant over the moon wired giddy,joy,
i am feeling deeply offended big hurt feelings in fact,anger,
i feel angry disgusted,anger,
i feel afraid to have a voice and im just a guest,fear,
i picked up feeling a little apprehensive,fear,
i ask you not to feel pressured by this,fear,
i almost feel greedy with my rd child when so many people i know are working so hard for or,anger,
ive heard it so many times already im already feeling skeptical of whatever they say,fear,
im about to go look for him again when i start to feel calm and think that his phone probably died,joy,
i understand how unbearable it is to feel like worthless shit all of the time,sadness,
i got off in my previous post about how much the app maker leeches upset me at this conference and so i feel like i should mention who i was most impressed with there,surprise,i got off in my late post about how a lot the app God Almighty leeches upset me at this group discussion and so iodin feel care 1 should cite who atomic number 53 was most impressed with there
im getting there but i really do feel dazed and confused at the moment,surprise,im draw there but i really do feel dazed and disconnected At the moment
i doubt the streets would stink any less and since i found parisian summer to be pretty cold im feeling very apprehensive about visiting in winter,fear,
i feel lots more energy i feel very impatient and irritable,anger,
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear,
i didnt feel insulted though,anger,
i have to get it in my head that i didnt do anything wrong its just of them have feelings for someone else and one just doesnt appear very considerate,love,
i am feeling a bit overwhelmed here,surprise,i am feel a scrap overwhelmed here
i feel virtuous and tough when i wear a hat jeans and a tshirt without worrying,joy,
i feel very loyal to it and i like doing it for as long as they want to do it and as long as we all want to do it,love,
i just feel terrified,fear,
i feel very valued by my patients,joy,
i get the feeling that after today and yesterday ive gained back every pound ive lost,sadness,
i don t recall ever feeling carefree,joy,
i feel like im a shy enormous pink flamingo man,fear,
i quickly learned just by moving from sauna to ice cold bath to steam room to shower until you feel like a tortured goldilocks who wants nothing more than to find the middle ground between too hot and too cold,fear,
i said you are not focused with me and when you are not focused with me i feel unimportant,sadness,
im feeling a bit scared to consider putting myself out there by posting my work on a website frequented by professional artists but i decided to suck it up be a big girl and ask for feedback,fear,
i always feel afraid of telling people because i dont want them to see me differently my self image is very poor and i dont want to transcribe that onto them,fear,
i feel so unwelcome its sickening,sadness,
i found myself feeling so angry,anger,
i feel a little paranoid that i may forget what ive learnt,fear,
i admit that i feel as if i only have a little but that little i am determined to offer to the lord bit by bit to do as he pleases when he pleases where he pleases how he pleases,joy,
i like feeling submissive or at the very least that my lover is dominant,sadness,
i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,love,
i feel like everyone who will be caring for zach in some way needs to be at least slightly educated in what is ok and what is not,love,
im taking this to heart and feel that the gentle age of is the perfect time and place to engage in some fearlessness and wholesale change,love,
i feel tender cool and relax after enjoying these wonderful masters,love,
i feel like my creativity is running low like a dying battery,sadness,
i am feeling called to show up in a more faithful way,love,
i feel so shitty right now i just arugh,sadness,
i feel this is the time to mention a fond farewell to one of our longest running sponsors a href http www,love,
im actually feeling hopeful,joy,
i am feeling that he does i wonder if such a dangerous place could be settled with the mentality that the enmayi have to bring to the possibility,anger,
i started feeling ugly and started all over again,sadness,
i couldn t help but feel personally insulted when oscar denounced the very idea as grotesque and unrealistic,anger,
i feel like ive never felt this lonely or depressed or unhappy with my life but i still smile and maintain and good mood in school,sadness,
i feel his hand on me to stay faithful,love,
i crossed the line targeting the developer more than the game and hurting feelings that didn t need to be hurt,sadness,
i think i was feeling vulnerable due to the stress of having to buy a new sewing machine and printer,fear,
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger,
i also love this one but will be able to send it to a good home without feeling like i m giving away a vital organ,joy,
i decided that i was feeling so horny that i would have to do something before i burst,love,
i hate struggling to enjoy life but at the same time i feel guilty when i do,sadness,
i feel like a positive ball of inspiration,joy,
i spent my vacation from school feeling confused and heartbroken,fear,
i was still feeling like i wasn t accepted and had no one else to go to,joy,
i feel about him i never really told him too much guess i was scared but i havent got anything to loose now,fear,
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger,
i pray for those who are feeling unloved and lonely,sadness,
i feel completely blessed to be a part of this group,love,
i feel helpless about not being able to help him in feeling better but do my best to encourage him and think positively as mom is doing,fear,
i woke up feeling fabulous and im sure that half of that stems from the fact that ill be finishing my undergraduate studies in about weeks,joy,
i found it really sad here are people feeling unhappy because the expectations they have about marriage and relationships are based on ideas that dont seem to connect with their real lives,sadness,
i have to care about and care for people with disabilities who are targeted by sensationalist media reports as well as at the same time feel the sorrow i do for the parents family members and community in newtown connecticut that is stunned by the events of today,surprise,
i could walk at a slow pace browse each booth as long as i wanted and dart in and out of the shops on main street without feeling rushed,anger,
i always got the feeling she hated me,anger,
i think the main benefit here is that it wets the surface giving even the earliest strokes something to play against and it also helps get my ass into the deep end of the pool if i am feeling hesitant about where to begin,fear,
i probably would have bailed at the half way mark when i was feeling quite low physically and mentally,sadness,
i have never known a love like the love i feel for you sweet emma and benjamin,love,
i finally fell asleep feeling angry useless and still full of anxiety,anger,
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,anger,
i just feel so discontent about my life these days,sadness,
i have teamed it with a slouchy studded jacket that i picked up from warehouse in the sale and feel nicely smart,joy,
i remember wanting to fit in so bad and feeling like no one liked me,love,
i feel less respected less,joy,
i feel intimidated by the great women in my family tree,fear,
i am grateful that i no longer feel a frantic urge to fix the emotional upsets of those around me,fear,
i feel empty when i dont have something to care for,sadness,
i feel tortured so much,fear,
i plan to run miles in the morning which is a distance that generally leaves my bunion feeling extremely tender and painful,love,
i feel a kind of sadness for the television shows and popular culture push for birth mothers who havent finished school and have no real means of support to keep their babies,joy,
i sit and remember what longing felt like and what denial feels like it is so strange to think i couldnt have changed my own perspective the experience itself created my view of the world,fear,
i was still feeling bitchy not sad,anger,
i dont have the hatred for juice that i had last night at this time but im not feeling too fond of the veggie smell in my kitchen,love,
i am feeling lost for not being on a regimented strength program,sadness,
i witness what i feel helpless to change i take up my arms my heart and my pen and i write,sadness,
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,anger,
i have spent today feeling horribly unhappy,sadness,
i do actually feel frightened having seen what my mother went through in her treatment for a malignant melonoma,fear,
i still cant shake the feeling that i might be unwelcome,sadness,
i feel so horny and naughty dressed up like this and my tgirl cock is getting a real work out as i continue to admire myself,love,
i am trying not to feel bitter but how else can i feel when it seems my desire is pretty much impossible,anger,
i can imagine someone feeling jealous lonely or scared,anger,
i feel pretty terrified about letting down all those good people kind enough to support my work,fear,
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger,
i want to stop taking it one day but also feel terrified that lots of feelings of anxiety panic will come flooding back,fear,
i feel more faithful than ever,joy,
i couldnt help but feel totally distraught and utterly helpless when lorena was kidnapped and tortured almost to death by a band of enemies i was desperate for her freedom,fear,
i get the feeling that people have died it s bothered me so much that in the past i ve cried my hair must look perfect whatever the weather all of this anxiety brings me to the end of my tether,anger,
i see what being unhealthy does and i can feel the weight that i ve gained back and i am pissed that i let some of it creep back on,anger,
i still feel like there are more than enough to keep me entertained while still being just a few to keep dusted,joy,
i could feel my sciatica aching as my feet was swinging from the gas to the brakes pedals,sadness,
i love the wispy feeling of the delicate strands and the mellow green vibe,love,
im feeling romantic towards not another relative friend coworker,love,
i rarely feel hesitant to say something sometimes even too much,fear,
i suppose to feel terrified,fear,
i choose to feel terrific a href http www,joy,
i understand that but its so nice not to feel like the weird one,fear,
ive been at home for almost a week now from the hospital though and i feel the need to divulge info to devoted readers who have felt starved for my stylings,love,
i get the feeling youve been punished enough,sadness,
i have also been feeling completely overwhelmed and so incredibly unappreciated,surprise,atomic number 53 have also been feeling completely overwhelmed and so unbelievably ungratifying
i feel like i am unhappy missing too much from the baby or anything else i will quit,sadness,
i would feel timid wearing them beacuse id try to not get them dirty etc,fear,
i always thought loving someone is the greatest feeling but i realized that loving a friend is even better,love,
i think i spent too much of my young life feeling romantic to have much saved up for adult me,love,
im feeling kind of naughty,love,
i didnt feel discouraged or depressed though there are always challenges to be sure,sadness,
i feel rebellious a little annoyed mad caged in,anger,
i think people reject their feelings because they re terrified of them but the truth is that once you see that you can t die from them and that they actually go away they re not so scary,fear,
i think it is common to feel helpless at times like this,sadness,
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,fear,
i feel more graceful already,joy,
i put it aside feeling a little defeated,sadness,
im feeling so helpless clueless and homesick,fear,
im feeling really really left out and somewhat dissatisfied with everything,anger,
i mentioned in that post the colors are very pretty but they feel very uncomfortable on the eyes,fear,
i dont want this blog to be too similar to many others but i may occasionally post a picture of something i feel is an accomplishment or something i am proud of,joy,
im fine mary anne answered feeling a little impatient,anger,
i love the feel of his lips on mine how i feel so safe in his arms even though im older i just love how i feel and who i am when i am with him,joy,
ive been feeling very very restless,fear,
i agree with your original comment about down by the water i feel like that song transcends time and is gorgeously romantic but it s cinematic in that i feel like i m watching a story that belongs to someone else,love,
i am not a catholic i certainly don t feel it is my place to take sides on this issue but i am curious how the leadership of the catholic church will mesh with its own people over these issues in the coming years,surprise,i am non a catholic i sure don thyroxin finger it is my home to assume sides on this go forth but i atomic number 95 queer how the leadership of the catholic church will mesh with its have people concluded these issues in the coming years
i feel especially passionate about the friendships and support network that we enjoy as a part of womens ministry at befc today,love,
i feel terrible about the lady driver though,sadness,
i just didnt feel like i really got to know him which i feel is why im so unsure of his character,fear,
i kinda did steal joshua s customer i feel amused,joy,
i feel increasingly passionate about,love,
i do know the main reason i feel like i m losing myself unsure if i ll ever get those pieces back but i m not quite ready to talk about that just yet,fear,
i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,love,
i cant even remember what it feels like to be loved,love,
i feel that because of our own love of reading and writing that we are more compassionate and understanding about the struggles that both new and established writers go through,love,
i feel scared and stupid,fear,
i would further suggest people might feel more at ease in caring giving societies,love,
i ever start to feel successful at all things life again,joy,
i am not thinking about a certain person before i sleep i end up having strange dreams about him and when i wake up after those dreams i feel shaken and stunned,fear,
im not making some sort of music i feel useless,sadness,
i feel just as gloomy about it at the age of as i did when i was,sadness,
i think it is easy to feel afraid when one considers the nuclear weapons the weather the protests the riots the police reactions the governments responses or the laws being passed,fear,
i start to feel more and more frantic and rushed trying to provide excellent care for my patients and then high tail it home,fear,
i feel let alone give a shit,sadness,
id begun to feel empty and this was after having had several juices and lots of water water will only make you feel full for so long but it was quite good at rinsing out from my pie hole the putrid flavors id forced upon myself,sadness,
i was feeling very generous wild and crazy and we went through the drive through at steak and shake,love,
i feel so strange sitting here blogging away amp not having to study,fear,
i suck up is the boring dull town and the feeling being missed by my family and bf,sadness,
i hate the feeling of being disliked and it seems as though its very common for me,sadness,
i feel lighter and more compassionate after i have these little talks with myself,love,
